round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.1000,0.1000,2.3036,0.00,78.63,78.63
1,0.1000,0.1000,2.3032,0.1000,0.1000,2.3032,0.00,78.63,78.63
2,0.4135,0.1197,2.2378,0.5016,0.1004,1.9638,78.63,78.63,157.27
2,0.4988,0.1039,2.2016,0.5087,0.1016,1.9477,78.63,78.63,157.27
3,0.3738,0.1461,2.1815,0.6850,0.1369,1.1039,78.63,78.63,157.27
3,0.4649,0.1446,2.1572,0.6935,0.1387,1.0902,78.63,78.63,157.27
4,0.4267,0.1739,2.1541,0.7592,0.1513,0.8798,78.63,78.63,157.27
4,0.3580,0.1657,2.1713,0.7548,0.1515,0.8856,78.63,78.63,157.27
5,0.3455,0.1832,2.1612,0.7771,0.1554,0.8384,78.63,78.63,157.27
5,0.3982,0.1936,2.1518,0.7704,0.1539,0.8373,78.63,78.63,157.27
6,0.3816,0.2078,2.1450,0.7847,0.1564,0.8137,78.63,78.63,157.27
6,0.3419,0.1979,2.1503,0.7849,0.1569,0.8164,78.63,78.63,157.27
7,0.3694,0.2197,2.1380,0.7926,0.1581,0.7942,78.63,78.63,157.27
7,0.3425,0.2059,2.1384,0.7978,0.1595,0.7959,78.63,78.63,157.27
8,0.3418,0.2187,2.1248,0.8052,0.1615,0.7771,78.63,78.63,157.27
8,0.3642,0.2279,2.1281,0.7967,0.1596,0.7771,78.63,78.63,157.27
9,0.3659,0.2360,2.1193,0.8100,0.1620,0.7588,78.63,78.63,157.27
9,0.3392,0.2225,2.1131,0.8076,0.1614,0.7672,78.63,78.63,157.27
10,0.3672,0.2413,2.1107,0.8077,0.1620,0.7492,78.63,78.63,157.27
10,0.3413,0.2281,2.1018,0.8138,0.1628,0.7454,78.63,78.63,157.27
11,0.3689,0.2470,2.1002,0.8174,0.1634,0.7338,78.63,78.63,157.27
11,0.3433,0.2307,2.0919,0.8240,0.1647,0.7291,78.63,78.63,157.27
12,0.3697,0.2504,2.0875,0.8234,0.1639,0.7220,78.63,78.63,157.27
12,0.3530,0.2364,2.0809,0.8267,0.1655,0.7187,78.63,78.63,157.27
13,0.3682,0.2528,2.0779,0.8245,0.1644,0.7120,78.63,78.63,157.27
13,0.3492,0.2388,2.0698,0.8302,0.1661,0.7061,78.63,78.63,157.27
14,0.3692,0.2531,2.0662,0.8186,0.1625,0.7241,78.63,78.63,157.27
14,0.3545,0.2490,2.0598,0.8315,0.1661,0.7011,78.63,78.63,157.27
15,0.3731,0.2574,2.0583,0.8285,0.1657,0.6924,78.63,78.63,157.27
15,0.3603,0.2499,2.0516,0.8277,0.1656,0.7040,78.63,78.63,157.27
16,0.3715,0.2592,2.0459,0.8286,0.1661,0.6816,78.63,78.63,157.27
16,0.3583,0.2556,2.0422,0.8310,0.1664,0.6794,78.63,78.63,157.27
17,0.3600,0.2603,2.0301,0.8376,0.1673,0.6691,78.63,78.63,157.27
17,0.3738,0.2588,2.0347,0.8265,0.1660,0.6760,78.63,78.63,157.27
18,0.3559,0.2646,2.0232,0.8331,0.1669,0.6659,78.63,78.63,157.27
18,0.3754,0.2620,2.0271,0.8261,0.1656,0.6716,78.63,78.63,157.27
19,0.3754,0.2651,2.0191,0.8351,0.1668,0.6561,78.63,78.63,157.27
19,0.3639,0.2707,2.0113,0.8399,0.1680,0.6487,78.63,78.63,157.27
20,0.3733,0.2655,2.0101,0.8328,0.1661,0.6558,78.63,78.63,157.27
20,0.3657,0.2706,2.0065,0.8383,0.1681,0.6410,78.63,78.63,157.27
21,0.3786,0.2713,1.9980,0.8304,0.1655,0.6527,78.63,78.63,157.27
21,0.3650,0.2795,1.9937,0.8347,0.1670,0.6413,78.63,78.63,157.27
22,0.3775,0.2739,1.9955,0.8251,0.1657,0.6538,78.63,78.63,157.27
22,0.3660,0.2772,1.9868,0.8493,0.1687,0.6237,78.63,78.63,157.27
23,0.3569,0.2831,1.9796,0.8496,0.1695,0.6139,78.63,78.63,157.27
23,0.3756,0.2757,1.9826,0.8398,0.1673,0.6261,78.63,78.63,157.27
24,0.3873,0.2724,1.9821,0.8455,0.1688,0.6098,78.63,78.63,157.27
24,0.3743,0.2803,1.9784,0.8442,0.1687,0.6116,78.63,78.63,157.27
25,0.3871,0.2779,1.9696,0.8391,0.1669,0.6277,78.63,78.63,157.27
25,0.3758,0.2862,1.9639,0.8351,0.1670,0.6215,78.63,78.63,157.27
26,0.3876,0.2830,1.9584,0.8260,0.1657,0.6230,78.63,78.63,157.27
26,0.3796,0.2859,1.9618,0.8388,0.1677,0.6108,78.63,78.63,157.27
27,0.3784,0.2884,1.9508,0.8402,0.1689,0.5950,78.63,78.63,157.27
27,0.3875,0.2819,1.9556,0.8397,0.1677,0.6019,78.63,78.63,157.27
28,0.3726,0.2922,1.9433,0.8482,0.1699,0.5806,78.63,78.63,157.27
28,0.3952,0.2830,1.9487,0.8450,0.1682,0.5875,78.63,78.63,157.27
29,0.3649,0.2926,1.9359,0.8488,0.1687,0.5896,78.63,78.63,157.27
29,0.3867,0.2876,1.9391,0.8343,0.1664,0.6044,78.63,78.63,157.27
30,0.3842,0.2948,1.9240,0.8445,0.1689,0.5706,78.63,78.63,157.27
30,0.3894,0.2867,1.9362,0.8423,0.1687,0.5824,78.63,78.63,157.27
31,0.3767,0.2979,1.9203,0.8498,0.1695,0.5664,78.63,78.63,157.27
31,0.3909,0.2925,1.9274,0.8466,0.1691,0.5691,78.63,78.63,157.27
32,0.3874,0.2925,1.9259,0.8481,0.1697,0.5595,78.63,78.63,157.27
