round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.00,196.58,196.58
1,0.1000,0.1000,2.3032,0.00,196.58,196.58
2,0.1330,0.1022,1.8366,196.58,196.58,393.17
2,0.1171,0.1055,1.8932,196.58,196.58,393.17
3,0.1036,0.1176,1.3945,196.58,196.58,393.17
3,0.1309,0.1095,1.3383,196.58,196.58,393.17
4,0.1169,0.1177,1.1834,196.58,196.58,393.17
4,0.1153,0.1280,1.2262,196.58,196.58,393.17
5,0.1161,0.1256,1.1092,196.58,196.58,393.17
5,0.1152,0.1367,1.1449,196.58,196.58,393.17
6,0.1141,0.1272,1.0567,196.58,196.58,393.17
6,0.1131,0.1419,1.0906,196.58,196.58,393.17
7,0.1159,0.1288,1.0161,196.58,196.58,393.17
7,0.1189,0.1442,1.0464,196.58,196.58,393.17
8,0.1197,0.1312,0.9823,196.58,196.58,393.17
8,0.1242,0.1443,1.0074,196.58,196.58,393.17
9,0.1239,0.1322,0.9522,196.58,196.58,393.17
9,0.1296,0.1448,0.9753,196.58,196.58,393.17
10,0.1258,0.1334,0.9269,196.58,196.58,393.17
10,0.1358,0.1468,0.9469,196.58,196.58,393.17
11,0.1286,0.1350,0.8994,196.58,196.58,393.17
11,0.1358,0.1467,0.9199,196.58,196.58,393.17
12,0.1379,0.1469,0.8945,196.58,196.58,393.17
12,0.1293,0.1358,0.8801,196.58,196.58,393.17
13,0.1375,0.1479,0.8734,196.58,196.58,393.17
13,0.1301,0.1375,0.8552,196.58,196.58,393.17
14,0.1358,0.1491,0.8468,196.58,196.58,393.17
14,0.1314,0.1393,0.8343,196.58,196.58,393.17
15,0.1367,0.1487,0.8275,196.58,196.58,393.17
15,0.1321,0.1416,0.8125,196.58,196.58,393.17
16,0.1379,0.1493,0.8072,196.58,196.58,393.17
16,0.1318,0.1431,0.7966,196.58,196.58,393.17
17,0.1393,0.1489,0.7887,196.58,196.58,393.17
17,0.1320,0.1437,0.7799,196.58,196.58,393.17
18,0.1318,0.1446,0.7660,196.58,196.58,393.17
18,0.1423,0.1508,0.7689,196.58,196.58,393.17
19,0.1361,0.1487,0.7516,196.58,196.58,393.17
19,0.1408,0.1520,0.7527,196.58,196.58,393.17
20,0.1430,0.1539,0.7388,196.58,196.58,393.17
20,0.1389,0.1513,0.7383,196.58,196.58,393.17
21,0.1428,0.1538,0.7209,196.58,196.58,393.17
21,0.1434,0.1563,0.7279,196.58,196.58,393.17
22,0.1398,0.1547,0.7078,196.58,196.58,393.17
22,0.1458,0.1566,0.7121,196.58,196.58,393.17
23,0.1419,0.1560,0.6949,196.58,196.58,393.17
23,0.1432,0.1570,0.6957,196.58,196.58,393.17
24,0.1483,0.1574,0.6834,196.58,196.58,393.17
24,0.1465,0.1585,0.6880,196.58,196.58,393.17
25,0.1496,0.1583,0.6741,196.58,196.58,393.17
25,0.1429,0.1593,0.6745,196.58,196.58,393.17
26,0.1513,0.1587,0.6660,196.58,196.58,393.17
26,0.1430,0.1611,0.6611,196.58,196.58,393.17
27,0.1540,0.1633,0.6588,196.58,196.58,393.17
27,0.1449,0.1619,0.6515,196.58,196.58,393.17
28,0.1492,0.1642,0.6408,196.58,196.58,393.17
28,0.1601,0.1649,0.6473,196.58,196.58,393.17
29,0.1652,0.1656,0.6355,196.58,196.58,393.17
29,0.1502,0.1665,0.6340,196.58,196.58,393.17
30,0.1652,0.1667,0.6302,196.58,196.58,393.17
30,0.1550,0.1684,0.6277,196.58,196.58,393.17
31,0.1737,0.1676,0.6243,196.58,196.58,393.17
31,0.1598,0.1693,0.6176,196.58,196.58,393.17
32,0.1791,0.1697,0.6140,196.58,196.58,393.17
32,0.1663,0.1734,0.6173,196.58,196.58,393.17
33,0.1764,0.1738,0.6099,196.58,196.58,393.17
33,0.1719,0.1720,0.6083,196.58,196.58,393.17
34,0.1736,0.1730,0.6005,196.58,196.58,393.17
34,0.1767,0.1704,0.6076,196.58,196.58,393.17
35,0.1680,0.1729,0.5946,196.58,196.58,393.17
35,0.1835,0.1750,0.5967,196.58,196.58,393.17
36,0.1852,0.1745,0.5972,196.58,196.58,393.17
36,0.1731,0.1738,0.5843,196.58,196.58,393.17
37,0.1781,0.1748,0.5921,196.58,196.58,393.17
37,0.1813,0.1777,0.5810,196.58,196.58,393.17
38,0.1952,0.1777,0.5900,196.58,196.58,393.17
38,0.1882,0.1785,0.5752,196.58,196.58,393.17
39,0.1925,0.1781,0.5857,196.58,196.58,393.17
39,0.1882,0.1810,0.5704,196.58,196.58,393.17
40,0.1892,0.1763,0.5745,196.58,196.58,393.17
40,0.1855,0.1816,0.5666,196.58,196.58,393.17
41,0.1955,0.1847,0.5632,196.58,196.58,393.17
41,0.1897,0.1775,0.5710,196.58,196.58,393.17
42,0.1993,0.1819,0.5686,196.58,196.58,393.17
42,0.1906,0.1822,0.5675,196.58,196.58,393.17
43,0.2018,0.1841,0.5676,196.58,196.58,393.17
43,0.1890,0.1836,0.5629,196.58,196.58,393.17
44,0.2021,0.1872,0.5600,196.58,196.58,393.17
44,0.2054,0.1834,0.5682,196.58,196.58,393.17
45,0.2053,0.1812,0.5654,196.58,196.58,393.17
45,0.1882,0.1861,0.5533,196.58,196.58,393.17
46,0.2021,0.1858,0.5618,196.58,196.58,393.17
46,0.2017,0.1862,0.5506,196.58,196.58,393.17
47,0.1944,0.1834,0.5558,196.58,196.58,393.17
47,0.1903,0.1858,0.5509,196.58,196.58,393.17
48,0.1904,0.1845,0.5518,196.58,196.58,393.17
48,0.1897,0.1854,0.5432,196.58,196.58,393.17
49,0.1891,0.1865,0.5482,196.58,196.58,393.17
49,0.2023,0.1891,0.5411,196.58,196.58,393.17
50,0.1910,0.1887,0.5368,196.58,196.58,393.17
50,0.1937,0.1876,0.5461,196.58,196.58,393.17
51,0.1984,0.1903,0.5337,196.58,196.58,393.17
51,0.1915,0.1883,0.5477,196.58,196.58,393.17
52,0.2044,0.1919,0.5368,196.58,196.58,393.17
52,0.1911,0.1887,0.5496,196.58,196.58,393.17
53,0.2005,0.1946,0.5285,196.58,196.58,393.17
53,0.1989,0.1888,0.5465,196.58,196.58,393.17
54,0.1955,0.1934,0.5291,196.58,196.58,393.17
54,0.1934,0.1843,0.5464,196.58,196.58,393.17
55,0.2006,0.1948,0.5301,196.58,196.58,393.17
55,0.1976,0.1894,0.5380,196.58,196.58,393.17
56,0.2058,0.1954,0.5270,196.58,196.58,393.17
56,0.2022,0.1900,0.5333,196.58,196.58,393.17
57,0.2086,0.1955,0.5230,196.58,196.58,393.17
57,0.2149,0.1955,0.5272,196.58,196.58,393.17
58,0.2110,0.1938,0.5206,196.58,196.58,393.17
58,0.2176,0.1920,0.5301,196.58,196.58,393.17
59,0.2127,0.1972,0.5236,196.58,196.58,393.17
59,0.2124,0.1915,0.5263,196.58,196.58,393.17
60,0.2221,0.1995,0.5156,196.58,196.58,393.17
60,0.2149,0.1912,0.5248,196.58,196.58,393.17
61,0.2158,0.1931,0.5216,196.58,196.58,393.17
61,0.2222,0.1986,0.5107,196.58,196.58,393.17
62,0.2167,0.1972,0.5072,196.58,196.58,393.17
62,0.2138,0.1904,0.5172,196.58,196.58,393.17
63,0.2126,0.1950,0.5135,196.58,196.58,393.17
63,0.2100,0.1999,0.5098,196.58,196.58,393.17
64,0.1977,0.1960,0.5119,196.58,196.58,393.17
64,0.2188,0.1960,0.5116,196.58,196.58,393.17
65,0.2003,0.1988,0.5130,196.58,196.58,393.17
65,0.2084,0.1933,0.5165,196.58,196.58,393.17
66,0.2179,0.1941,0.5173,196.58,196.58,393.17
66,0.2180,0.2059,0.5072,196.58,196.58,393.17
67,0.2238,0.1966,0.5226,196.58,196.58,393.17
67,0.2249,0.2056,0.5014,196.58,196.58,393.17
68,0.2255,0.2001,0.5078,196.58,196.58,393.17
68,0.2121,0.2049,0.4919,196.58,196.58,393.17
69,0.2257,0.2003,0.5031,196.58,196.58,393.17
69,0.2267,0.2076,0.4970,196.58,196.58,393.17
70,0.2304,0.2024,0.5000,196.58,196.58,393.17
70,0.2125,0.2072,0.4904,196.58,196.58,393.17
71,0.2268,0.2021,0.5001,196.58,196.58,393.17
71,0.2086,0.2036,0.4875,196.58,196.58,393.17
72,0.2228,0.2095,0.4846,196.58,196.58,393.17
72,0.2223,0.2028,0.5017,196.58,196.58,393.17
73,0.2330,0.2157,0.4914,196.58,196.58,393.17
73,0.2157,0.2028,0.5056,196.58,196.58,393.17
74,0.2270,0.2030,0.5047,196.58,196.58,393.17
74,0.2290,0.2122,0.4867,196.58,196.58,393.17
75,0.2313,0.2091,0.4826,196.58,196.58,393.17
75,0.2198,0.2005,0.5005,196.58,196.58,393.17
76,0.2405,0.2120,0.4779,196.58,196.58,393.17
76,0.2181,0.2011,0.4920,196.58,196.58,393.17
77,0.2378,0.2127,0.4837,196.58,196.58,393.17
77,0.2218,0.2012,0.4917,196.58,196.58,393.17
78,0.2247,0.2108,0.4775,196.58,196.58,393.17
78,0.2247,0.2015,0.4862,196.58,196.58,393.17
79,0.2275,0.2148,0.4767,196.58,196.58,393.17
79,0.2207,0.2019,0.4880,196.58,196.58,393.17
80,0.2323,0.2140,0.4793,196.58,196.58,393.17
80,0.2227,0.2057,0.4816,196.58,196.58,393.17
81,0.2274,0.2126,0.4718,196.58,196.58,393.17
81,0.2230,0.2051,0.4841,196.58,196.58,393.17
82,0.2260,0.2143,0.4770,196.58,196.58,393.17
