round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,196.58,196.58
1,0.1000,0.1000,2.3036,0.00,196.58,196.58
2,0.1356,0.1367,2.3063,196.58,196.58,393.17
2,0.1132,0.1116,2.3018,196.58,196.58,393.17
3,0.1936,0.1942,2.2518,196.58,196.58,393.17
3,0.1796,0.1722,2.2460,196.58,196.58,393.17
4,0.2337,0.2406,2.1764,196.58,196.58,393.17
4,0.2322,0.2334,2.1742,196.58,196.58,393.17
5,0.2617,0.2609,2.1242,196.58,196.58,393.17
5,0.2572,0.2613,2.1278,196.58,196.58,393.17
6,0.2743,0.2740,2.0928,196.58,196.58,393.17
6,0.2843,0.2797,2.0868,196.58,196.58,393.17
7,0.2853,0.2836,2.0653,196.58,196.58,393.17
7,0.2990,0.2930,2.0569,196.58,196.58,393.17
8,0.2941,0.2940,2.0403,196.58,196.58,393.17
8,0.3094,0.3037,2.0309,196.58,196.58,393.17
9,0.3151,0.3133,2.0068,196.58,196.58,393.17
9,0.3030,0.3016,2.0186,196.58,196.58,393.17
10,0.3243,0.3213,1.9849,196.58,196.58,393.17
10,0.3086,0.3093,1.9967,196.58,196.58,393.17
11,0.3303,0.3268,1.9636,196.58,196.58,393.17
11,0.3176,0.3184,1.9797,196.58,196.58,393.17
12,0.3380,0.3340,1.9446,196.58,196.58,393.17
12,0.3283,0.3265,1.9609,196.58,196.58,393.17
13,0.3432,0.3398,1.9246,196.58,196.58,393.17
13,0.3356,0.3326,1.9410,196.58,196.58,393.17
14,0.3476,0.3440,1.9081,196.58,196.58,393.17
14,0.3383,0.3359,1.9259,196.58,196.58,393.17
15,0.3527,0.3487,1.8909,196.58,196.58,393.17
15,0.3444,0.3426,1.9076,196.58,196.58,393.17
16,0.3568,0.3531,1.8744,196.58,196.58,393.17
16,0.3469,0.3473,1.8915,196.58,196.58,393.17
17,0.3614,0.3572,1.8585,196.58,196.58,393.17
17,0.3575,0.3551,1.8732,196.58,196.58,393.17
18,0.3651,0.3619,1.8415,196.58,196.58,393.17
18,0.3598,0.3599,1.8583,196.58,196.58,393.17
19,0.3686,0.3653,1.8296,196.58,196.58,393.17
19,0.3638,0.3641,1.8443,196.58,196.58,393.17
20,0.3706,0.3692,1.8131,196.58,196.58,393.17
20,0.3674,0.3689,1.8286,196.58,196.58,393.17
21,0.3775,0.3722,1.8039,196.58,196.58,393.17
21,0.3720,0.3714,1.8161,196.58,196.58,393.17
22,0.3800,0.3757,1.7933,196.58,196.58,393.17
22,0.3756,0.3751,1.8046,196.58,196.58,393.17
23,0.3822,0.3789,1.7832,196.58,196.58,393.17
23,0.3787,0.3794,1.7910,196.58,196.58,393.17
24,0.3840,0.3804,1.7749,196.58,196.58,393.17
24,0.3834,0.3828,1.7813,196.58,196.58,393.17
25,0.3865,0.3837,1.7663,196.58,196.58,393.17
25,0.3848,0.3853,1.7714,196.58,196.58,393.17
26,0.3896,0.3860,1.7600,196.58,196.58,393.17
26,0.3885,0.3888,1.7625,196.58,196.58,393.17
27,0.3917,0.3894,1.7509,196.58,196.58,393.17
27,0.3905,0.3924,1.7520,196.58,196.58,393.17
28,0.3945,0.3936,1.7422,196.58,196.58,393.17
28,0.3919,0.3943,1.7462,196.58,196.58,393.17
29,0.4024,0.3969,1.7323,196.58,196.58,393.17
29,0.3981,0.3994,1.7321,196.58,196.58,393.17
30,0.4008,0.3994,1.7250,196.58,196.58,393.17
30,0.4040,0.4015,1.7257,196.58,196.58,393.17
31,0.4015,0.4014,1.7219,196.58,196.58,393.17
31,0.4057,0.4048,1.7173,196.58,196.58,393.17
32,0.4090,0.4062,1.7089,196.58,196.58,393.17
32,0.4071,0.4085,1.7067,196.58,196.58,393.17
33,0.4101,0.4085,1.7044,196.58,196.58,393.17
33,0.4125,0.4117,1.7032,196.58,196.58,393.17
34,0.4128,0.4140,1.6955,196.58,196.58,393.17
34,0.4154,0.4110,1.7012,196.58,196.58,393.17
35,0.4168,0.4128,1.6936,196.58,196.58,393.17
35,0.4174,0.4177,1.6855,196.58,196.58,393.17
36,0.4163,0.4177,1.6896,196.58,196.58,393.17
36,0.4192,0.4193,1.6824,196.58,196.58,393.17
37,0.4185,0.4188,1.6812,196.58,196.58,393.17
37,0.4239,0.4241,1.6759,196.58,196.58,393.17
38,0.4201,0.4216,1.6816,196.58,196.58,393.17
38,0.4244,0.4265,1.6646,196.58,196.58,393.17
39,0.4223,0.4241,1.6707,196.58,196.58,393.17
39,0.4263,0.4303,1.6539,196.58,196.58,393.17
40,0.4232,0.4263,1.6705,196.58,196.58,393.17
40,0.4286,0.4325,1.6516,196.58,196.58,393.17
41,0.4272,0.4292,1.6580,196.58,196.58,393.17
41,0.4315,0.4348,1.6468,196.58,196.58,393.17
42,0.4299,0.4321,1.6544,196.58,196.58,393.17
42,0.4366,0.4370,1.6401,196.58,196.58,393.17
43,0.4304,0.4338,1.6526,196.58,196.58,393.17
43,0.4352,0.4380,1.6319,196.58,196.58,393.17
44,0.4390,0.4422,1.6280,196.58,196.58,393.17
44,0.4353,0.4370,1.6499,196.58,196.58,393.17
45,0.4425,0.4456,1.6150,196.58,196.58,393.17
45,0.4352,0.4377,1.6446,196.58,196.58,393.17
46,0.4451,0.4477,1.6132,196.58,196.58,393.17
46,0.4339,0.4402,1.6396,196.58,196.58,393.17
47,0.4488,0.4484,1.6108,196.58,196.58,393.17
47,0.4371,0.4418,1.6333,196.58,196.58,393.17
48,0.4477,0.4504,1.6071,196.58,196.58,393.17
48,0.4406,0.4450,1.6277,196.58,196.58,393.17
49,0.4510,0.4523,1.5995,196.58,196.58,393.17
49,0.4440,0.4464,1.6218,196.58,196.58,393.17
