round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.00,196.58,196.58
1,0.1000,0.1000,2.3032,0.00,196.58,196.58
2,0.1248,0.1279,2.3057,196.58,196.58,393.17
2,0.1165,0.1072,2.2941,196.58,196.58,393.17
3,0.1770,0.1769,2.2588,196.58,196.58,393.17
3,0.1886,0.1619,2.2396,196.58,196.58,393.17
4,0.2224,0.2202,2.2030,196.58,196.58,393.17
4,0.2463,0.2170,2.1851,196.58,196.58,393.17
5,0.2418,0.2418,2.1623,196.58,196.58,393.17
5,0.2618,0.2441,2.1473,196.58,196.58,393.17
6,0.2559,0.2559,2.1320,196.58,196.58,393.17
6,0.2707,0.2591,2.1164,196.58,196.58,393.17
7,0.2679,0.2673,2.1067,196.58,196.58,393.17
7,0.2763,0.2700,2.0909,196.58,196.58,393.17
8,0.2741,0.2762,2.0881,196.58,196.58,393.17
8,0.2805,0.2784,2.0684,196.58,196.58,393.17
9,0.2871,0.2860,2.0699,196.58,196.58,393.17
9,0.2878,0.2864,2.0484,196.58,196.58,393.17
10,0.2909,0.2922,2.0523,196.58,196.58,393.17
10,0.2922,0.2934,2.0318,196.58,196.58,393.17
11,0.2938,0.2977,2.0416,196.58,196.58,393.17
11,0.3025,0.2991,2.0167,196.58,196.58,393.17
12,0.2984,0.3037,2.0255,196.58,196.58,393.17
12,0.3026,0.3033,2.0035,196.58,196.58,393.17
13,0.3061,0.3083,2.0121,196.58,196.58,393.17
13,0.3117,0.3128,1.9870,196.58,196.58,393.17
14,0.3102,0.3131,2.0007,196.58,196.58,393.17
14,0.3114,0.3157,1.9746,196.58,196.58,393.17
15,0.3159,0.3189,1.9891,196.58,196.58,393.17
15,0.3176,0.3215,1.9646,196.58,196.58,393.17
16,0.3225,0.3234,1.9775,196.58,196.58,393.17
16,0.3242,0.3259,1.9546,196.58,196.58,393.17
17,0.3284,0.3285,1.9677,196.58,196.58,393.17
17,0.3282,0.3302,1.9417,196.58,196.58,393.17
18,0.3369,0.3357,1.9565,196.58,196.58,393.17
18,0.3377,0.3366,1.9297,196.58,196.58,393.17
19,0.3394,0.3405,1.9479,196.58,196.58,393.17
19,0.3416,0.3415,1.9237,196.58,196.58,393.17
20,0.3409,0.3404,1.9401,196.58,196.58,393.17
20,0.3453,0.3433,1.9149,196.58,196.58,393.17
21,0.3496,0.3457,1.9277,196.58,196.58,393.17
21,0.3487,0.3481,1.9051,196.58,196.58,393.17
22,0.3530,0.3493,1.9212,196.58,196.58,393.17
22,0.3509,0.3519,1.8963,196.58,196.58,393.17
23,0.3584,0.3531,1.9149,196.58,196.58,393.17
23,0.3546,0.3543,1.8979,196.58,196.58,393.17
24,0.3587,0.3551,1.9073,196.58,196.58,393.17
24,0.3576,0.3567,1.8879,196.58,196.58,393.17
25,0.3631,0.3598,1.9035,196.58,196.58,393.17
25,0.3625,0.3606,1.8822,196.58,196.58,393.17
26,0.3693,0.3644,1.8953,196.58,196.58,393.17
26,0.3695,0.3643,1.8819,196.58,196.58,393.17
27,0.3713,0.3680,1.8892,196.58,196.58,393.17
27,0.3726,0.3683,1.8738,196.58,196.58,393.17
28,0.3723,0.3690,1.8825,196.58,196.58,393.17
28,0.3768,0.3720,1.8680,196.58,196.58,393.17
29,0.3752,0.3724,1.8777,196.58,196.58,393.17
29,0.3791,0.3740,1.8675,196.58,196.58,393.17
30,0.3804,0.3763,1.8738,196.58,196.58,393.17
30,0.3784,0.3764,1.8621,196.58,196.58,393.17
31,0.3829,0.3789,1.8700,196.58,196.58,393.17
31,0.3827,0.3795,1.8609,196.58,196.58,393.17
32,0.3869,0.3816,1.8634,196.58,196.58,393.17
32,0.3805,0.3786,1.8609,196.58,196.58,393.17
33,0.3912,0.3853,1.8607,196.58,196.58,393.17
33,0.3853,0.3842,1.8545,196.58,196.58,393.17
34,0.3933,0.3910,1.8584,196.58,196.58,393.17
34,0.3926,0.3868,1.8539,196.58,196.58,393.17
35,0.3955,0.3910,1.8532,196.58,196.58,393.17
35,0.3896,0.3887,1.8525,196.58,196.58,393.17
36,0.3974,0.3916,1.8564,196.58,196.58,393.17
36,0.3934,0.3892,1.8465,196.58,196.58,393.17
37,0.4026,0.3966,1.8447,196.58,196.58,393.17
37,0.3975,0.3945,1.8448,196.58,196.58,393.17
38,0.4083,0.4009,1.8399,196.58,196.58,393.17
38,0.3984,0.3973,1.8394,196.58,196.58,393.17
39,0.4060,0.4033,1.8350,196.58,196.58,393.17
39,0.3988,0.3979,1.8403,196.58,196.58,393.17
40,0.4065,0.4041,1.8224,196.58,196.58,393.17
40,0.4023,0.3983,1.8420,196.58,196.58,393.17
41,0.4094,0.4063,1.8369,196.58,196.58,393.17
41,0.4085,0.4064,1.8270,196.58,196.58,393.17
42,0.4103,0.4050,1.8322,196.58,196.58,393.17
42,0.4129,0.4083,1.8175,196.58,196.58,393.17
43,0.4134,0.4107,1.8232,196.58,196.58,393.17
43,0.4128,0.4102,1.8187,196.58,196.58,393.17
44,0.4128,0.4114,1.8278,196.58,196.58,393.17
44,0.4159,0.4135,1.8138,196.58,196.58,393.17
45,0.4147,0.4137,1.8278,196.58,196.58,393.17
45,0.4196,0.4143,1.8119,196.58,196.58,393.17
46,0.4179,0.4152,1.8224,196.58,196.58,393.17
46,0.4215,0.4185,1.8073,196.58,196.58,393.17
47,0.4182,0.4155,1.8257,196.58,196.58,393.17
47,0.4212,0.4200,1.8073,196.58,196.58,393.17
48,0.4268,0.4232,1.8017,196.58,196.58,393.17
48,0.4190,0.4168,1.8190,196.58,196.58,393.17
49,0.4182,0.4200,1.8074,196.58,196.58,393.17
49,0.4204,0.4187,1.8198,196.58,196.58,393.17
50,0.4258,0.4245,1.7947,196.58,196.58,393.17
50,0.4232,0.4227,1.8149,196.58,196.58,393.17
51,0.4287,0.4265,1.7945,196.58,196.58,393.17
51,0.4293,0.4278,1.8114,196.58,196.58,393.17
52,0.4370,0.4307,1.7821,196.58,196.58,393.17
52,0.4274,0.4274,1.8125,196.58,196.58,393.17
53,0.4317,0.4307,1.7831,196.58,196.58,393.17
53,0.4260,0.4253,1.8153,196.58,196.58,393.17
54,0.4378,0.4340,1.7782,196.58,196.58,393.17
54,0.4282,0.4276,1.8112,196.58,196.58,393.17
55,0.4362,0.4334,1.7850,196.58,196.58,393.17
55,0.4313,0.4318,1.8073,196.58,196.58,393.17
56,0.4439,0.4373,1.7765,196.58,196.58,393.17
56,0.4347,0.4342,1.7985,196.58,196.58,393.17
57,0.4379,0.4367,1.7734,196.58,196.58,393.17
57,0.4343,0.4324,1.8067,196.58,196.58,393.17
58,0.4451,0.4388,1.7713,196.58,196.58,393.17
58,0.4359,0.4352,1.8043,196.58,196.58,393.17
59,0.4466,0.4434,1.7752,196.58,196.58,393.17
59,0.4408,0.4381,1.7993,196.58,196.58,393.17
60,0.4439,0.4425,1.7823,196.58,196.58,393.17
60,0.4408,0.4388,1.8033,196.58,196.58,393.17
61,0.4465,0.4434,1.7671,196.58,196.58,393.17
61,0.4384,0.4375,1.8045,196.58,196.58,393.17
62,0.4521,0.4490,1.7604,196.58,196.58,393.17
62,0.4408,0.4412,1.8003,196.58,196.58,393.17
63,0.4496,0.4470,1.7630,196.58,196.58,393.17
63,0.4410,0.4422,1.7982,196.58,196.58,393.17
64,0.4515,0.4484,1.7620,196.58,196.58,393.17
64,0.4456,0.4469,1.7915,196.58,196.58,393.17
65,0.4502,0.4479,1.7696,196.58,196.58,393.17
65,0.4434,0.4433,1.8046,196.58,196.58,393.17
66,0.4585,0.4529,1.7515,196.58,196.58,393.17
66,0.4470,0.4469,1.7897,196.58,196.58,393.17
67,0.4568,0.4545,1.7605,196.58,196.58,393.17
67,0.4494,0.4488,1.7871,196.58,196.58,393.17
68,0.4530,0.4501,1.7883,196.58,196.58,393.17
68,0.4557,0.4543,1.7484,196.58,196.58,393.17
69,0.4624,0.4569,1.7506,196.58,196.58,393.17
69,0.4524,0.4514,1.7929,196.58,196.58,393.17
70,0.4631,0.4583,1.7543,196.58,196.58,393.17
70,0.4538,0.4531,1.7876,196.58,196.58,393.17
71,0.4596,0.4560,1.7464,196.58,196.58,393.17
71,0.4589,0.4565,1.7875,196.58,196.58,393.17
72,0.4581,0.4576,1.7559,196.58,196.58,393.17
72,0.4517,0.4540,1.7874,196.58,196.58,393.17
73,0.4627,0.4632,1.7464,196.58,196.58,393.17
73,0.4539,0.4550,1.7855,196.58,196.58,393.17
74,0.4611,0.4605,1.7493,196.58,196.58,393.17
74,0.4576,0.4575,1.7847,196.58,196.58,393.17
75,0.4692,0.4642,1.7399,196.58,196.58,393.17
75,0.4590,0.4606,1.7837,196.58,196.58,393.17
76,0.4690,0.4654,1.7481,196.58,196.58,393.17
76,0.4581,0.4596,1.7736,196.58,196.58,393.17
77,0.4707,0.4675,1.7307,196.58,196.58,393.17
77,0.4566,0.4571,1.7950,196.58,196.58,393.17
78,0.4704,0.4694,1.7379,196.58,196.58,393.17
78,0.4634,0.4616,1.7785,196.58,196.58,393.17
79,0.4732,0.4682,1.7463,196.58,196.58,393.17
79,0.4609,0.4613,1.7830,196.58,196.58,393.17
80,0.4762,0.4721,1.7269,196.58,196.58,393.17
80,0.4634,0.4624,1.7777,196.58,196.58,393.17
81,0.4715,0.4695,1.7340,196.58,196.58,393.17
81,0.4592,0.4618,1.7865,196.58,196.58,393.17
82,0.4750,0.4713,1.7325,196.58,196.58,393.17
