round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,196.58,196.58
1,0.1000,0.1000,2.3036,0.00,196.58,196.58
2,0.2757,0.1046,2.3069,196.58,196.58,393.17
2,0.1978,0.0970,2.3121,196.58,196.58,393.17
3,0.4446,0.1404,2.2795,196.58,196.58,393.17
3,0.2770,0.1358,2.2900,196.58,196.58,393.17
4,0.4146,0.1726,2.2332,196.58,196.58,393.17
4,0.3073,0.1755,2.2390,196.58,196.58,393.17
5,0.3827,0.1857,2.2053,196.58,196.58,393.17
5,0.2977,0.1891,2.2096,196.58,196.58,393.17
6,0.3671,0.1919,2.1890,196.58,196.58,393.17
6,0.2977,0.1990,2.1929,196.58,196.58,393.17
7,0.3562,0.1972,2.1777,196.58,196.58,393.17
7,0.2965,0.2075,2.1809,196.58,196.58,393.17
8,0.3469,0.2022,2.1690,196.58,196.58,393.17
8,0.2967,0.2145,2.1714,196.58,196.58,393.17
9,0.2945,0.2196,2.1633,196.58,196.58,393.17
9,0.3415,0.2078,2.1615,196.58,196.58,393.17
10,0.2928,0.2254,2.1554,196.58,196.58,393.17
10,0.3352,0.2118,2.1551,196.58,196.58,393.17
11,0.3306,0.2159,2.1489,196.58,196.58,393.17
11,0.2937,0.2298,2.1480,196.58,196.58,393.17
12,0.3294,0.2210,2.1429,196.58,196.58,393.17
12,0.2940,0.2337,2.1409,196.58,196.58,393.17
13,0.3271,0.2260,2.1375,196.58,196.58,393.17
13,0.2950,0.2358,2.1344,196.58,196.58,393.17
14,0.3271,0.2302,2.1320,196.58,196.58,393.17
14,0.2955,0.2396,2.1276,196.58,196.58,393.17
15,0.3261,0.2341,2.1264,196.58,196.58,393.17
15,0.2977,0.2425,2.1215,196.58,196.58,393.17
16,0.3241,0.2375,2.1212,196.58,196.58,393.17
16,0.2992,0.2445,2.1156,196.58,196.58,393.17
17,0.3241,0.2408,2.1156,196.58,196.58,393.17
17,0.3021,0.2476,2.1097,196.58,196.58,393.17
18,0.3252,0.2448,2.1099,196.58,196.58,393.17
18,0.3041,0.2493,2.1037,196.58,196.58,393.17
19,0.3237,0.2490,2.1053,196.58,196.58,393.17
19,0.3068,0.2516,2.0983,196.58,196.58,393.17
20,0.3253,0.2516,2.1000,196.58,196.58,393.17
20,0.3081,0.2532,2.0926,196.58,196.58,393.17
21,0.3254,0.2546,2.0946,196.58,196.58,393.17
21,0.3118,0.2561,2.0877,196.58,196.58,393.17
22,0.3298,0.2579,2.0900,196.58,196.58,393.17
22,0.3154,0.2582,2.0827,196.58,196.58,393.17
23,0.3322,0.2609,2.0843,196.58,196.58,393.17
23,0.3161,0.2608,2.0775,196.58,196.58,393.17
24,0.3327,0.2650,2.0795,196.58,196.58,393.17
24,0.3201,0.2624,2.0724,196.58,196.58,393.17
25,0.3364,0.2677,2.0744,196.58,196.58,393.17
25,0.3217,0.2640,2.0677,196.58,196.58,393.17
26,0.3352,0.2694,2.0685,196.58,196.58,393.17
26,0.3226,0.2650,2.0632,196.58,196.58,393.17
27,0.3404,0.2705,2.0648,196.58,196.58,393.17
27,0.3275,0.2669,2.0581,196.58,196.58,393.17
28,0.3434,0.2709,2.0597,196.58,196.58,393.17
28,0.3300,0.2690,2.0533,196.58,196.58,393.17
29,0.3438,0.2719,2.0542,196.58,196.58,393.17
29,0.3298,0.2709,2.0481,196.58,196.58,393.17
30,0.3469,0.2730,2.0497,196.58,196.58,393.17
30,0.3312,0.2723,2.0432,196.58,196.58,393.17
31,0.3477,0.2733,2.0441,196.58,196.58,393.17
31,0.3356,0.2739,2.0392,196.58,196.58,393.17
32,0.3486,0.2758,2.0390,196.58,196.58,393.17
32,0.3406,0.2752,2.0348,196.58,196.58,393.17
33,0.3524,0.2763,2.0346,196.58,196.58,393.17
33,0.3388,0.2758,2.0305,196.58,196.58,393.17
34,0.3519,0.2769,2.0301,196.58,196.58,393.17
34,0.3417,0.2779,2.0256,196.58,196.58,393.17
35,0.3544,0.2788,2.0258,196.58,196.58,393.17
35,0.3415,0.2789,2.0208,196.58,196.58,393.17
36,0.3551,0.2800,2.0208,196.58,196.58,393.17
36,0.3448,0.2805,2.0156,196.58,196.58,393.17
37,0.3475,0.2819,2.0115,196.58,196.58,393.17
37,0.3534,0.2807,2.0157,196.58,196.58,393.17
38,0.3482,0.2804,2.0086,196.58,196.58,393.17
38,0.3593,0.2814,2.0107,196.58,196.58,393.17
39,0.3487,0.2830,2.0033,196.58,196.58,393.17
39,0.3656,0.2815,2.0062,196.58,196.58,393.17
40,0.3624,0.2797,2.0018,196.58,196.58,393.17
40,0.3518,0.2841,1.9995,196.58,196.58,393.17
41,0.3485,0.2863,1.9940,196.58,196.58,393.17
41,0.3604,0.2810,1.9971,196.58,196.58,393.17
42,0.3656,0.2824,1.9923,196.58,196.58,393.17
42,0.3561,0.2859,1.9915,196.58,196.58,393.17
43,0.3630,0.2828,1.9885,196.58,196.58,393.17
43,0.3566,0.2857,1.9874,196.58,196.58,393.17
44,0.3680,0.2833,1.9849,196.58,196.58,393.17
44,0.3563,0.2885,1.9823,196.58,196.58,393.17
45,0.3668,0.2837,1.9792,196.58,196.58,393.17
45,0.3566,0.2890,1.9781,196.58,196.58,393.17
46,0.3691,0.2833,1.9755,196.58,196.58,393.17
46,0.3582,0.2912,1.9731,196.58,196.58,393.17
47,0.3732,0.2840,1.9705,196.58,196.58,393.17
47,0.3647,0.2901,1.9711,196.58,196.58,393.17
48,0.3748,0.2861,1.9655,196.58,196.58,393.17
48,0.3653,0.2942,1.9643,196.58,196.58,393.17
49,0.3745,0.2882,1.9621,196.58,196.58,393.17
49,0.3657,0.2929,1.9617,196.58,196.58,393.17
