algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
FedALA,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-27T03:14:25Z,2026-03-27T04:01:20Z
FedALA,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-27T04:01:20Z,2026-03-27T04:45:42Z
FedALA,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-27T04:45:42Z,2026-03-27T05:38:27Z
FedALA,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-27T05:38:27Z,2026-03-27T06:58:04Z
FedALA,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-27T06:58:04Z,2026-03-27T09:33:17Z
FedALA,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-27T09:33:17Z,2026-03-27T11:13:29Z
FedALA,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-27T11:13:29Z,2026-03-27T13:17:49Z
FedALA,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-27T13:17:49Z,2026-03-27T15:21:30Z
FedProto,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-27T15:21:30Z,2026-03-27T23:04:53Z
FedProto,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-27T23:04:53Z,2026-03-28T05:43:20Z
FedProto,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-28T05:43:20Z,2026-03-28T12:26:42Z
FedProto,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-28T12:26:42Z,2026-03-28T22:12:19Z
FedProto,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-28T22:12:19Z,2026-03-29T10:17:31Z
FedProto,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-29T10:17:31Z,2026-03-29T22:10:45Z
