algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
Local,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-26T20:17:29Z,2026-03-26T21:44:38Z
Local,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-26T21:44:38Z,2026-03-26T22:58:23Z
Local,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-26T22:58:23Z,2026-03-27T00:12:23Z
Local,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-27T00:12:23Z,2026-03-27T01:25:53Z
FedAS,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-27T01:25:53Z,2026-03-27T05:18:55Z
FedAS,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-27T05:18:55Z,2026-03-27T12:18:45Z
FedAS,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-27T12:18:45Z,2026-03-27T21:44:04Z
FedAS,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-27T21:44:04Z,2026-03-28T04:58:09Z
FedKD,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-28T04:58:09Z,2026-03-28T09:42:54Z
FedKD,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-28T09:42:54Z,2026-03-28T13:39:06Z
FedKD,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-28T13:39:06Z,2026-03-28T20:30:32Z
FedKD,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-28T20:30:32Z,2026-03-28T23:02:06Z
FedAvg,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-28T23:02:06Z,2026-03-29T02:33:03Z
FedAvg,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-29T02:33:03Z,2026-03-29T06:38:12Z
FedAvg,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-29T06:38:12Z,2026-03-29T10:17:16Z
FedAvg,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-29T10:17:16Z,2026-03-29T14:07:57Z
FedProx,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-29T14:07:57Z,2026-03-29T17:26:59Z
FedProx,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-29T17:26:59Z,2026-03-29T20:53:00Z
FedProx,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-29T20:53:00Z,2026-03-30T00:04:02Z
FedProx,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-30T00:04:02Z,2026-03-30T03:30:03Z
LG-FedAvg,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-30T03:30:03Z,2026-03-30T05:57:56Z
LG-FedAvg,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-30T05:57:56Z,2026-03-30T06:47:10Z
LG-FedAvg,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-30T06:47:10Z,2026-03-30T07:44:07Z
LG-FedAvg,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-30T07:44:07Z,2026-03-30T09:01:43Z
Ditto,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-30T09:01:43Z,2026-03-30T12:03:10Z
Ditto,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-30T12:03:10Z,2026-03-30T16:16:31Z
Ditto,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-30T16:16:31Z,2026-03-30T18:13:52Z
Ditto,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-30T18:13:52Z,2026-03-30T19:57:09Z
FedBN,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-30T19:57:09Z,2026-03-30T20:47:59Z
FedBN,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-30T20:47:59Z,2026-03-30T21:37:49Z
FedBN,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-30T21:37:49Z,2026-03-30T22:27:38Z
FedBN,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-30T22:27:39Z,2026-03-30T23:17:24Z
FedNTD,pat_nc50,Cifar100_pat_nc50,ok,0,2026-03-30T23:17:24Z,2026-03-31T00:14:10Z
FedNTD,dir0.1_nc50,Cifar100_dir0.1_nc50,ok,0,2026-03-31T00:14:10Z,2026-03-31T01:07:23Z
FedNTD,dir0.5_nc50,Cifar100_dir0.5_nc50,ok,0,2026-03-31T01:07:23Z,2026-03-31T02:15:17Z
FedNTD,dir1.0_nc50,Cifar100_dir1.0_nc50,ok,0,2026-03-31T02:15:17Z,2026-03-31T03:28:09Z
