algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
FedAS,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-25T01:46:08Z,2026-03-25T05:34:11Z
FedKD,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-25T05:34:11Z,2026-03-25T07:47:17Z
FedKD,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-25T07:47:17Z,2026-03-25T10:13:17Z
FedKD,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-25T10:13:17Z,2026-03-25T12:56:23Z
FedKD,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-25T12:56:23Z,2026-03-25T15:38:32Z
FedAvg,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-25T15:38:32Z,2026-03-25T17:57:44Z
FedAvg,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-25T17:57:44Z,2026-03-25T20:04:19Z
FedAvg,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-25T20:04:19Z,2026-03-25T21:57:23Z
FedAvg,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-25T21:57:23Z,2026-03-25T23:33:40Z
FedProx,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-25T23:33:40Z,2026-03-26T01:17:40Z
FedProx,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-26T01:17:40Z,2026-03-26T03:02:40Z
FedProx,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-26T03:02:40Z,2026-03-26T04:42:47Z
