algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
FedProx,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-26T05:43:13Z,2026-03-26T07:07:11Z
LG-FedAvg,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-26T07:07:11Z,2026-03-26T07:55:10Z
LG-FedAvg,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-26T07:55:10Z,2026-03-26T08:42:10Z
LG-FedAvg,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-26T08:42:10Z,2026-03-26T09:24:16Z
LG-FedAvg,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-26T09:24:16Z,2026-03-26T10:05:18Z
Ditto,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-26T10:05:18Z,2026-03-26T11:23:00Z
Ditto,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-26T11:23:00Z,2026-03-26T12:29:58Z
Ditto,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-26T12:29:58Z,2026-03-26T13:37:01Z
Ditto,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-26T13:37:01Z,2026-03-26T14:44:01Z
FedBN,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-26T14:44:01Z,2026-03-26T15:17:32Z
FedBN,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-26T15:17:32Z,2026-03-26T15:51:11Z
FedBN,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-26T15:51:11Z,2026-03-26T16:23:21Z
FedBN,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-26T16:23:21Z,2026-03-26T16:59:54Z
FedNTD,pat_nc20,Cifar100_pat_nc20,ok,0,2026-03-26T16:59:54Z,2026-03-26T17:49:47Z
FedNTD,dir0.1_nc20,Cifar100_dir0.1_nc20,ok,0,2026-03-26T17:49:47Z,2026-03-26T18:38:58Z
FedNTD,dir0.5_nc20,Cifar100_dir0.5_nc20,ok,0,2026-03-26T18:38:58Z,2026-03-26T19:28:23Z
FedNTD,dir1.0_nc20,Cifar100_dir1.0_nc20,ok,0,2026-03-26T19:28:23Z,2026-03-26T20:17:29Z
