algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
Ditto,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-18T12:45:13Z,2026-03-18T15:38:10Z
Ditto,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-18T15:38:10Z,2026-03-18T16:32:42Z
Ditto,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-18T16:32:42Z,2026-03-18T17:25:35Z
Ditto,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-18T17:25:35Z,2026-03-18T18:18:20Z
FedBN,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-18T18:18:20Z,2026-03-18T18:48:24Z
FedBN,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-18T18:48:24Z,2026-03-18T19:18:40Z
FedBN,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-18T19:18:40Z,2026-03-18T19:47:51Z
FedBN,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-18T19:47:51Z,2026-03-18T20:16:50Z
FedNTD,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-18T20:16:50Z,2026-03-18T20:48:44Z
FedNTD,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-18T20:48:44Z,2026-03-18T21:21:27Z
FedNTD,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-18T21:21:27Z,2026-03-18T21:53:51Z
FedNTD,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-18T21:53:51Z,2026-03-18T22:25:56Z
