algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
Local,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-21T00:41:15Z,2026-03-21T01:14:17Z
Local,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-21T01:14:17Z,2026-03-21T01:46:46Z
Local,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-21T01:46:46Z,2026-03-21T02:19:00Z
Local,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-21T02:19:00Z,2026-03-21T02:51:16Z
FedAS,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-21T02:51:16Z,2026-03-21T04:05:43Z
FedAS,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-21T04:05:43Z,2026-03-21T05:20:22Z
FedAS,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-21T05:20:22Z,2026-03-21T06:41:47Z
FedAS,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-21T06:41:47Z,2026-03-21T08:07:49Z
FedKD,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-21T08:07:49Z,2026-03-21T09:28:20Z
FedKD,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-21T09:28:20Z,2026-03-21T10:45:29Z
FedKD,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-21T10:45:29Z,2026-03-21T12:06:15Z
FedKD,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-21T12:06:15Z,2026-03-21T13:36:23Z
FedAvg,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-21T13:36:23Z,2026-03-21T14:38:00Z
FedAvg,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-21T14:38:00Z,2026-03-21T15:22:19Z
FedAvg,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-21T15:22:19Z,2026-03-21T16:15:05Z
FedAvg,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-21T16:15:05Z,2026-03-21T17:04:08Z
FedProx,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-21T17:04:08Z,2026-03-21T17:44:26Z
FedProx,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-21T17:44:26Z,2026-03-21T18:19:46Z
FedProx,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-21T18:19:46Z,2026-03-21T18:55:20Z
FedProx,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-21T18:55:20Z,2026-03-21T19:30:33Z
Ditto,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-21T19:30:33Z,2026-03-21T20:24:31Z
Ditto,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-21T20:24:31Z,2026-03-21T21:17:29Z
Ditto,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-21T21:17:29Z,2026-03-21T22:10:32Z
Ditto,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-21T22:10:32Z,2026-03-21T23:03:50Z
FedBN,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-21T23:03:50Z,2026-03-21T23:30:35Z
FedBN,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-21T23:30:35Z,2026-03-21T23:56:45Z
FedBN,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-21T23:56:45Z,2026-03-22T00:23:01Z
FedBN,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-22T00:23:01Z,2026-03-22T00:53:20Z
FedNTD,pat_nc50,MNIST_pat_nc50,ok,0,2026-03-22T00:53:20Z,2026-03-22T01:30:05Z
FedNTD,dir0.1_nc50,MNIST_dir0.1_nc50,ok,0,2026-03-22T01:30:05Z,2026-03-22T02:06:21Z
FedNTD,dir0.5_nc50,MNIST_dir0.5_nc50,ok,0,2026-03-22T02:06:21Z,2026-03-22T02:42:44Z
FedNTD,dir1.0_nc50,MNIST_dir1.0_nc50,ok,0,2026-03-22T02:42:44Z,2026-03-22T03:18:09Z
