idx,total_jobs,global_job_idx,worker_id,num_workers,dataset_base,algorithm,rho,num_clients,seed,run_ordinal,target_runs,dataset,status,exit_code,start_utc,end_utc,run_log,complete_before,complete_after,latest_complete_acc_csv
2,30,2,0,1,Cifar10,cwFedAvg,0.0,50,2,2,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-18T19:24:13Z,2026-06-18T20:12:34Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g2_q2_Cifar10_cwFedAvg_rho0p0_nc50_seed2_run2.log,0,2,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260619/time_042417_seed2/acc.csv
1,30,1,0,1,Cifar10,cwFedAvg,0.0,50,1,1,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-18T19:24:13Z,2026-06-18T20:12:47Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g1_q1_Cifar10_cwFedAvg_rho0p0_nc50_seed1_run1.log,0,2,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260619/time_042417_seed2/acc.csv
3,30,3,0,1,Cifar10,cwFedAvg,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-18T20:12:34Z,2026-06-18T21:00:42Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g3_q3_Cifar10_cwFedAvg_rho0p0_nc50_seed3_run3.log,0,3,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260619/time_051239/acc.csv
4,30,4,0,1,Cifar10,cwFedAvg,0.2,50,1,1,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-18T20:12:47Z,2026-06-18T21:00:52Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g4_q4_Cifar10_cwFedAvg_rho0p2_nc50_seed1_run1.log,0,1,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260619/time_051251/acc.csv
5,30,5,0,1,Cifar10,cwFedAvg,0.2,50,2,2,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-18T21:00:42Z,2026-06-18T21:47:57Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g5_q5_Cifar10_cwFedAvg_rho0p2_nc50_seed2_run2.log,0,2,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260619/time_060047/acc.csv
6,30,6,0,1,Cifar10,cwFedAvg,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-18T21:00:52Z,2026-06-18T21:48:48Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g6_q6_Cifar10_cwFedAvg_rho0p2_nc50_seed3_run3.log,0,3,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260619/time_060059/acc.csv
7,30,7,0,1,Cifar10,cwFedAvg,0.4,50,1,1,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-18T21:47:57Z,2026-06-18T22:36:31Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g7_q7_Cifar10_cwFedAvg_rho0p4_nc50_seed1_run1.log,0,2,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260619/time_064854/acc.csv
8,30,8,0,1,Cifar10,cwFedAvg,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-18T21:48:48Z,2026-06-18T22:36:38Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g8_q8_Cifar10_cwFedAvg_rho0p4_nc50_seed2_run2.log,0,2,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260619/time_064854/acc.csv
9,30,9,0,1,Cifar10,cwFedAvg,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-18T22:36:31Z,2026-06-18T23:23:39Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g9_q9_Cifar10_cwFedAvg_rho0p4_nc50_seed3_run3.log,0,3,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260619/time_073636/acc.csv
10,30,10,0,1,Cifar10,cwFedAvg,0.6,50,1,1,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-18T22:36:38Z,2026-06-18T23:23:55Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/cwfedavg_splitgp_rho_vgg8_3runs/date_20260618/time_192413/run_logs/g10_q10_Cifar10_cwFedAvg_rho0p6_nc50_seed1_run1.log,0,1,/home1/irteam/workspace/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260619/time_073644/acc.csv
