idx,total,dataset_base,algorithm,rho,num_clients,seed,dataset,status,exit_code,start_utc,end_utc,run_log
1,10,Cifar10,FedDST,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,failed,130,2026-06-17T14:49:33Z,2026-06-17T15:53:18Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/1_Cifar10_FedDST_rho0p0_nc50_seed1.log
2,10,Cifar10,FedDST,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,failed,143,2026-06-17T14:49:33Z,2026-06-17T15:53:18Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/2_Cifar10_FedDST_rho0p2_nc50_seed1.log
3,10,Cifar10,FedDST,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,failed,143,2026-06-17T14:49:33Z,2026-06-17T15:53:18Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/3_Cifar10_FedDST_rho0p4_nc50_seed1.log
4,10,Cifar10,FedDST,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,failed,143,2026-06-17T14:49:33Z,2026-06-17T15:53:18Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/4_Cifar10_FedDST_rho0p6_nc50_seed1.log
5,10,Cifar10,FedDST,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,failed,130,2026-06-17T15:53:18Z,2026-06-17T15:53:19Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/5_Cifar10_FedDST_rho0p8_nc50_seed1.log
6,10,FashionMNIST,FedDST,0.0,50,1,FashionMNIST_splitgp_pat_rho0.0_nc50,failed,143,2026-06-17T15:53:19Z,2026-06-17T15:53:19Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/6_FashionMNIST_FedDST_rho0p0_nc50_seed1.log
7,10,FashionMNIST,FedDST,0.2,50,1,FashionMNIST_splitgp_pat_rho0.2_nc50,failed,143,2026-06-17T15:53:19Z,2026-06-17T15:53:19Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/7_FashionMNIST_FedDST_rho0p2_nc50_seed1.log
8,10,FashionMNIST,FedDST,0.4,50,1,FashionMNIST_splitgp_pat_rho0.4_nc50,failed,143,2026-06-17T15:53:19Z,2026-06-17T15:53:19Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/8_FashionMNIST_FedDST_rho0p4_nc50_seed1.log
9,10,FashionMNIST,FedDST,0.6,50,1,FashionMNIST_splitgp_pat_rho0.6_nc50,failed,130,2026-06-17T15:53:19Z,2026-06-17T15:53:19Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/9_FashionMNIST_FedDST_rho0p6_nc50_seed1.log
10,10,FashionMNIST,FedDST,0.8,50,1,FashionMNIST_splitgp_pat_rho0.8_nc50,failed,143,2026-06-17T15:53:19Z,2026-06-17T15:53:19Z,/home1/irteam/workspace/FedCD/FedCD-Baseline/batch_runs/feddst_splitgp_rho_vgg8/date_20260617/time_144933/run_logs/10_FashionMNIST_FedDST_rho0p8_nc50_seed1.log
