algorithm,scenario,dataset,status,exit_code,start_utc,end_utc
FedCross,pat_nc20,Cifar10_pat_nc20,ok,0,2026-03-27T09:43:26Z,2026-03-27T10:59:15Z
FedCross,dir0.1_nc20,Cifar10_dir0.1_nc20,ok,0,2026-03-27T10:59:15Z,2026-03-27T13:03:30Z
FedCross,dir0.5_nc20,Cifar10_dir0.5_nc20,ok,0,2026-03-27T13:03:30Z,2026-03-27T15:09:19Z
FedCross,dir1.0_nc20,Cifar10_dir1.0_nc20,ok,0,2026-03-27T15:09:19Z,2026-03-27T16:54:31Z
FedCross,pat_nc50,Cifar10_pat_nc50,ok,0,2026-03-27T16:54:31Z,2026-03-27T20:49:01Z
FedCross,dir0.1_nc50,Cifar10_dir0.1_nc50,ok,0,2026-03-27T20:49:01Z,2026-03-27T23:26:26Z
FedCross,dir0.5_nc50,Cifar10_dir0.5_nc50,ok,0,2026-03-27T23:26:26Z,2026-03-28T02:03:41Z
FedCross,dir1.0_nc50,Cifar10_dir1.0_nc50,ok,0,2026-03-28T02:03:41Z,2026-03-28T04:43:57Z
GPFL,pat_nc20,Cifar10_pat_nc20,failed,1,2026-03-28T04:43:57Z,2026-03-28T04:44:20Z
GPFL,dir0.1_nc20,Cifar10_dir0.1_nc20,failed,1,2026-03-28T04:44:20Z,2026-03-28T04:44:41Z
GPFL,dir0.5_nc20,Cifar10_dir0.5_nc20,failed,1,2026-03-28T04:44:41Z,2026-03-28T04:45:00Z
GPFL,dir1.0_nc20,Cifar10_dir1.0_nc20,failed,1,2026-03-28T04:45:00Z,2026-03-28T04:45:24Z
GPFL,pat_nc50,Cifar10_pat_nc50,failed,1,2026-03-28T04:45:24Z,2026-03-28T04:45:45Z
GPFL,dir0.1_nc50,Cifar10_dir0.1_nc50,failed,1,2026-03-28T04:45:45Z,2026-03-28T04:46:08Z
GPFL,dir0.5_nc50,Cifar10_dir0.5_nc50,failed,1,2026-03-28T04:46:08Z,2026-03-28T04:46:29Z
GPFL,dir1.0_nc50,Cifar10_dir1.0_nc50,failed,1,2026-03-28T04:46:29Z,2026-03-28T04:46:49Z
