idx,total,dataset_base,algorithm,rho,num_clients,seed,dataset,status,exit_code,start_utc,end_utc,run_log
1,10,Cifar10,PMOE_FedPer,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-21T16:05:29Z,2026-06-21T17:22:58Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/1_Cifar10_PMOE_FedPer_rho0p0_nc50_seed1.log
2,10,Cifar10,PMOE_FedPer,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-21T17:22:58Z,2026-06-21T18:40:59Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/2_Cifar10_PMOE_FedPer_rho0p2_nc50_seed1.log
3,10,Cifar10,PMOE_FedPer,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-21T18:40:59Z,2026-06-21T19:55:33Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/3_Cifar10_PMOE_FedPer_rho0p4_nc50_seed1.log
4,10,Cifar10,PMOE_FedPer,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-21T19:55:33Z,2026-06-21T20:48:33Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/4_Cifar10_PMOE_FedPer_rho0p6_nc50_seed1.log
5,10,Cifar10,PMOE_FedPer,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-21T20:48:33Z,2026-06-21T21:26:15Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/5_Cifar10_PMOE_FedPer_rho0p8_nc50_seed1.log
6,10,FashionMNIST,PMOE_FedPer,0.0,50,1,FashionMNIST_splitgp_pat_rho0.0_nc50,ok,0,2026-06-21T21:26:15Z,2026-06-21T21:52:40Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/6_FashionMNIST_PMOE_FedPer_rho0p0_nc50_seed1.log
7,10,FashionMNIST,PMOE_FedPer,0.2,50,1,FashionMNIST_splitgp_pat_rho0.2_nc50,ok,0,2026-06-21T21:52:40Z,2026-06-21T22:11:29Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/7_FashionMNIST_PMOE_FedPer_rho0p2_nc50_seed1.log
8,10,FashionMNIST,PMOE_FedPer,0.4,50,1,FashionMNIST_splitgp_pat_rho0.4_nc50,ok,0,2026-06-21T22:11:29Z,2026-06-21T22:30:28Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/8_FashionMNIST_PMOE_FedPer_rho0p4_nc50_seed1.log
9,10,FashionMNIST,PMOE_FedPer,0.6,50,1,FashionMNIST_splitgp_pat_rho0.6_nc50,ok,0,2026-06-21T22:30:29Z,2026-06-21T22:49:27Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/9_FashionMNIST_PMOE_FedPer_rho0p6_nc50_seed1.log
10,10,FashionMNIST,PMOE_FedPer,0.8,50,1,FashionMNIST_splitgp_pat_rho0.8_nc50,ok,0,2026-06-21T22:49:27Z,2026-06-21T23:08:28Z,/c/Users/mulso/Documents/GitHub/FedCD/FedCD-Baseline/batch_runs/pmoe_fedper_splitgp_rho_vgg8/date_20260621/time_160528/run_logs/10_FashionMNIST_PMOE_FedPer_rho0p8_nc50_seed1.log
