dataset,method,round,phase,existing_id,existing_ood,newcomer_id,newcomer_ood
cifar10,DualFed,0,phase1,0.16666667,0.08333333,,
cifar10,DualFed,1,phase1,0.5,0.0,,
cifar10,DualFed,2,phase1,0.54316667,0.0,,
cifar10,DualFed,3,phase1,0.63183333,0.0,,
cifar10,DualFed,4,phase1,0.6745,0.0,,
cifar10,DualFed,5,phase1,0.704,0.0,,
cifar10,DualFed,6,phase1,0.7185,0.0,,
cifar10,DualFed,7,phase1,0.725,0.0,,
cifar10,DualFed,8,phase1,0.73433333,0.0,,
cifar10,DualFed,9,phase1,0.73616667,0.0,,
cifar10,DualFed,10,phase1,0.74116667,0.0,,
cifar10,DualFed,11,phase1,0.74766667,0.0,,
cifar10,DualFed,12,phase1,0.751,0.0,,
cifar10,DualFed,13,phase1,0.75816667,0.0,,
cifar10,DualFed,14,phase1,0.7635,0.0,,
cifar10,DualFed,15,phase1,0.76533333,0.0,,
cifar10,DualFed,16,phase1,0.7695,0.0,,
cifar10,DualFed,17,phase1,0.77133333,0.0,,
cifar10,DualFed,18,phase1,0.77333333,0.0,,
cifar10,DualFed,19,phase1,0.7755,0.0,,
cifar10,DualFed,20,phase1,0.77816667,0.0,,
cifar10,DualFed,21,phase1,0.78033333,0.0,,
cifar10,DualFed,22,phase1,0.7805,0.0,,
cifar10,DualFed,23,phase1,0.78133333,0.0,,
cifar10,DualFed,24,phase1,0.784,0.0,,
cifar10,DualFed,25,phase1,0.78433333,0.0,,
cifar10,DualFed,26,phase1,0.78733333,0.0,,
cifar10,DualFed,27,phase1,0.78933333,0.0,,
cifar10,DualFed,28,phase1,0.79466667,0.0,,
cifar10,DualFed,29,phase1,0.79566667,0.0,,
cifar10,DualFed,30,phase1,0.7925,0.0,,
cifar10,DualFed,31,phase1,0.8005,0.0,,
cifar10,DualFed,32,phase1,0.80533333,0.0,,
cifar10,DualFed,33,phase1,0.80616667,0.0,,
cifar10,DualFed,34,phase1,0.805,0.0,,
cifar10,DualFed,35,phase1,0.81066667,0.0,,
cifar10,DualFed,36,phase1,0.81083333,0.0,,
cifar10,DualFed,37,phase1,0.81383333,0.0,,
cifar10,DualFed,38,phase1,0.81233333,0.0,,
cifar10,DualFed,39,phase1,0.81116667,0.0,,
cifar10,DualFed,40,phase1,0.816,0.0,,
cifar10,DualFed,41,phase1,0.81833333,0.0,,
cifar10,DualFed,42,phase1,0.81533333,0.0,,
cifar10,DualFed,43,phase1,0.82233333,0.0,,
cifar10,DualFed,44,phase1,0.82616667,0.0,,
cifar10,DualFed,45,phase1,0.82583333,0.0,,
cifar10,DualFed,46,phase1,0.82316667,0.0,,
cifar10,DualFed,47,phase1,0.81683333,0.0,,
cifar10,DualFed,48,phase1,0.82116667,0.0,,
cifar10,DualFed,49,phase1,0.8225,0.0,,
cifar10,DualFed,50,phase1,0.8295,0.0,,
cifar10,DualFed,51,phase2,0.823,0.0,0.0,0.125
cifar10,DualFed,52,phase2,0.8105,0.0,0.0,0.195
cifar10,DualFed,53,phase2,0.8245,0.0,0.5345,0.0690625
cifar10,DualFed,54,phase2,0.8125,0.0,0.638,0.000625
cifar10,DualFed,55,phase2,0.819,0.0,0.671,0.0
cifar10,DualFed,56,phase2,0.81,0.0,0.6975,0.0
cifar10,DualFed,57,phase2,0.81366667,0.0,0.7165,0.0
cifar10,DualFed,58,phase2,0.81033333,0.0,0.72975,0.0
cifar10,DualFed,59,phase2,0.821,0.0,0.746,0.0
cifar10,DualFed,60,phase2,0.81566667,0.0,0.75675,0.0
cifar10,DualFed,61,phase2,0.81016667,0.0,0.77025,0.0
cifar10,DualFed,62,phase2,0.81883333,0.0,0.77775,0.0
cifar10,DualFed,63,phase2,0.825,0.0,0.788,0.0
