idx,total,dataset_base,algorithm,rho,num_clients,seed,dataset,status,exit_code,start_utc,end_utc,run_log,existing_acc_csv
1,80,Cifar10,cwFedAvg,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-02T10:53:22Z,2026-06-02T11:26:06Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/1_Cifar10_cwFedAvg_rho0p0_nc50_seed1.log,
2,80,Cifar10,cwFedAvg,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-02T11:26:06Z,2026-06-02T11:58:47Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/2_Cifar10_cwFedAvg_rho0p2_nc50_seed1.log,
3,80,Cifar10,cwFedAvg,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-02T11:58:47Z,2026-06-02T12:31:41Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/3_Cifar10_cwFedAvg_rho0p4_nc50_seed1.log,
4,80,Cifar10,cwFedAvg,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-02T12:31:41Z,2026-06-02T13:04:39Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/4_Cifar10_cwFedAvg_rho0p6_nc50_seed1.log,
5,80,Cifar10,cwFedAvg,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-02T13:04:39Z,2026-06-02T13:37:25Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/5_Cifar10_cwFedAvg_rho0p8_nc50_seed1.log,
6,80,Cifar10,FedALA,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-02T13:37:25Z,2026-06-02T14:16:18Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/6_Cifar10_FedALA_rho0p0_nc50_seed1.log,
7,80,Cifar10,FedALA,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-02T14:16:18Z,2026-06-02T14:55:12Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/7_Cifar10_FedALA_rho0p2_nc50_seed1.log,
8,80,Cifar10,FedALA,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-02T14:55:12Z,2026-06-02T15:34:13Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/8_Cifar10_FedALA_rho0p4_nc50_seed1.log,
9,80,Cifar10,FedALA,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-02T15:34:13Z,2026-06-02T16:12:48Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/9_Cifar10_FedALA_rho0p6_nc50_seed1.log,
10,80,Cifar10,FedALA,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-02T16:12:48Z,2026-06-02T16:51:41Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/10_Cifar10_FedALA_rho0p8_nc50_seed1.log,
11,80,Cifar10,FedAS,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-02T16:51:41Z,2026-06-02T18:08:28Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/11_Cifar10_FedAS_rho0p0_nc50_seed1.log,
12,80,Cifar10,FedAS,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-02T18:08:28Z,2026-06-02T19:27:39Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/12_Cifar10_FedAS_rho0p2_nc50_seed1.log,
13,80,Cifar10,FedAS,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-02T19:27:39Z,2026-06-02T20:44:33Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/13_Cifar10_FedAS_rho0p4_nc50_seed1.log,
14,80,Cifar10,FedAS,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-02T20:44:33Z,2026-06-02T22:03:32Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/14_Cifar10_FedAS_rho0p6_nc50_seed1.log,
15,80,Cifar10,FedAS,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-02T22:03:32Z,2026-06-02T23:20:01Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/15_Cifar10_FedAS_rho0p8_nc50_seed1.log,
16,80,Cifar10,FedAvg,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-02T23:20:01Z,2026-06-02T23:58:00Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/16_Cifar10_FedAvg_rho0p0_nc50_seed1.log,
17,80,Cifar10,FedAvg,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-02T23:58:00Z,2026-06-03T00:35:14Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/17_Cifar10_FedAvg_rho0p2_nc50_seed1.log,
18,80,Cifar10,FedAvg,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-03T00:35:14Z,2026-06-03T01:13:15Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/18_Cifar10_FedAvg_rho0p4_nc50_seed1.log,
19,80,Cifar10,FedAvg,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-03T01:13:15Z,2026-06-03T01:50:59Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/19_Cifar10_FedAvg_rho0p6_nc50_seed1.log,
20,80,Cifar10,FedAvg,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-03T01:50:59Z,2026-06-03T02:28:41Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/20_Cifar10_FedAvg_rho0p8_nc50_seed1.log,
21,80,Cifar10,FedBN,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-03T02:28:41Z,2026-06-03T03:02:10Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/21_Cifar10_FedBN_rho0p0_nc50_seed1.log,
22,80,Cifar10,FedBN,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-03T03:02:10Z,2026-06-03T03:35:43Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/22_Cifar10_FedBN_rho0p2_nc50_seed1.log,
23,80,Cifar10,FedBN,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-03T03:35:43Z,2026-06-03T04:09:12Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/23_Cifar10_FedBN_rho0p4_nc50_seed1.log,
24,80,Cifar10,FedBN,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-03T04:09:12Z,2026-06-03T04:42:46Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/24_Cifar10_FedBN_rho0p6_nc50_seed1.log,
25,80,Cifar10,FedBN,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-03T04:42:46Z,2026-06-03T05:16:20Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/25_Cifar10_FedBN_rho0p8_nc50_seed1.log,
26,80,Cifar10,FedCross,0.0,50,1,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-03T05:16:20Z,2026-06-03T06:06:20Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/26_Cifar10_FedCross_rho0p0_nc50_seed1.log,
27,80,Cifar10,FedCross,0.2,50,1,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-03T06:06:20Z,2026-06-03T06:56:16Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/27_Cifar10_FedCross_rho0p2_nc50_seed1.log,
28,80,Cifar10,FedCross,0.4,50,1,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-03T06:56:16Z,2026-06-03T08:00:56Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/28_Cifar10_FedCross_rho0p4_nc50_seed1.log,
29,80,Cifar10,FedCross,0.6,50,1,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-03T08:00:56Z,2026-06-03T08:55:47Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/29_Cifar10_FedCross_rho0p6_nc50_seed1.log,
30,80,Cifar10,FedCross,0.8,50,1,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-03T08:55:47Z,2026-06-03T09:45:45Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8/date_20260602/time_105322/run_logs/30_Cifar10_FedCross_rho0p8_nc50_seed1.log,
