dataset_base,algorithm,rho,num_clients,complete_before,queued_runs,existing_acc_csvs
Cifar10,cwFedAvg,0.0,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_105324/acc.csv
Cifar10,cwFedAvg,0.2,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_112607/acc.csv
Cifar10,cwFedAvg,0.4,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_115849/acc.csv
Cifar10,cwFedAvg,0.6,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260602/time_123143/acc.csv
Cifar10,cwFedAvg,0.8,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260602/time_130441/acc.csv
Cifar10,FedALA,0.0,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_133727/acc.csv
Cifar10,FedALA,0.2,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_141620/acc.csv
Cifar10,FedALA,0.4,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_145514/acc.csv
Cifar10,FedALA,0.6,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260602/time_153414/acc.csv
Cifar10,FedALA,0.8,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260602/time_161250/acc.csv
Cifar10,FedAS,0.0,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_165143/acc.csv
Cifar10,FedAS,0.2,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_180830/acc.csv
Cifar10,FedAS,0.4,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_192741/acc.csv
Cifar10,FedAS,0.6,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.6/NC_50/date_20260602/time_204435/acc.csv
Cifar10,FedAS,0.8,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.8/NC_50/date_20260602/time_220334/acc.csv
Cifar10,FedAvg,0.0,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_232003/acc.csv
Cifar10,FedAvg,0.2,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_235802/acc.csv
Cifar10,FedAvg,0.4,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260603/time_003516/acc.csv
Cifar10,FedAvg,0.6,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260603/time_011317/acc.csv
Cifar10,FedAvg,0.8,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260603/time_015101/acc.csv
Cifar10,FedBN,0.0,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.0/NC_50/date_20260603/time_022843/acc.csv
Cifar10,FedBN,0.2,50,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedBN/GM_VGG8/splitgp_rho0.2/NC_50/date_20260603/time_030212/acc.csv
