idx,total_jobs,dataset_base,algorithm,rho,num_clients,seed,run_ordinal,target_runs,dataset,status,exit_code,start_utc,end_utc,run_log,complete_before,complete_after,latest_complete_acc_csv
2,170,Cifar10,cwFedAvg,0.0,50,3,3,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-12T13:53:46Z,2026-06-12T14:40:54Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/2_Cifar10_cwFedAvg_rho0p0_nc50_seed3_run3.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_135352_seed3/acc.csv
1,170,Cifar10,cwFedAvg,0.0,50,2,2,3,Cifar10_splitgp_pat_rho0.0_nc50,ok,0,2026-06-12T13:53:46Z,2026-06-12T14:41:05Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/1_Cifar10_cwFedAvg_rho0p0_nc50_seed2_run2.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_135352_seed3/acc.csv
3,170,Cifar10,cwFedAvg,0.2,50,2,2,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-12T14:40:54Z,2026-06-12T15:28:45Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/3_Cifar10_cwFedAvg_rho0p2_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_144056/acc.csv
4,170,Cifar10,cwFedAvg,0.2,50,3,3,3,Cifar10_splitgp_pat_rho0.2_nc50,ok,0,2026-06-12T14:41:05Z,2026-06-12T15:28:58Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/4_Cifar10_cwFedAvg_rho0p2_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_144107/acc.csv
5,170,Cifar10,cwFedAvg,0.4,50,2,2,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-12T15:28:45Z,2026-06-12T16:16:19Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/5_Cifar10_cwFedAvg_rho0p4_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_152847/acc.csv
6,170,Cifar10,cwFedAvg,0.4,50,3,3,3,Cifar10_splitgp_pat_rho0.4_nc50,ok,0,2026-06-12T15:28:58Z,2026-06-12T16:16:32Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/6_Cifar10_cwFedAvg_rho0p4_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_152900/acc.csv
7,170,Cifar10,cwFedAvg,0.6,50,2,2,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-12T16:16:19Z,2026-06-12T17:04:24Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/7_Cifar10_cwFedAvg_rho0p6_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_161621/acc.csv
8,170,Cifar10,cwFedAvg,0.6,50,3,3,3,Cifar10_splitgp_pat_rho0.6_nc50,ok,0,2026-06-12T16:16:32Z,2026-06-12T17:04:37Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/8_Cifar10_cwFedAvg_rho0p6_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_161634/acc.csv
9,170,Cifar10,cwFedAvg,0.8,50,2,2,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-12T17:04:24Z,2026-06-12T17:52:24Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/9_Cifar10_cwFedAvg_rho0p8_nc50_seed2_run2.log,1,2,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_170426/acc.csv
10,170,Cifar10,cwFedAvg,0.8,50,3,3,3,Cifar10_splitgp_pat_rho0.8_nc50,ok,0,2026-06-12T17:04:37Z,2026-06-12T17:52:37Z,/ds1home/aislab/Min/FedCD/FedCD-Baseline/batch_runs/splitgp_rho_baselines_vgg8_3runs/date_20260612/time_135346/run_logs/10_Cifar10_cwFedAvg_rho0p8_nc50_seed3_run3.log,1,3,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_170439/acc.csv
