dataset_base,algorithm,rho,num_clients,complete_before,queued_runs,existing_acc_csvs
Cifar10,cwFedAvg,0.0,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_105324/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_135352/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_135352_seed3/acc.csv
Cifar10,cwFedAvg,0.2,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_112607/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_144056/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_144107/acc.csv
Cifar10,cwFedAvg,0.4,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_115849/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_152847/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_152900/acc.csv
Cifar10,cwFedAvg,0.6,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260602/time_123143/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_161621/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_161634/acc.csv
Cifar10,cwFedAvg,0.8,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260602/time_130441/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_170426/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/cwFedAvg/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_170439/acc.csv
Cifar10,FedALA,0.0,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_133727/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_175226/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_175240/acc.csv
Cifar10,FedALA,0.2,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_141620/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_184543/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.2/NC_50/date_20260612/time_184609/acc.csv
Cifar10,FedALA,0.4,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_145514/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_193842/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.4/NC_50/date_20260612/time_193907/acc.csv
Cifar10,FedALA,0.6,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260602/time_153414/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_203147/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.6/NC_50/date_20260612/time_203218/acc.csv
Cifar10,FedALA,0.8,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260602/time_161250/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_212511/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedALA/GM_VGG8/splitgp_rho0.8/NC_50/date_20260612/time_212541/acc.csv
Cifar10,FedAS,0.0,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260602/time_165143/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_221755/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.0/NC_50/date_20260612/time_221821/acc.csv
Cifar10,FedAS,0.2,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.2/NC_50/date_20260602/time_180830/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_000723/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.2/NC_50/date_20260613/time_000804/acc.csv
Cifar10,FedAS,0.4,50,3,0,/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.4/NC_50/date_20260602/time_192741/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_015708/acc.csv;/ds1home/aislab/Min/FedCD/FedCD-Baseline/logs/cifar10/FedAS/GM_VGG8/splitgp_rho0.4/NC_50/date_20260613/time_015719/acc.csv
