round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.0103,0.0103,4.6059,0.0103,0.0103,4.6059,0.00,201.00,201.00
2,0.0102,0.0129,4.6076,0.0251,0.0120,4.6274,201.00,201.00,401.99
3,0.0144,0.0139,4.6052,0.0378,0.0119,4.6361,201.00,201.00,401.99
4,0.0170,0.0162,4.5941,0.0683,0.0136,4.6224,201.00,201.00,401.99
5,0.0220,0.0219,4.5819,0.0950,0.0155,4.5798,201.00,201.00,401.99
6,0.0274,0.0283,4.5699,0.1072,0.0170,4.5206,201.00,201.00,401.99
7,0.0330,0.0336,4.5586,0.1152,0.0179,4.4633,201.00,201.00,401.99
8,0.0364,0.0386,4.5479,0.1195,0.0186,4.4152,201.00,201.00,401.99
9,0.0418,0.0430,4.5375,0.1215,0.0190,4.3752,201.00,201.00,401.99
10,0.0444,0.0457,4.5270,0.1225,0.0195,4.3416,201.00,201.00,401.99
11,0.0458,0.0470,4.5169,0.1251,0.0196,4.3122,201.00,201.00,401.99
12,0.0465,0.0480,4.5070,0.1254,0.0199,4.2860,201.00,201.00,401.99
13,0.0463,0.0480,4.4972,0.1269,0.0202,4.2625,201.00,201.00,401.99
14,0.0471,0.0484,4.4874,0.1302,0.0205,4.2401,201.00,201.00,401.99
15,0.0464,0.0485,4.4778,0.1326,0.0211,4.2186,201.00,201.00,401.99
16,0.0475,0.0496,4.4676,0.1337,0.0216,4.1985,201.00,201.00,401.99
17,0.0479,0.0499,4.4582,0.1366,0.0219,4.1793,201.00,201.00,401.99
18,0.0485,0.0505,4.4494,0.1382,0.0223,4.1615,201.00,201.00,401.99
19,0.0501,0.0514,4.4401,0.1400,0.0227,4.1441,201.00,201.00,401.99
20,0.0503,0.0520,4.4307,0.1418,0.0231,4.1271,201.00,201.00,401.99
21,0.0515,0.0529,4.4217,0.1432,0.0235,4.1114,201.00,201.00,401.99
22,0.0521,0.0537,4.4126,0.1453,0.0240,4.0969,201.00,201.00,401.99
23,0.0536,0.0553,4.4027,0.1474,0.0246,4.0818,201.00,201.00,401.99
24,0.0545,0.0566,4.3940,0.1491,0.0250,4.0676,201.00,201.00,401.99
25,0.0563,0.0581,4.3853,0.1518,0.0256,4.0539,201.00,201.00,401.99
26,0.0565,0.0589,4.3771,0.1543,0.0263,4.0419,201.00,201.00,401.99
27,0.0567,0.0592,4.3687,0.1552,0.0267,4.0277,201.00,201.00,401.99
28,0.0574,0.0602,4.3594,0.1575,0.0273,4.0151,201.00,201.00,401.99
29,0.0588,0.0614,4.3505,0.1581,0.0278,4.0028,201.00,201.00,401.99
30,0.0600,0.0623,4.3420,0.1605,0.0283,3.9906,201.00,201.00,401.99
31,0.0606,0.0629,4.3347,0.1621,0.0287,3.9792,201.00,201.00,401.99
32,0.0619,0.0639,4.3269,0.1629,0.0290,3.9686,201.00,201.00,401.99
33,0.0635,0.0650,4.3188,0.1656,0.0297,3.9566,201.00,201.00,401.99
34,0.0639,0.0653,4.3095,0.1663,0.0301,3.9455,201.00,201.00,401.99
35,0.0647,0.0667,4.3024,0.1677,0.0306,3.9349,201.00,201.00,401.99
36,0.0649,0.0676,4.2947,0.1695,0.0310,3.9228,201.00,201.00,401.99
37,0.0661,0.0687,4.2860,0.1697,0.0315,3.9116,201.00,201.00,401.99
38,0.0668,0.0697,4.2779,0.1705,0.0317,3.8997,201.00,201.00,401.99
39,0.0678,0.0708,4.2700,0.1715,0.0323,3.8892,201.00,201.00,401.99
40,0.0689,0.0716,4.2636,0.1733,0.0327,3.8790,201.00,201.00,401.99
41,0.0689,0.0724,4.2552,0.1756,0.0331,3.8685,201.00,201.00,401.99
42,0.0693,0.0732,4.2486,0.1761,0.0334,3.8583,201.00,201.00,401.99
43,0.0712,0.0745,4.2389,0.1789,0.0339,3.8482,201.00,201.00,401.99
44,0.0724,0.0757,4.2310,0.1810,0.0344,3.8383,201.00,201.00,401.99
45,0.0720,0.0762,4.2241,0.1812,0.0350,3.8276,201.00,201.00,401.99
46,0.0743,0.0774,4.2169,0.1814,0.0353,3.8177,201.00,201.00,401.99
47,0.0750,0.0780,4.2100,0.1842,0.0356,3.8083,201.00,201.00,401.99
48,0.0761,0.0793,4.2020,0.1848,0.0361,3.7991,201.00,201.00,401.99
49,0.0764,0.0800,4.1942,0.1862,0.0363,3.7899,201.00,201.00,401.99
50,0.0772,0.0812,4.1872,0.1883,0.0369,3.7801,201.00,201.00,401.99
51,0.0786,0.0820,4.1797,0.1873,0.0372,3.7686,201.00,201.00,401.99
52,0.0791,0.0832,4.1726,0.1894,0.0377,3.7594,201.00,201.00,401.99
53,0.0814,0.0840,4.1643,0.1898,0.0380,3.7504,201.00,201.00,401.99
54,0.0817,0.0849,4.1569,0.1915,0.0387,3.7413,201.00,201.00,401.99
55,0.0828,0.0856,4.1495,0.1919,0.0388,3.7302,201.00,201.00,401.99
56,0.0844,0.0870,4.1427,0.1931,0.0392,3.7206,201.00,201.00,401.99
57,0.0855,0.0884,4.1348,0.1930,0.0395,3.7101,201.00,201.00,401.99
