round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.0090,0.0090,4.6058,0.0090,0.0090,4.6058,0.00,80.40,80.40
2,0.0191,0.0183,4.5978,0.0194,0.0109,4.6342,80.40,80.40,160.80
3,0.0247,0.0234,4.5704,0.0638,0.0187,4.5986,80.40,80.40,160.80
4,0.0293,0.0286,4.5475,0.0805,0.0218,4.5399,80.40,80.40,160.80
5,0.0333,0.0324,4.5261,0.0879,0.0232,4.5017,80.40,80.40,160.80
6,0.0370,0.0364,4.5049,0.0914,0.0241,4.4730,80.40,80.40,160.80
7,0.0401,0.0398,4.4835,0.0942,0.0248,4.4484,80.40,80.40,160.80
8,0.0446,0.0440,4.4617,0.0978,0.0257,4.4238,80.40,80.40,160.80
9,0.0470,0.0485,4.4395,0.1014,0.0269,4.4011,80.40,80.40,160.80
10,0.0528,0.0533,4.4173,0.1049,0.0280,4.3778,80.40,80.40,160.80
11,0.0573,0.0582,4.3948,0.1094,0.0295,4.3554,80.40,80.40,160.80
12,0.0607,0.0624,4.3735,0.1124,0.0307,4.3327,80.40,80.40,160.80
13,0.0654,0.0661,4.3522,0.1149,0.0320,4.3118,80.40,80.40,160.80
14,0.0689,0.0697,4.3311,0.1180,0.0332,4.2899,80.40,80.40,160.80
15,0.0723,0.0726,4.3112,0.1206,0.0346,4.2680,80.40,80.40,160.80
16,0.0768,0.0756,4.2909,0.1244,0.0361,4.2460,80.40,80.40,160.80
17,0.0786,0.0786,4.2713,0.1265,0.0373,4.2240,80.40,80.40,160.80
18,0.0831,0.0820,4.2516,0.1289,0.0385,4.2021,80.40,80.40,160.80
19,0.0870,0.0853,4.2335,0.1332,0.0399,4.1803,80.40,80.40,160.80
20,0.0908,0.0891,4.2145,0.1351,0.0411,4.1594,80.40,80.40,160.80
21,0.0942,0.0922,4.1955,0.1396,0.0425,4.1374,80.40,80.40,160.80
22,0.0976,0.0954,4.1773,0.1420,0.0438,4.1166,80.40,80.40,160.80
23,0.0990,0.0981,4.1590,0.1455,0.0453,4.0934,80.40,80.40,160.80
24,0.1028,0.1010,4.1413,0.1477,0.0468,4.0734,80.40,80.40,160.80
25,0.1043,0.1036,4.1218,0.1500,0.0479,4.0508,80.40,80.40,160.80
26,0.1061,0.1064,4.1044,0.1522,0.0492,4.0293,80.40,80.40,160.80
27,0.1079,0.1086,4.0869,0.1541,0.0505,4.0085,80.40,80.40,160.80
28,0.1108,0.1111,4.0695,0.1575,0.0518,3.9876,80.40,80.40,160.80
29,0.1121,0.1131,4.0524,0.1588,0.0527,3.9659,80.40,80.40,160.80
30,0.1145,0.1153,4.0352,0.1617,0.0543,3.9446,80.40,80.40,160.80
31,0.1179,0.1177,4.0172,0.1639,0.0556,3.9245,80.40,80.40,160.80
32,0.1189,0.1195,3.9998,0.1672,0.0567,3.9025,80.40,80.40,160.80
33,0.1211,0.1214,3.9836,0.1699,0.0583,3.8833,80.40,80.40,160.80
34,0.1220,0.1237,3.9664,0.1705,0.0593,3.8621,80.40,80.40,160.80
35,0.1249,0.1260,3.9494,0.1731,0.0605,3.8417,80.40,80.40,160.80
36,0.1259,0.1271,3.9325,0.1747,0.0621,3.8222,80.40,80.40,160.80
37,0.1280,0.1294,3.9158,0.1763,0.0631,3.8016,80.40,80.40,160.80
38,0.1304,0.1314,3.9013,0.1780,0.0645,3.7807,80.40,80.40,160.80
39,0.1313,0.1333,3.8848,0.1802,0.0656,3.7613,80.40,80.40,160.80
40,0.1341,0.1349,3.8687,0.1837,0.0669,3.7422,80.40,80.40,160.80
41,0.1350,0.1372,3.8530,0.1860,0.0688,3.7230,80.40,80.40,160.80
