round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0090,0.0090,4.6060,0.00,80.40,80.40
2,0.0563,0.0108,4.5758,80.40,80.40,160.80
3,0.0914,0.0167,4.4954,80.40,80.40,160.80
4,0.1313,0.0193,4.4021,80.40,80.40,160.80
5,0.1500,0.0185,4.2823,80.40,80.40,160.80
6,0.1596,0.0170,4.1422,80.40,80.40,160.80
7,0.1702,0.0163,3.9970,80.40,80.40,160.80
8,0.1760,0.0157,3.8583,80.40,80.40,160.80
9,0.1877,0.0157,3.7309,80.40,80.40,160.80
10,0.1994,0.0164,3.6139,80.40,80.40,160.80
11,0.2081,0.0174,3.5109,80.40,80.40,160.80
12,0.2120,0.0177,3.4171,80.40,80.40,160.80
13,0.2218,0.0186,3.3330,80.40,80.40,160.80
14,0.2259,0.0193,3.2569,80.40,80.40,160.80
15,0.2388,0.0208,3.1904,80.40,80.40,160.80
16,0.2466,0.0223,3.1248,80.40,80.40,160.80
17,0.2528,0.0231,3.0673,80.40,80.40,160.80
18,0.2594,0.0243,3.0147,80.40,80.40,160.80
19,0.2652,0.0254,2.9667,80.40,80.40,160.80
20,0.2731,0.0266,2.9198,80.40,80.40,160.80
21,0.2774,0.0275,2.8739,80.40,80.40,160.80
22,0.2822,0.0286,2.8386,80.40,80.40,160.80
23,0.2906,0.0297,2.7981,80.40,80.40,160.80
24,0.2902,0.0300,2.7636,80.40,80.40,160.80
25,0.2984,0.0314,2.7276,80.40,80.40,160.80
26,0.2980,0.0321,2.6987,80.40,80.40,160.80
27,0.3072,0.0336,2.6702,80.40,80.40,160.80
28,0.3153,0.0350,2.6383,80.40,80.40,160.80
29,0.3177,0.0356,2.6092,80.40,80.40,160.80
30,0.3236,0.0368,2.5811,80.40,80.40,160.80
31,0.3268,0.0374,2.5549,80.40,80.40,160.80
32,0.3284,0.0382,2.5293,80.40,80.40,160.80
33,0.3348,0.0396,2.5071,80.40,80.40,160.80
34,0.3389,0.0407,2.4850,80.40,80.40,160.80
