round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0117,0.0117,4.6061,0.00,201.00,201.00
2,0.0116,0.0115,4.6069,201.00,201.00,401.99
3,0.0160,0.0127,4.6020,201.00,201.00,401.99
4,0.0193,0.0174,4.5891,201.00,201.00,401.99
5,0.0204,0.0192,4.5758,201.00,201.00,401.99
6,0.0210,0.0210,4.5639,201.00,201.00,401.99
7,0.0227,0.0229,4.5523,201.00,201.00,401.99
8,0.0241,0.0250,4.5413,201.00,201.00,401.99
9,0.0269,0.0278,4.5308,201.00,201.00,401.99
10,0.0303,0.0306,4.5202,201.00,201.00,401.99
11,0.0324,0.0333,4.5098,201.00,201.00,401.99
12,0.0350,0.0357,4.4998,201.00,201.00,401.99
13,0.0376,0.0375,4.4908,201.00,201.00,401.99
14,0.0390,0.0398,4.4808,201.00,201.00,401.99
15,0.0425,0.0418,4.4714,201.00,201.00,401.99
16,0.0458,0.0438,4.4618,201.00,201.00,401.99
17,0.0489,0.0460,4.4527,201.00,201.00,401.99
18,0.0514,0.0485,4.4438,201.00,201.00,401.99
19,0.0542,0.0504,4.4349,201.00,201.00,401.99
20,0.0562,0.0519,4.4247,201.00,201.00,401.99
21,0.0582,0.0539,4.4156,201.00,201.00,401.99
22,0.0590,0.0557,4.4060,201.00,201.00,401.99
23,0.0608,0.0579,4.3968,201.00,201.00,401.99
24,0.0633,0.0591,4.3878,201.00,201.00,401.99
25,0.0653,0.0605,4.3786,201.00,201.00,401.99
26,0.0663,0.0613,4.3698,201.00,201.00,401.99
27,0.0676,0.0622,4.3599,201.00,201.00,401.99
28,0.0697,0.0629,4.3515,201.00,201.00,401.99
29,0.0718,0.0634,4.3420,201.00,201.00,401.99
30,0.0724,0.0640,4.3318,201.00,201.00,401.99
31,0.0755,0.0647,4.3233,201.00,201.00,401.99
32,0.0762,0.0652,4.3147,201.00,201.00,401.99
33,0.0779,0.0654,4.3052,201.00,201.00,401.99
34,0.0786,0.0654,4.2959,201.00,201.00,401.99
35,0.0815,0.0655,4.2869,201.00,201.00,401.99
36,0.0822,0.0658,4.2763,201.00,201.00,401.99
37,0.0833,0.0658,4.2673,201.00,201.00,401.99
38,0.0858,0.0663,4.2583,201.00,201.00,401.99
39,0.0886,0.0667,4.2486,201.00,201.00,401.99
40,0.0906,0.0668,4.2395,201.00,201.00,401.99
41,0.0935,0.0671,4.2291,201.00,201.00,401.99
42,0.0956,0.0672,4.2194,201.00,201.00,401.99
43,0.0977,0.0673,4.2105,201.00,201.00,401.99
44,0.0979,0.0670,4.2006,201.00,201.00,401.99
45,0.0995,0.0668,4.1896,201.00,201.00,401.99
46,0.1023,0.0670,4.1806,201.00,201.00,401.99
47,0.1034,0.0670,4.1702,201.00,201.00,401.99
48,0.1051,0.0670,4.1597,201.00,201.00,401.99
49,0.1067,0.0672,4.1503,201.00,201.00,401.99
50,0.1085,0.0670,4.1385,201.00,201.00,401.99
51,0.1107,0.0667,4.1268,201.00,201.00,401.99
52,0.1111,0.0666,4.1170,201.00,201.00,401.99
53,0.1123,0.0669,4.1054,201.00,201.00,401.99
54,0.1149,0.0669,4.0945,201.00,201.00,401.99
55,0.1155,0.0668,4.0837,201.00,201.00,401.99
56,0.1165,0.0667,4.0736,201.00,201.00,401.99
57,0.1185,0.0666,4.0616,201.00,201.00,401.99
58,0.1201,0.0669,4.0504,201.00,201.00,401.99
59,0.1213,0.0668,4.0386,201.00,201.00,401.99
60,0.1248,0.0670,4.0265,201.00,201.00,401.99
61,0.1265,0.0669,4.0154,201.00,201.00,401.99
62,0.1279,0.0667,4.0029,201.00,201.00,401.99
63,0.1288,0.0668,3.9922,201.00,201.00,401.99
64,0.1306,0.0670,3.9810,201.00,201.00,401.99
65,0.1324,0.0673,3.9682,201.00,201.00,401.99
66,0.1353,0.0676,3.9566,201.00,201.00,401.99
67,0.1362,0.0680,3.9462,201.00,201.00,401.99
68,0.1368,0.0682,3.9344,201.00,201.00,401.99
69,0.1384,0.0683,3.9227,201.00,201.00,401.99
70,0.1389,0.0684,3.9104,201.00,201.00,401.99
71,0.1402,0.0685,3.8991,201.00,201.00,401.99
72,0.1426,0.0692,3.8879,201.00,201.00,401.99
73,0.1435,0.0691,3.8753,201.00,201.00,401.99
74,0.1444,0.0694,3.8666,201.00,201.00,401.99
75,0.1464,0.0702,3.8559,201.00,201.00,401.99
76,0.1488,0.0707,3.8425,201.00,201.00,401.99
77,0.1501,0.0717,3.8313,201.00,201.00,401.99
78,0.1526,0.0716,3.8219,201.00,201.00,401.99
79,0.1534,0.0718,3.8109,201.00,201.00,401.99
80,0.1546,0.0725,3.8009,201.00,201.00,401.99
81,0.1566,0.0725,3.7907,201.00,201.00,401.99
82,0.1579,0.0728,3.7792,201.00,201.00,401.99
83,0.1601,0.0738,3.7674,201.00,201.00,401.99
84,0.1608,0.0741,3.7592,201.00,201.00,401.99
85,0.1623,0.0744,3.7464,201.00,201.00,401.99
86,0.1647,0.0752,3.7356,201.00,201.00,401.99
87,0.1677,0.0755,3.7262,201.00,201.00,401.99
88,0.1674,0.0758,3.7166,201.00,201.00,401.99
89,0.1699,0.0768,3.7043,201.00,201.00,401.99
90,0.1698,0.0775,3.6943,201.00,201.00,401.99
91,0.1737,0.0789,3.6850,201.00,201.00,401.99
92,0.1753,0.0788,3.6750,201.00,201.00,401.99
93,0.1770,0.0793,3.6662,201.00,201.00,401.99
94,0.1781,0.0800,3.6550,201.00,201.00,401.99
95,0.1810,0.0808,3.6446,201.00,201.00,401.99
96,0.1811,0.0813,3.6354,201.00,201.00,401.99
97,0.1840,0.0815,3.6265,201.00,201.00,401.99
98,0.1852,0.0826,3.6150,201.00,201.00,401.99
99,0.1864,0.0835,3.6084,201.00,201.00,401.99
100,0.1873,0.0843,3.5982,201.00,201.00,401.99
101,0.1908,0.0852,3.5853,201.00,201.00,401.99
