round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0101,0.0101,4.6058,0.00,201.00,201.00
2,0.0565,0.0091,4.5403,201.00,201.00,401.99
3,0.0784,0.0105,4.4280,201.00,201.00,401.99
4,0.0864,0.0161,4.2860,201.00,201.00,401.99
5,0.0937,0.0197,4.0858,201.00,201.00,401.99
6,0.1008,0.0223,3.8556,201.00,201.00,401.99
7,0.1189,0.0250,3.6394,201.00,201.00,401.99
8,0.1359,0.0268,3.4680,201.00,201.00,401.99
9,0.1596,0.0279,3.3340,201.00,201.00,401.99
10,0.1919,0.0285,3.2221,201.00,201.00,401.99
11,0.2230,0.0252,3.1164,201.00,201.00,401.99
12,0.2364,0.0215,3.0099,201.00,201.00,401.99
13,0.2452,0.0194,2.9070,201.00,201.00,401.99
14,0.2556,0.0187,2.8054,201.00,201.00,401.99
15,0.2752,0.0191,2.7103,201.00,201.00,401.99
16,0.2806,0.0195,2.6268,201.00,201.00,401.99
17,0.2946,0.0206,2.5467,201.00,201.00,401.99
18,0.3070,0.0215,2.4747,201.00,201.00,401.99
19,0.3171,0.0224,2.4135,201.00,201.00,401.99
20,0.3275,0.0232,2.3569,201.00,201.00,401.99
21,0.3290,0.0241,2.3080,201.00,201.00,401.99
22,0.3383,0.0250,2.2630,201.00,201.00,401.99
23,0.3568,0.0262,2.2188,201.00,201.00,401.99
24,0.3540,0.0264,2.1817,201.00,201.00,401.99
25,0.3665,0.0278,2.1441,201.00,201.00,401.99
26,0.3709,0.0280,2.1108,201.00,201.00,401.99
27,0.3727,0.0285,2.0787,201.00,201.00,401.99
28,0.3859,0.0296,2.0481,201.00,201.00,401.99
29,0.3863,0.0300,2.0260,201.00,201.00,401.99
30,0.3905,0.0304,1.9957,201.00,201.00,401.99
31,0.4058,0.0312,1.9669,201.00,201.00,401.99
32,0.4012,0.0319,1.9468,201.00,201.00,401.99
33,0.4082,0.0321,1.9214,201.00,201.00,401.99
34,0.4104,0.0326,1.9048,201.00,201.00,401.99
35,0.4184,0.0333,1.8809,201.00,201.00,401.99
36,0.4178,0.0334,1.8604,201.00,201.00,401.99
37,0.4232,0.0340,1.8405,201.00,201.00,401.99
38,0.4278,0.0344,1.8215,201.00,201.00,401.99
39,0.4308,0.0351,1.8035,201.00,201.00,401.99
40,0.4372,0.0352,1.7828,201.00,201.00,401.99
41,0.4357,0.0357,1.7763,201.00,201.00,401.99
42,0.4397,0.0363,1.7597,201.00,201.00,401.99
43,0.4357,0.0363,1.7490,201.00,201.00,401.99
44,0.4484,0.0371,1.7283,201.00,201.00,401.99
45,0.4433,0.0376,1.7195,201.00,201.00,401.99
46,0.4491,0.0378,1.7079,201.00,201.00,401.99
47,0.4504,0.0381,1.6960,201.00,201.00,401.99
48,0.4548,0.0388,1.6874,201.00,201.00,401.99
49,0.4610,0.0395,1.6748,201.00,201.00,401.99
50,0.4581,0.0395,1.6653,201.00,201.00,401.99
51,0.4533,0.0394,1.6552,201.00,201.00,401.99
52,0.4625,0.0401,1.6430,201.00,201.00,401.99
53,0.4660,0.0405,1.6339,201.00,201.00,401.99
54,0.4723,0.0410,1.6203,201.00,201.00,401.99
55,0.4741,0.0414,1.6148,201.00,201.00,401.99
56,0.4729,0.0418,1.6072,201.00,201.00,401.99
57,0.4748,0.0419,1.6016,201.00,201.00,401.99
58,0.4818,0.0428,1.5845,201.00,201.00,401.99
59,0.4873,0.0432,1.5726,201.00,201.00,401.99
60,0.4792,0.0430,1.5770,201.00,201.00,401.99
61,0.4832,0.0436,1.5605,201.00,201.00,401.99
62,0.4818,0.0436,1.5615,201.00,201.00,401.99
63,0.4877,0.0443,1.5517,201.00,201.00,401.99
