round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0090,0.0090,4.6059,0.00,0.00,0.00
2,0.0967,0.0219,4.5339,80.40,80.40,160.80
3,0.1224,0.0250,4.4439,80.40,80.40,160.80
4,0.1268,0.0250,4.3605,80.40,80.40,160.80
5,0.1269,0.0234,4.2694,80.40,80.40,160.80
6,0.1277,0.0220,4.1590,80.40,80.40,160.80
7,0.1256,0.0208,4.0460,80.40,80.40,160.80
8,0.1275,0.0208,3.9386,80.40,80.40,160.80
9,0.1301,0.0212,3.8457,80.40,80.40,160.80
10,0.1365,0.0225,3.7711,80.40,80.40,160.80
11,0.1419,0.0237,3.7094,80.40,80.40,160.80
12,0.1482,0.0251,3.6613,80.40,80.40,160.80
13,0.1524,0.0263,3.6196,80.40,80.40,160.80
14,0.1551,0.0273,3.5838,80.40,80.40,160.80
15,0.1598,0.0286,3.5533,80.40,80.40,160.80
16,0.1658,0.0302,3.5259,80.40,80.40,160.80
17,0.1665,0.0307,3.4999,80.40,80.40,160.80
18,0.1690,0.0320,3.4771,80.40,80.40,160.80
19,0.1730,0.0329,3.4557,80.40,80.40,160.80
20,0.1768,0.0342,3.4344,80.40,80.40,160.80
21,0.1799,0.0351,3.4165,80.40,80.40,160.80
22,0.1803,0.0358,3.3960,80.40,80.40,160.80
23,0.1874,0.0373,3.3778,80.40,80.40,160.80
24,0.1888,0.0383,3.3602,80.40,80.40,160.80
25,0.1877,0.0387,3.3440,80.40,80.40,160.80
26,0.1917,0.0402,3.3268,80.40,80.40,160.80
27,0.1941,0.0407,3.3120,80.40,80.40,160.80
28,0.1938,0.0411,3.2964,80.40,80.40,160.80
29,0.1963,0.0425,3.2811,80.40,80.40,160.80
30,0.1994,0.0434,3.2658,80.40,80.40,160.80
31,0.2015,0.0445,3.2495,80.40,80.40,160.80
32,0.2042,0.0450,3.2353,80.40,80.40,160.80
33,0.2091,0.0459,3.2224,80.40,80.40,160.80
34,0.2100,0.0465,3.2072,80.40,80.40,160.80
35,0.2106,0.0468,3.1933,80.40,80.40,160.80
36,0.2127,0.0484,3.1810,80.40,80.40,160.80
37,0.2168,0.0494,3.1653,80.40,80.40,160.80
38,0.2164,0.0487,3.1615,80.40,80.40,160.80
39,0.2239,0.0514,3.1418,80.40,80.40,160.80
40,0.2220,0.0515,3.1250,80.40,80.40,160.80
41,0.2246,0.0523,3.1139,80.40,80.40,160.80
42,0.2281,0.0540,3.0952,80.40,80.40,160.80
43,0.2310,0.0551,3.0801,80.40,80.40,160.80
44,0.2318,0.0547,3.0709,80.40,80.40,160.80
45,0.2327,0.0556,3.0585,80.40,80.40,160.80
46,0.2369,0.0572,3.0432,80.40,80.40,160.80
47,0.2401,0.0577,3.0302,80.40,80.40,160.80
48,0.2377,0.0576,3.0212,80.40,80.40,160.80
49,0.2431,0.0595,3.0014,80.40,80.40,160.80
50,0.2480,0.0612,2.9880,80.40,80.40,160.80
51,0.2487,0.0616,2.9839,80.40,80.40,160.80
52,0.2497,0.0624,2.9585,80.40,80.40,160.80
53,0.2549,0.0637,2.9380,80.40,80.40,160.80
54,0.2567,0.0643,2.9307,80.40,80.40,160.80
55,0.2573,0.0658,2.9257,80.40,80.40,160.80
56,0.2613,0.0674,2.8991,80.40,80.40,160.80
57,0.2619,0.0671,2.8924,80.40,80.40,160.80
58,0.2643,0.0678,2.8772,80.40,80.40,160.80
59,0.2669,0.0685,2.8654,80.40,80.40,160.80
60,0.2703,0.0704,2.8527,80.40,80.40,160.80
61,0.2706,0.0719,2.8485,80.40,80.40,160.80
62,0.2715,0.0729,2.8261,80.40,80.40,160.80
63,0.2720,0.0725,2.8205,80.40,80.40,160.80
64,0.2748,0.0733,2.8165,80.40,80.40,160.80
65,0.2780,0.0749,2.7937,80.40,80.40,160.80
66,0.2766,0.0750,2.7849,80.40,80.40,160.80
67,0.2833,0.0762,2.7691,80.40,80.40,160.80
68,0.2840,0.0773,2.7454,80.40,80.40,160.80
69,0.2847,0.0774,2.7531,80.40,80.40,160.80
70,0.2809,0.0769,2.7713,80.40,80.40,160.80
71,0.2827,0.0781,2.7362,80.40,80.40,160.80
72,0.2815,0.0791,2.7260,80.40,80.40,160.80
73,0.2882,0.0819,2.7180,80.40,80.40,160.80
74,0.2884,0.0815,2.6963,80.40,80.40,160.80
75,0.2883,0.0822,2.7142,80.40,80.40,160.80
76,0.2875,0.0832,2.6944,80.40,80.40,160.80
77,0.2879,0.0825,2.6816,80.40,80.40,160.80
78,0.2932,0.0844,2.6706,80.40,80.40,160.80
79,0.2926,0.0834,2.6643,80.40,80.40,160.80
80,0.2921,0.0832,2.6556,80.40,80.40,160.80
81,0.3054,0.0882,2.6350,80.40,80.40,160.80
82,0.3026,0.0877,2.6206,80.40,80.40,160.80
83,0.2990,0.0875,2.6269,80.40,80.40,160.80
84,0.3027,0.0887,2.6140,80.40,80.40,160.80
85,0.2960,0.0874,2.6309,80.40,80.40,160.80
86,0.3085,0.0918,2.5903,80.40,80.40,160.80
87,0.3032,0.0901,2.5970,80.40,80.40,160.80
88,0.3073,0.0906,2.5961,80.40,80.40,160.80
89,0.3141,0.0932,2.5745,80.40,80.40,160.80
90,0.3066,0.0921,2.5821,80.40,80.40,160.80
91,0.3150,0.0925,2.5630,80.40,80.40,160.80
92,0.3106,0.0930,2.5499,80.40,80.40,160.80
93,0.3148,0.0960,2.5293,80.40,80.40,160.80
94,0.3112,0.0946,2.5491,80.40,80.40,160.80
95,0.3188,0.0962,2.5264,80.40,80.40,160.80
96,0.3206,0.0969,2.5097,80.40,80.40,160.80
97,0.3184,0.0980,2.5082,80.40,80.40,160.80
98,0.3201,0.0986,2.5051,80.40,80.40,160.80
99,0.3246,0.0991,2.4907,80.40,80.40,160.80
100,0.3219,0.0989,2.4902,80.40,80.40,160.80
101,0.3227,0.0986,2.4936,80.40,80.40,160.80
