round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0081,0.0081,4.6059,0.00,0.00,0.00
2,0.0548,0.0194,4.5660,80.40,80.40,160.80
3,0.0813,0.0267,4.5181,80.40,80.40,160.80
4,0.0901,0.0285,4.4833,80.40,80.40,160.80
5,0.0958,0.0287,4.4457,80.40,80.40,160.80
6,0.0977,0.0281,4.4036,80.40,80.40,160.80
7,0.0964,0.0267,4.3526,80.40,80.40,160.80
8,0.0966,0.0255,4.2935,80.40,80.40,160.80
9,0.0958,0.0246,4.2316,80.40,80.40,160.80
10,0.0949,0.0238,4.1691,80.40,80.40,160.80
11,0.0950,0.0236,4.1117,80.40,80.40,160.80
12,0.0971,0.0240,4.0593,80.40,80.40,160.80
13,0.0999,0.0251,4.0135,80.40,80.40,160.80
14,0.1044,0.0265,3.9744,80.40,80.40,160.80
15,0.1092,0.0285,3.9407,80.40,80.40,160.80
16,0.1125,0.0299,3.9118,80.40,80.40,160.80
17,0.1163,0.0314,3.8854,80.40,80.40,160.80
18,0.1207,0.0330,3.8614,80.40,80.40,160.80
19,0.1246,0.0353,3.8376,80.40,80.40,160.80
20,0.1273,0.0366,3.8174,80.40,80.40,160.80
21,0.1295,0.0375,3.7979,80.40,80.40,160.80
22,0.1327,0.0387,3.7785,80.40,80.40,160.80
23,0.1369,0.0405,3.7605,80.40,80.40,160.80
24,0.1400,0.0413,3.7436,80.40,80.40,160.80
25,0.1405,0.0423,3.7269,80.40,80.40,160.80
26,0.1423,0.0430,3.7104,80.40,80.40,160.80
27,0.1432,0.0437,3.6943,80.40,80.40,160.80
28,0.1449,0.0449,3.6790,80.40,80.40,160.80
29,0.1470,0.0457,3.6642,80.40,80.40,160.80
30,0.1500,0.0469,3.6500,80.40,80.40,160.80
31,0.1508,0.0477,3.6353,80.40,80.40,160.80
32,0.1514,0.0484,3.6210,80.40,80.40,160.80
33,0.1552,0.0495,3.6086,80.40,80.40,160.80
34,0.1549,0.0500,3.5952,80.40,80.40,160.80
35,0.1594,0.0517,3.5817,80.40,80.40,160.80
36,0.1599,0.0522,3.5682,80.40,80.40,160.80
37,0.1613,0.0530,3.5565,80.40,80.40,160.80
38,0.1628,0.0539,3.5423,80.40,80.40,160.80
39,0.1637,0.0548,3.5292,80.40,80.40,160.80
40,0.1664,0.0558,3.5159,80.40,80.40,160.80
41,0.1685,0.0571,3.5037,80.40,80.40,160.80
42,0.1709,0.0575,3.4911,80.40,80.40,160.80
43,0.1703,0.0583,3.4768,80.40,80.40,160.80
44,0.1717,0.0590,3.4672,80.40,80.40,160.80
45,0.1769,0.0608,3.4502,80.40,80.40,160.80
46,0.1773,0.0617,3.4388,80.40,80.40,160.80
47,0.1781,0.0621,3.4239,80.40,80.40,160.80
48,0.1781,0.0624,3.4138,80.40,80.40,160.80
49,0.1820,0.0637,3.4041,80.40,80.40,160.80
50,0.1848,0.0658,3.3880,80.40,80.40,160.80
51,0.1842,0.0660,3.3739,80.40,80.40,160.80
52,0.1904,0.0669,3.3589,80.40,80.40,160.80
53,0.1858,0.0666,3.3513,80.40,80.40,160.80
54,0.1902,0.0680,3.3392,80.40,80.40,160.80
55,0.1916,0.0695,3.3210,80.40,80.40,160.80
56,0.1958,0.0714,3.3106,80.40,80.40,160.80
57,0.1947,0.0709,3.2935,80.40,80.40,160.80
58,0.1996,0.0724,3.2895,80.40,80.40,160.80
59,0.2026,0.0733,3.2655,80.40,80.40,160.80
60,0.1984,0.0740,3.2606,80.40,80.40,160.80
61,0.2043,0.0763,3.2402,80.40,80.40,160.80
62,0.2002,0.0755,3.2323,80.40,80.40,160.80
63,0.2070,0.0771,3.2228,80.40,80.40,160.80
64,0.2095,0.0786,3.2048,80.40,80.40,160.80
65,0.2104,0.0782,3.1916,80.40,80.40,160.80
66,0.2096,0.0791,3.1886,80.40,80.40,160.80
67,0.2138,0.0815,3.1737,80.40,80.40,160.80
68,0.2146,0.0818,3.1579,80.40,80.40,160.80
69,0.2150,0.0813,3.1464,80.40,80.40,160.80
70,0.2196,0.0832,3.1373,80.40,80.40,160.80
71,0.2196,0.0846,3.1288,80.40,80.40,160.80
72,0.2222,0.0847,3.1172,80.40,80.40,160.80
73,0.2242,0.0864,3.1024,80.40,80.40,160.80
74,0.2229,0.0868,3.0979,80.40,80.40,160.80
75,0.2261,0.0882,3.0803,80.40,80.40,160.80
76,0.2258,0.0891,3.0676,80.40,80.40,160.80
77,0.2300,0.0893,3.0538,80.40,80.40,160.80
78,0.2303,0.0903,3.0399,80.40,80.40,160.80
79,0.2306,0.0910,3.0396,80.40,80.40,160.80
80,0.2278,0.0916,3.0407,80.40,80.40,160.80
81,0.2366,0.0939,3.0206,80.40,80.40,160.80
82,0.2347,0.0936,3.0137,80.40,80.40,160.80
83,0.2330,0.0926,3.0226,80.40,80.40,160.80
84,0.2380,0.0952,2.9939,80.40,80.40,160.80
85,0.2392,0.0971,2.9828,80.40,80.40,160.80
86,0.2415,0.0973,2.9730,80.40,80.40,160.80
87,0.2425,0.0974,2.9669,80.40,80.40,160.80
88,0.2460,0.0986,2.9523,80.40,80.40,160.80
89,0.2388,0.0970,2.9530,80.40,80.40,160.80
90,0.2494,0.1009,2.9231,80.40,80.40,160.80
91,0.2459,0.1003,2.9176,80.40,80.40,160.80
92,0.2450,0.1001,2.9226,80.40,80.40,160.80
93,0.2480,0.1015,2.9079,80.40,80.40,160.80
94,0.2476,0.1023,2.9022,80.40,80.40,160.80
95,0.2467,0.1024,2.9151,80.40,80.40,160.80
96,0.2474,0.1039,2.8940,80.40,80.40,160.80
97,0.2557,0.1062,2.8756,80.40,80.40,160.80
98,0.2560,0.1067,2.8622,80.40,80.40,160.80
99,0.2576,0.1070,2.8535,80.40,80.40,160.80
100,0.2521,0.1067,2.8630,80.40,80.40,160.80
101,0.2543,0.1074,2.8571,80.40,80.40,160.80
