round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0093,0.0093,4.6060,0.00,0.00,0.00
2,0.1788,0.0142,4.3301,201.00,201.00,401.99
3,0.2183,0.0149,3.7793,201.00,201.00,401.99
4,0.2781,0.0185,3.2487,201.00,201.00,401.99
5,0.3084,0.0203,2.8996,201.00,201.00,401.99
6,0.3228,0.0210,2.5948,201.00,201.00,401.99
7,0.3381,0.0218,2.3538,201.00,201.00,401.99
8,0.3435,0.0225,2.1968,201.00,201.00,401.99
9,0.3571,0.0238,2.0718,201.00,201.00,401.99
10,0.3652,0.0248,2.0137,201.00,201.00,401.99
11,0.3759,0.0256,1.9444,201.00,201.00,401.99
12,0.3754,0.0258,1.8897,201.00,201.00,401.99
13,0.3857,0.0268,1.8559,201.00,201.00,401.99
14,0.3888,0.0271,1.8240,201.00,201.00,401.99
15,0.4006,0.0280,1.7932,201.00,201.00,401.99
16,0.4027,0.0283,1.7685,201.00,201.00,401.99
17,0.4051,0.0286,1.7413,201.00,201.00,401.99
18,0.4136,0.0294,1.7148,201.00,201.00,401.99
19,0.4141,0.0296,1.6992,201.00,201.00,401.99
20,0.4296,0.0306,1.6764,201.00,201.00,401.99
21,0.4328,0.0312,1.6573,201.00,201.00,401.99
22,0.4381,0.0317,1.6349,201.00,201.00,401.99
23,0.4394,0.0323,1.6222,201.00,201.00,401.99
24,0.4474,0.0325,1.6045,201.00,201.00,401.99
25,0.4542,0.0332,1.5835,201.00,201.00,401.99
26,0.4594,0.0334,1.5646,201.00,201.00,401.99
27,0.4626,0.0338,1.5455,201.00,201.00,401.99
28,0.4666,0.0351,1.5370,201.00,201.00,401.99
29,0.4704,0.0348,1.5290,201.00,201.00,401.99
30,0.4746,0.0353,1.5011,201.00,201.00,401.99
31,0.4779,0.0359,1.4902,201.00,201.00,401.99
32,0.4780,0.0362,1.4987,201.00,201.00,401.99
33,0.4830,0.0365,1.4793,201.00,201.00,401.99
34,0.4915,0.0370,1.4474,201.00,201.00,401.99
35,0.4861,0.0369,1.4496,201.00,201.00,401.99
