round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0101,0.0101,4.6058,0.00,0.00,0.00
2,0.1868,0.0130,4.3305,201.00,201.00,401.99
3,0.2109,0.0143,3.7725,201.00,201.00,401.99
4,0.2768,0.0182,3.2508,201.00,201.00,401.99
5,0.3097,0.0195,2.8238,201.00,201.00,401.99
6,0.3223,0.0206,2.5282,201.00,201.00,401.99
7,0.3321,0.0211,2.2950,201.00,201.00,401.99
8,0.3421,0.0222,2.1432,201.00,201.00,401.99
9,0.3577,0.0239,2.0491,201.00,201.00,401.99
10,0.3623,0.0245,1.9738,201.00,201.00,401.99
11,0.3730,0.0255,1.9231,201.00,201.00,401.99
12,0.3771,0.0258,1.8869,201.00,201.00,401.99
13,0.3823,0.0264,1.8509,201.00,201.00,401.99
14,0.3878,0.0270,1.8243,201.00,201.00,401.99
15,0.3907,0.0275,1.7998,201.00,201.00,401.99
16,0.3949,0.0281,1.7792,201.00,201.00,401.99
17,0.4060,0.0289,1.7501,201.00,201.00,401.99
18,0.4096,0.0292,1.7301,201.00,201.00,401.99
19,0.4153,0.0293,1.7115,201.00,201.00,401.99
20,0.4140,0.0295,1.6947,201.00,201.00,401.99
21,0.4246,0.0304,1.6725,201.00,201.00,401.99
22,0.4318,0.0313,1.6522,201.00,201.00,401.99
23,0.4339,0.0312,1.6366,201.00,201.00,401.99
24,0.4381,0.0316,1.6237,201.00,201.00,401.99
25,0.4421,0.0324,1.6042,201.00,201.00,401.99
26,0.4491,0.0330,1.5904,201.00,201.00,401.99
27,0.4482,0.0326,1.5796,201.00,201.00,401.99
28,0.4508,0.0332,1.5690,201.00,201.00,401.99
29,0.4532,0.0336,1.5569,201.00,201.00,401.99
30,0.4565,0.0341,1.5439,201.00,201.00,401.99
31,0.4579,0.0342,1.5299,201.00,201.00,401.99
32,0.4730,0.0351,1.5122,201.00,201.00,401.99
33,0.4762,0.0354,1.5065,201.00,201.00,401.99
34,0.4713,0.0354,1.4990,201.00,201.00,401.99
35,0.4779,0.0361,1.4793,201.00,201.00,401.99
36,0.4787,0.0361,1.4624,201.00,201.00,401.99
37,0.4836,0.0368,1.4624,201.00,201.00,401.99
38,0.4914,0.0378,1.4435,201.00,201.00,401.99
39,0.4951,0.0377,1.4289,201.00,201.00,401.99
40,0.4981,0.0379,1.4256,201.00,201.00,401.99
41,0.5003,0.0378,1.4205,201.00,201.00,401.99
42,0.5042,0.0385,1.4104,201.00,201.00,401.99
43,0.5006,0.0386,1.3953,201.00,201.00,401.99
44,0.5015,0.0387,1.3825,201.00,201.00,401.99
45,0.5099,0.0391,1.3755,201.00,201.00,401.99
46,0.5121,0.0391,1.3528,201.00,201.00,401.99
47,0.5135,0.0396,1.3548,201.00,201.00,401.99
48,0.5117,0.0397,1.3554,201.00,201.00,401.99
49,0.5164,0.0404,1.3359,201.00,201.00,401.99
50,0.5186,0.0401,1.3316,201.00,201.00,401.99
51,0.5262,0.0409,1.3243,201.00,201.00,401.99
52,0.5291,0.0413,1.2954,201.00,201.00,401.99
53,0.5379,0.0420,1.2842,201.00,201.00,401.99
54,0.5275,0.0414,1.2884,201.00,201.00,401.99
55,0.5310,0.0415,1.2885,201.00,201.00,401.99
56,0.5314,0.0420,1.2783,201.00,201.00,401.99
57,0.5338,0.0420,1.2732,201.00,201.00,401.99
58,0.5267,0.0419,1.2851,201.00,201.00,401.99
59,0.5413,0.0423,1.2472,201.00,201.00,401.99
60,0.5316,0.0425,1.2707,201.00,201.00,401.99
61,0.5355,0.0423,1.2365,201.00,201.00,401.99
62,0.5383,0.0427,1.2434,201.00,201.00,401.99
63,0.5491,0.0436,1.2220,201.00,201.00,401.99
64,0.5408,0.0434,1.2311,201.00,201.00,401.99
65,0.5383,0.0436,1.2343,201.00,201.00,401.99
66,0.5409,0.0438,1.2162,201.00,201.00,401.99
67,0.5343,0.0430,1.2453,201.00,201.00,401.99
68,0.5466,0.0437,1.1953,201.00,201.00,401.99
69,0.5401,0.0439,1.2335,201.00,201.00,401.99
70,0.5552,0.0445,1.1983,201.00,201.00,401.99
71,0.5499,0.0445,1.1860,201.00,201.00,401.99
72,0.5611,0.0455,1.1562,201.00,201.00,401.99
73,0.5503,0.0452,1.1851,201.00,201.00,401.99
74,0.5595,0.0453,1.1860,201.00,201.00,401.99
75,0.5619,0.0453,1.1625,201.00,201.00,401.99
76,0.5564,0.0455,1.1451,201.00,201.00,401.99
77,0.5659,0.0457,1.1411,201.00,201.00,401.99
78,0.5696,0.0465,1.1210,201.00,201.00,401.99
79,0.5657,0.0464,1.1445,201.00,201.00,401.99
80,0.5661,0.0462,1.1398,201.00,201.00,401.99
81,0.5601,0.0456,1.1450,201.00,201.00,401.99
82,0.5702,0.0467,1.1135,201.00,201.00,401.99
83,0.5704,0.0462,1.1085,201.00,201.00,401.99
84,0.5776,0.0466,1.1019,201.00,201.00,401.99
85,0.5732,0.0469,1.1136,201.00,201.00,401.99
86,0.5702,0.0460,1.1029,201.00,201.00,401.99
87,0.5691,0.0471,1.1200,201.00,201.00,401.99
88,0.5756,0.0469,1.0930,201.00,201.00,401.99
89,0.5682,0.0470,1.1044,201.00,201.00,401.99
90,0.5728,0.0468,1.0929,201.00,201.00,401.99
91,0.5716,0.0475,1.0903,201.00,201.00,401.99
92,0.5797,0.0484,1.0732,201.00,201.00,401.99
93,0.5829,0.0484,1.0538,201.00,201.00,401.99
94,0.5867,0.0487,1.0577,201.00,201.00,401.99
95,0.5905,0.0486,1.0452,201.00,201.00,401.99
96,0.5870,0.0489,1.0400,201.00,201.00,401.99
97,0.5813,0.0487,1.0470,201.00,201.00,401.99
98,0.5842,0.0484,1.0566,201.00,201.00,401.99
99,0.5932,0.0489,1.0257,201.00,201.00,401.99
100,0.5811,0.0481,1.0567,201.00,201.00,401.99
101,0.5912,0.0491,1.0322,201.00,201.00,401.99
