round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0103,0.0103,4.6059,0.00,201.00,201.00
2,0.0107,0.0129,4.6077,201.00,201.00,401.99
3,0.0142,0.0139,4.6053,201.00,201.00,401.99
4,0.0165,0.0160,4.5942,201.00,201.00,401.99
5,0.0212,0.0220,4.5821,201.00,201.00,401.99
6,0.0274,0.0286,4.5700,201.00,201.00,401.99
7,0.0321,0.0340,4.5586,201.00,201.00,401.99
8,0.0375,0.0391,4.5480,201.00,201.00,401.99
9,0.0414,0.0435,4.5373,201.00,201.00,401.99
10,0.0443,0.0459,4.5269,201.00,201.00,401.99
11,0.0456,0.0469,4.5172,201.00,201.00,401.99
12,0.0460,0.0475,4.5072,201.00,201.00,401.99
13,0.0467,0.0480,4.4971,201.00,201.00,401.99
14,0.0471,0.0481,4.4872,201.00,201.00,401.99
15,0.0463,0.0484,4.4775,201.00,201.00,401.99
16,0.0472,0.0490,4.4675,201.00,201.00,401.99
17,0.0474,0.0499,4.4584,201.00,201.00,401.99
18,0.0477,0.0504,4.4488,201.00,201.00,401.99
19,0.0494,0.0511,4.4393,201.00,201.00,401.99
20,0.0507,0.0521,4.4299,201.00,201.00,401.99
21,0.0516,0.0527,4.4205,201.00,201.00,401.99
22,0.0527,0.0536,4.4115,201.00,201.00,401.99
23,0.0533,0.0552,4.4032,201.00,201.00,401.99
24,0.0543,0.0565,4.3935,201.00,201.00,401.99
25,0.0555,0.0575,4.3847,201.00,201.00,401.99
26,0.0559,0.0585,4.3766,201.00,201.00,401.99
27,0.0570,0.0593,4.3672,201.00,201.00,401.99
28,0.0582,0.0603,4.3584,201.00,201.00,401.99
29,0.0588,0.0614,4.3502,201.00,201.00,401.99
30,0.0596,0.0623,4.3425,201.00,201.00,401.99
31,0.0614,0.0633,4.3335,201.00,201.00,401.99
32,0.0619,0.0641,4.3254,201.00,201.00,401.99
33,0.0621,0.0650,4.3169,201.00,201.00,401.99
34,0.0633,0.0658,4.3087,201.00,201.00,401.99
35,0.0646,0.0670,4.3014,201.00,201.00,401.99
36,0.0648,0.0678,4.2935,201.00,201.00,401.99
37,0.0659,0.0688,4.2854,201.00,201.00,401.99
38,0.0665,0.0698,4.2783,201.00,201.00,401.99
39,0.0670,0.0704,4.2702,201.00,201.00,401.99
40,0.0689,0.0719,4.2620,201.00,201.00,401.99
41,0.0691,0.0723,4.2543,201.00,201.00,401.99
42,0.0693,0.0730,4.2475,201.00,201.00,401.99
43,0.0706,0.0740,4.2392,201.00,201.00,401.99
44,0.0722,0.0754,4.2323,201.00,201.00,401.99
45,0.0728,0.0761,4.2256,201.00,201.00,401.99
46,0.0736,0.0772,4.2163,201.00,201.00,401.99
47,0.0743,0.0782,4.2088,201.00,201.00,401.99
48,0.0754,0.0793,4.2015,201.00,201.00,401.99
49,0.0772,0.0803,4.1941,201.00,201.00,401.99
50,0.0776,0.0816,4.1858,201.00,201.00,401.99
51,0.0788,0.0823,4.1790,201.00,201.00,401.99
52,0.0798,0.0833,4.1717,201.00,201.00,401.99
53,0.0798,0.0843,4.1642,201.00,201.00,401.99
54,0.0811,0.0850,4.1567,201.00,201.00,401.99
55,0.0824,0.0859,4.1505,201.00,201.00,401.99
56,0.0830,0.0872,4.1412,201.00,201.00,401.99
57,0.0844,0.0883,4.1338,201.00,201.00,401.99
58,0.0870,0.0896,4.1278,201.00,201.00,401.99
59,0.0870,0.0902,4.1203,201.00,201.00,401.99
60,0.0874,0.0914,4.1128,201.00,201.00,401.99
61,0.0887,0.0924,4.1064,201.00,201.00,401.99
62,0.0892,0.0936,4.0997,201.00,201.00,401.99
63,0.0906,0.0954,4.0916,201.00,201.00,401.99
64,0.0921,0.0967,4.0849,201.00,201.00,401.99
65,0.0929,0.0984,4.0762,201.00,201.00,401.99
66,0.0956,0.0999,4.0703,201.00,201.00,401.99
67,0.0952,0.1004,4.0636,201.00,201.00,401.99
68,0.0968,0.1018,4.0563,201.00,201.00,401.99
69,0.0991,0.1028,4.0495,201.00,201.00,401.99
70,0.0997,0.1037,4.0422,201.00,201.00,401.99
71,0.1003,0.1048,4.0371,201.00,201.00,401.99
72,0.1018,0.1061,4.0300,201.00,201.00,401.99
73,0.1035,0.1075,4.0228,201.00,201.00,401.99
74,0.1034,0.1078,4.0177,201.00,201.00,401.99
75,0.1049,0.1091,4.0096,201.00,201.00,401.99
76,0.1071,0.1111,4.0005,201.00,201.00,401.99
77,0.1086,0.1122,3.9965,201.00,201.00,401.99
78,0.1095,0.1134,3.9877,201.00,201.00,401.99
79,0.1107,0.1144,3.9811,201.00,201.00,401.99
80,0.1109,0.1159,3.9746,201.00,201.00,401.99
81,0.1138,0.1173,3.9690,201.00,201.00,401.99
82,0.1147,0.1181,3.9621,201.00,201.00,401.99
83,0.1154,0.1192,3.9549,201.00,201.00,401.99
84,0.1159,0.1209,3.9481,201.00,201.00,401.99
85,0.1177,0.1211,3.9419,201.00,201.00,401.99
86,0.1185,0.1224,3.9351,201.00,201.00,401.99
87,0.1193,0.1231,3.9279,201.00,201.00,401.99
88,0.1204,0.1243,3.9223,201.00,201.00,401.99
89,0.1201,0.1252,3.9170,201.00,201.00,401.99
90,0.1233,0.1262,3.9090,201.00,201.00,401.99
91,0.1229,0.1271,3.9014,201.00,201.00,401.99
92,0.1229,0.1278,3.8959,201.00,201.00,401.99
93,0.1244,0.1286,3.8894,201.00,201.00,401.99
94,0.1262,0.1298,3.8843,201.00,201.00,401.99
95,0.1265,0.1311,3.8775,201.00,201.00,401.99
96,0.1288,0.1311,3.8702,201.00,201.00,401.99
97,0.1284,0.1322,3.8650,201.00,201.00,401.99
98,0.1288,0.1325,3.8599,201.00,201.00,401.99
99,0.1288,0.1335,3.8522,201.00,201.00,401.99
100,0.1302,0.1350,3.8460,201.00,201.00,401.99
101,0.1308,0.1357,3.8387,201.00,201.00,401.99
