round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0089,0.0089,4.6058,0.00,201.00,201.00
2,0.0099,0.0091,4.6068,201.00,201.00,401.99
3,0.0171,0.0168,4.6021,201.00,201.00,401.99
4,0.0222,0.0218,4.5897,201.00,201.00,401.99
5,0.0234,0.0233,4.5775,201.00,201.00,401.99
6,0.0260,0.0257,4.5667,201.00,201.00,401.99
7,0.0274,0.0274,4.5568,201.00,201.00,401.99
8,0.0290,0.0292,4.5471,201.00,201.00,401.99
9,0.0302,0.0305,4.5383,201.00,201.00,401.99
10,0.0320,0.0325,4.5297,201.00,201.00,401.99
11,0.0332,0.0341,4.5211,201.00,201.00,401.99
12,0.0348,0.0358,4.5125,201.00,201.00,401.99
13,0.0369,0.0368,4.5039,201.00,201.00,401.99
14,0.0387,0.0381,4.4950,201.00,201.00,401.99
15,0.0393,0.0395,4.4864,201.00,201.00,401.99
16,0.0423,0.0417,4.4780,201.00,201.00,401.99
17,0.0440,0.0435,4.4691,201.00,201.00,401.99
18,0.0459,0.0451,4.4601,201.00,201.00,401.99
19,0.0473,0.0465,4.4514,201.00,201.00,401.99
20,0.0484,0.0480,4.4430,201.00,201.00,401.99
21,0.0493,0.0494,4.4335,201.00,201.00,401.99
22,0.0501,0.0507,4.4241,201.00,201.00,401.99
23,0.0520,0.0522,4.4152,201.00,201.00,401.99
24,0.0534,0.0538,4.4063,201.00,201.00,401.99
25,0.0541,0.0549,4.3975,201.00,201.00,401.99
26,0.0561,0.0568,4.3883,201.00,201.00,401.99
27,0.0572,0.0584,4.3800,201.00,201.00,401.99
28,0.0588,0.0600,4.3720,201.00,201.00,401.99
29,0.0607,0.0610,4.3631,201.00,201.00,401.99
30,0.0624,0.0623,4.3538,201.00,201.00,401.99
31,0.0626,0.0628,4.3460,201.00,201.00,401.99
32,0.0632,0.0637,4.3381,201.00,201.00,401.99
33,0.0650,0.0647,4.3305,201.00,201.00,401.99
34,0.0656,0.0659,4.3219,201.00,201.00,401.99
