round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0107,0.0107,4.6061,0.00,80.40,80.40
2,0.0331,0.0113,4.6087,80.40,80.40,160.80
3,0.0360,0.0160,4.5880,80.40,80.40,160.80
4,0.0469,0.0232,4.5631,80.40,80.40,160.80
5,0.0559,0.0303,4.5388,80.40,80.40,160.80
6,0.0658,0.0378,4.5147,80.40,80.40,160.80
7,0.0732,0.0441,4.4905,80.40,80.40,160.80
8,0.0797,0.0480,4.4678,80.40,80.40,160.80
9,0.0835,0.0514,4.4470,80.40,80.40,160.80
10,0.0866,0.0552,4.4266,80.40,80.40,160.80
11,0.0886,0.0587,4.4075,80.40,80.40,160.80
12,0.0904,0.0625,4.3896,80.40,80.40,160.80
13,0.0946,0.0664,4.3711,80.40,80.40,160.80
14,0.0924,0.0671,4.3534,80.40,80.40,160.80
15,0.0958,0.0702,4.3355,80.40,80.40,160.80
16,0.0946,0.0718,4.3176,80.40,80.40,160.80
17,0.0972,0.0743,4.3009,80.40,80.40,160.80
18,0.0963,0.0764,4.2832,80.40,80.40,160.80
19,0.1039,0.0791,4.2656,80.40,80.40,160.80
20,0.1056,0.0818,4.2492,80.40,80.40,160.80
21,0.1068,0.0840,4.2313,80.40,80.40,160.80
22,0.1054,0.0852,4.2145,80.40,80.40,160.80
23,0.1086,0.0864,4.1950,80.40,80.40,160.80
24,0.1088,0.0878,4.1797,80.40,80.40,160.80
25,0.1090,0.0901,4.1654,80.40,80.40,160.80
26,0.1142,0.0949,4.1469,80.40,80.40,160.80
27,0.1148,0.0958,4.1298,80.40,80.40,160.80
28,0.1180,0.0986,4.1141,80.40,80.40,160.80
29,0.1211,0.0999,4.0958,80.40,80.40,160.80
30,0.1232,0.1013,4.0785,80.40,80.40,160.80
31,0.1245,0.1032,4.0644,80.40,80.40,160.80
32,0.1218,0.1045,4.0512,80.40,80.40,160.80
33,0.1220,0.1060,4.0358,80.40,80.40,160.80
34,0.1246,0.1065,4.0214,80.40,80.40,160.80
35,0.1228,0.1086,4.0011,80.40,80.40,160.80
36,0.1262,0.1088,3.9891,80.40,80.40,160.80
37,0.1254,0.1112,3.9735,80.40,80.40,160.80
38,0.1284,0.1120,3.9630,80.40,80.40,160.80
39,0.1278,0.1127,3.9443,80.40,80.40,160.80
40,0.1319,0.1149,3.9360,80.40,80.40,160.80
41,0.1286,0.1151,3.9194,80.40,80.40,160.80
42,0.1310,0.1172,3.9044,80.40,80.40,160.80
43,0.1364,0.1194,3.8976,80.40,80.40,160.80
44,0.1376,0.1200,3.8799,80.40,80.40,160.80
45,0.1380,0.1237,3.8656,80.40,80.40,160.80
46,0.1384,0.1234,3.8570,80.40,80.40,160.80
47,0.1412,0.1232,3.8451,80.40,80.40,160.80
48,0.1429,0.1257,3.8307,80.40,80.40,160.80
49,0.1445,0.1264,3.8141,80.40,80.40,160.80
50,0.1438,0.1264,3.7977,80.40,80.40,160.80
51,0.1442,0.1273,3.8013,80.40,80.40,160.80
52,0.1417,0.1286,3.7830,80.40,80.40,160.80
53,0.1464,0.1309,3.7684,80.40,80.40,160.80
54,0.1470,0.1324,3.7603,80.40,80.40,160.80
55,0.1454,0.1310,3.7417,80.40,80.40,160.80
56,0.1520,0.1331,3.7357,80.40,80.40,160.80
57,0.1453,0.1341,3.7307,80.40,80.40,160.80
58,0.1508,0.1365,3.7201,80.40,80.40,160.80
59,0.1484,0.1363,3.6955,80.40,80.40,160.80
60,0.1513,0.1369,3.6988,80.40,80.40,160.80
61,0.1505,0.1406,3.6802,80.40,80.40,160.80
62,0.1561,0.1396,3.6699,80.40,80.40,160.80
63,0.1559,0.1427,3.6600,80.40,80.40,160.80
64,0.1565,0.1426,3.6563,80.40,80.40,160.80
65,0.1586,0.1439,3.6384,80.40,80.40,160.80
66,0.1567,0.1431,3.6331,80.40,80.40,160.80
67,0.1622,0.1441,3.6236,80.40,80.40,160.80
68,0.1637,0.1455,3.6138,80.40,80.40,160.80
