round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0081,0.0081,4.6059,0.00,80.40,80.40
2,0.0144,0.0132,4.6022,80.40,80.40,160.80
3,0.0255,0.0254,4.5734,80.40,80.40,160.80
4,0.0357,0.0362,4.5472,80.40,80.40,160.80
5,0.0403,0.0419,4.5221,80.40,80.40,160.80
6,0.0425,0.0435,4.4984,80.40,80.40,160.80
7,0.0421,0.0444,4.4755,80.40,80.40,160.80
8,0.0430,0.0455,4.4525,80.40,80.40,160.80
9,0.0462,0.0475,4.4303,80.40,80.40,160.80
10,0.0489,0.0505,4.4081,80.40,80.40,160.80
11,0.0526,0.0544,4.3871,80.40,80.40,160.80
12,0.0565,0.0572,4.3667,80.40,80.40,160.80
13,0.0577,0.0595,4.3462,80.40,80.40,160.80
14,0.0600,0.0617,4.3265,80.40,80.40,160.80
15,0.0624,0.0644,4.3075,80.40,80.40,160.80
16,0.0665,0.0670,4.2879,80.40,80.40,160.80
17,0.0688,0.0703,4.2687,80.40,80.40,160.80
18,0.0717,0.0727,4.2514,80.40,80.40,160.80
19,0.0746,0.0753,4.2322,80.40,80.40,160.80
20,0.0776,0.0779,4.2146,80.40,80.40,160.80
21,0.0807,0.0809,4.1966,80.40,80.40,160.80
22,0.0852,0.0838,4.1787,80.40,80.40,160.80
23,0.0876,0.0864,4.1605,80.40,80.40,160.80
24,0.0904,0.0889,4.1434,80.40,80.40,160.80
25,0.0930,0.0913,4.1248,80.40,80.40,160.80
26,0.0952,0.0946,4.1078,80.40,80.40,160.80
27,0.0985,0.0972,4.0908,80.40,80.40,160.80
28,0.1012,0.1001,4.0737,80.40,80.40,160.80
29,0.1036,0.1031,4.0575,80.40,80.40,160.80
30,0.1070,0.1060,4.0402,80.40,80.40,160.80
31,0.1105,0.1086,4.0233,80.40,80.40,160.80
32,0.1133,0.1110,4.0069,80.40,80.40,160.80
33,0.1149,0.1136,3.9909,80.40,80.40,160.80
34,0.1171,0.1158,3.9750,80.40,80.40,160.80
35,0.1194,0.1186,3.9574,80.40,80.40,160.80
36,0.1213,0.1210,3.9409,80.40,80.40,160.80
37,0.1239,0.1234,3.9245,80.40,80.40,160.80
38,0.1241,0.1259,3.9100,80.40,80.40,160.80
39,0.1266,0.1272,3.8937,80.40,80.40,160.80
40,0.1287,0.1300,3.8766,80.40,80.40,160.80
41,0.1308,0.1320,3.8613,80.40,80.40,160.80
42,0.1339,0.1349,3.8463,80.40,80.40,160.80
43,0.1346,0.1355,3.8302,80.40,80.40,160.80
44,0.1363,0.1383,3.8145,80.40,80.40,160.80
45,0.1394,0.1406,3.7968,80.40,80.40,160.80
46,0.1401,0.1419,3.7829,80.40,80.40,160.80
47,0.1422,0.1439,3.7657,80.40,80.40,160.80
48,0.1418,0.1453,3.7503,80.40,80.40,160.80
49,0.1464,0.1479,3.7370,80.40,80.40,160.80
50,0.1471,0.1493,3.7226,80.40,80.40,160.80
51,0.1479,0.1517,3.7070,80.40,80.40,160.80
52,0.1505,0.1533,3.6937,80.40,80.40,160.80
53,0.1525,0.1565,3.6798,80.40,80.40,160.80
54,0.1533,0.1575,3.6646,80.40,80.40,160.80
55,0.1554,0.1604,3.6512,80.40,80.40,160.80
56,0.1575,0.1614,3.6355,80.40,80.40,160.80
57,0.1593,0.1627,3.6233,80.40,80.40,160.80
58,0.1611,0.1658,3.6075,80.40,80.40,160.80
59,0.1629,0.1680,3.5964,80.40,80.40,160.80
60,0.1655,0.1679,3.5824,80.40,80.40,160.80
61,0.1685,0.1717,3.5670,80.40,80.40,160.80
62,0.1685,0.1741,3.5544,80.40,80.40,160.80
63,0.1704,0.1747,3.5403,80.40,80.40,160.80
64,0.1744,0.1780,3.5300,80.40,80.40,160.80
65,0.1722,0.1758,3.5259,80.40,80.40,160.80
66,0.1783,0.1805,3.5041,80.40,80.40,160.80
67,0.1810,0.1830,3.4910,80.40,80.40,160.80
68,0.1819,0.1843,3.4770,80.40,80.40,160.80
69,0.1858,0.1873,3.4659,80.40,80.40,160.80
70,0.1841,0.1874,3.4595,80.40,80.40,160.80
71,0.1874,0.1904,3.4405,80.40,80.40,160.80
72,0.1867,0.1905,3.4377,80.40,80.40,160.80
73,0.1930,0.1940,3.4167,80.40,80.40,160.80
74,0.1922,0.1958,3.4086,80.40,80.40,160.80
75,0.1934,0.1973,3.3950,80.40,80.40,160.80
76,0.1944,0.1982,3.3889,80.40,80.40,160.80
77,0.1994,0.2015,3.3746,80.40,80.40,160.80
78,0.1979,0.2039,3.3616,80.40,80.40,160.80
79,0.2004,0.2039,3.3545,80.40,80.40,160.80
80,0.2030,0.2065,3.3373,80.40,80.40,160.80
81,0.2034,0.2079,3.3288,80.40,80.40,160.80
82,0.2055,0.2105,3.3149,80.40,80.40,160.80
83,0.2070,0.2104,3.3171,80.40,80.40,160.80
84,0.2110,0.2130,3.2990,80.40,80.40,160.80
85,0.2110,0.2158,3.2876,80.40,80.40,160.80
86,0.2085,0.2152,3.2834,80.40,80.40,160.80
87,0.2150,0.2190,3.2664,80.40,80.40,160.80
88,0.2181,0.2216,3.2569,80.40,80.40,160.80
89,0.2135,0.2201,3.2490,80.40,80.40,160.80
90,0.2177,0.2219,3.2414,80.40,80.40,160.80
91,0.2198,0.2239,3.2292,80.40,80.40,160.80
92,0.2199,0.2257,3.2160,80.40,80.40,160.80
93,0.2203,0.2267,3.2109,80.40,80.40,160.80
94,0.2266,0.2305,3.1942,80.40,80.40,160.80
95,0.2252,0.2294,3.1880,80.40,80.40,160.80
96,0.2290,0.2324,3.1761,80.40,80.40,160.80
97,0.2295,0.2337,3.1666,80.40,80.40,160.80
98,0.2308,0.2347,3.1626,80.40,80.40,160.80
99,0.2321,0.2367,3.1540,80.40,80.40,160.80
100,0.2342,0.2378,3.1406,80.40,80.40,160.80
101,0.2365,0.2394,3.1364,80.40,80.40,160.80
