round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0102,0.0102,4.6060,0.00,80.40,80.40
2,0.0342,0.0111,4.5970,80.40,80.40,160.80
3,0.0413,0.0152,4.5740,80.40,80.40,160.80
4,0.0417,0.0210,4.5492,80.40,80.40,160.80
5,0.0461,0.0272,4.5267,80.40,80.40,160.80
6,0.0504,0.0333,4.5072,80.40,80.40,160.80
7,0.0616,0.0405,4.4866,80.40,80.40,160.80
8,0.0687,0.0463,4.4679,80.40,80.40,160.80
9,0.0801,0.0521,4.4493,80.40,80.40,160.80
10,0.0837,0.0554,4.4306,80.40,80.40,160.80
11,0.0923,0.0606,4.4139,80.40,80.40,160.80
12,0.0952,0.0635,4.3964,80.40,80.40,160.80
13,0.0970,0.0678,4.3806,80.40,80.40,160.80
14,0.0943,0.0704,4.3642,80.40,80.40,160.80
15,0.1015,0.0737,4.3489,80.40,80.40,160.80
16,0.1051,0.0761,4.3302,80.40,80.40,160.80
17,0.1034,0.0772,4.3159,80.40,80.40,160.80
18,0.0983,0.0761,4.2991,80.40,80.40,160.80
19,0.1041,0.0818,4.2841,80.40,80.40,160.80
20,0.1112,0.0852,4.2697,80.40,80.40,160.80
21,0.1038,0.0853,4.2525,80.40,80.40,160.80
22,0.1100,0.0875,4.2366,80.40,80.40,160.80
23,0.1104,0.0900,4.2193,80.40,80.40,160.80
24,0.1154,0.0916,4.2029,80.40,80.40,160.80
25,0.1178,0.0944,4.1890,80.40,80.40,160.80
26,0.1064,0.0909,4.1739,80.40,80.40,160.80
27,0.1132,0.0961,4.1569,80.40,80.40,160.80
28,0.1196,0.0995,4.1401,80.40,80.40,160.80
29,0.1186,0.1012,4.1247,80.40,80.40,160.80
30,0.1194,0.1022,4.1090,80.40,80.40,160.80
31,0.1232,0.1034,4.0944,80.40,80.40,160.80
32,0.1302,0.1045,4.0825,80.40,80.40,160.80
33,0.1289,0.1059,4.0697,80.40,80.40,160.80
34,0.1255,0.1089,4.0467,80.40,80.40,160.80
35,0.1236,0.1093,4.0343,80.40,80.40,160.80
36,0.1270,0.1104,4.0204,80.40,80.40,160.80
