round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0090,0.0090,4.6060,0.00,0.00,0.00
2,0.2048,0.0175,4.0751,80.40,80.40,160.80
3,0.1902,0.0198,3.7990,80.40,80.40,160.80
4,0.1996,0.0209,3.7425,80.40,80.40,160.80
5,0.2078,0.0192,3.5988,80.40,80.40,160.80
6,0.2247,0.0236,3.5355,80.40,80.40,160.80
7,0.2224,0.0254,3.5999,80.40,80.40,160.80
8,0.2272,0.0239,3.4958,80.40,80.40,160.80
9,0.2369,0.0242,3.3698,80.40,80.40,160.80
10,0.2373,0.0247,3.3771,80.40,80.40,160.80
11,0.2453,0.0277,3.3634,80.40,80.40,160.80
12,0.2315,0.0266,3.4779,80.40,80.40,160.80
13,0.2477,0.0274,3.3393,80.40,80.40,160.80
14,0.2551,0.0285,3.3335,80.40,80.40,160.80
15,0.2586,0.0301,3.4033,80.40,80.40,160.80
16,0.2581,0.0291,3.2895,80.40,80.40,160.80
17,0.2618,0.0311,3.2191,80.40,80.40,160.80
18,0.2712,0.0292,3.1560,80.40,80.40,160.80
19,0.2671,0.0297,3.1981,80.40,80.40,160.80
20,0.2721,0.0292,3.1105,80.40,80.40,160.80
21,0.2731,0.0312,3.1208,80.40,80.40,160.80
22,0.2771,0.0303,3.0722,80.40,80.40,160.80
23,0.2846,0.0324,3.0310,80.40,80.40,160.80
24,0.2873,0.0319,3.0482,80.40,80.40,160.80
25,0.2900,0.0327,2.9202,80.40,80.40,160.80
26,0.2963,0.0333,2.9382,80.40,80.40,160.80
27,0.2954,0.0339,2.9085,80.40,80.40,160.80
28,0.3002,0.0345,2.9321,80.40,80.40,160.80
29,0.3068,0.0344,2.9047,80.40,80.40,160.80
30,0.3102,0.0352,2.8234,80.40,80.40,160.80
31,0.3015,0.0343,2.8803,80.40,80.40,160.80
32,0.3044,0.0353,2.8842,80.40,80.40,160.80
33,0.3209,0.0366,2.7909,80.40,80.40,160.80
34,0.3216,0.0367,2.7921,80.40,80.40,160.80
35,0.3318,0.0389,2.6969,80.40,80.40,160.80
36,0.3374,0.0397,2.6779,80.40,80.40,160.80
37,0.3236,0.0366,2.7621,80.40,80.40,160.80
38,0.3234,0.0387,2.7327,80.40,80.40,160.80
39,0.3313,0.0389,2.6894,80.40,80.40,160.80
40,0.3334,0.0413,2.7135,80.40,80.40,160.80
41,0.3411,0.0412,2.6722,80.40,80.40,160.80
42,0.3491,0.0405,2.6060,80.40,80.40,160.80
43,0.3469,0.0414,2.6068,80.40,80.40,160.80
44,0.3489,0.0418,2.5982,80.40,80.40,160.80
45,0.3485,0.0418,2.6357,80.40,80.40,160.80
46,0.3585,0.0430,2.5704,80.40,80.40,160.80
47,0.3566,0.0432,2.5300,80.40,80.40,160.80
48,0.3587,0.0440,2.5265,80.40,80.40,160.80
49,0.3625,0.0451,2.5392,80.40,80.40,160.80
50,0.3639,0.0440,2.4837,80.40,80.40,160.80
51,0.3703,0.0464,2.4732,80.40,80.40,160.80
52,0.3631,0.0459,2.5145,80.40,80.40,160.80
53,0.3751,0.0460,2.4319,80.40,80.40,160.80
54,0.3779,0.0471,2.4208,80.40,80.40,160.80
55,0.3779,0.0478,2.4136,80.40,80.40,160.80
56,0.3796,0.0489,2.3966,80.40,80.40,160.80
57,0.3823,0.0506,2.3972,80.40,80.40,160.80
58,0.3831,0.0486,2.3709,80.40,80.40,160.80
59,0.3834,0.0496,2.3875,80.40,80.40,160.80
60,0.3823,0.0497,2.3851,80.40,80.40,160.80
61,0.3899,0.0510,2.3605,80.40,80.40,160.80
62,0.4007,0.0527,2.3205,80.40,80.40,160.80
63,0.3950,0.0523,2.3050,80.40,80.40,160.80
64,0.3969,0.0528,2.3076,80.40,80.40,160.80
65,0.3963,0.0524,2.3090,80.40,80.40,160.80
66,0.4031,0.0538,2.2706,80.40,80.40,160.80
67,0.4076,0.0547,2.2909,80.40,80.40,160.80
68,0.3968,0.0532,2.2863,80.40,80.40,160.80
69,0.4072,0.0555,2.2517,80.40,80.40,160.80
70,0.4108,0.0555,2.2273,80.40,80.40,160.80
71,0.4074,0.0560,2.2429,80.40,80.40,160.80
72,0.4158,0.0569,2.2081,80.40,80.40,160.80
73,0.4123,0.0572,2.1978,80.40,80.40,160.80
74,0.4049,0.0544,2.2259,80.40,80.40,160.80
75,0.4222,0.0585,2.2032,80.40,80.40,160.80
76,0.4304,0.0608,2.1600,80.40,80.40,160.80
77,0.4058,0.0577,2.2513,80.40,80.40,160.80
78,0.4260,0.0599,2.1597,80.40,80.40,160.80
79,0.4324,0.0586,2.1282,80.40,80.40,160.80
80,0.4188,0.0596,2.1653,80.40,80.40,160.80
81,0.4311,0.0609,2.1277,80.40,80.40,160.80
82,0.4275,0.0602,2.1136,80.40,80.40,160.80
83,0.4262,0.0620,2.1315,80.40,80.40,160.80
84,0.4400,0.0621,2.0808,80.40,80.40,160.80
85,0.4382,0.0641,2.0789,80.40,80.40,160.80
86,0.4247,0.0599,2.1147,80.40,80.40,160.80
87,0.4333,0.0621,2.1176,80.40,80.40,160.80
88,0.4348,0.0632,2.0787,80.40,80.40,160.80
89,0.4393,0.0641,2.0601,80.40,80.40,160.80
90,0.4455,0.0662,2.0559,80.40,80.40,160.80
91,0.4422,0.0651,2.0559,80.40,80.40,160.80
92,0.4383,0.0641,2.0713,80.40,80.40,160.80
93,0.4457,0.0653,2.0290,80.40,80.40,160.80
94,0.4341,0.0636,2.0897,80.40,80.40,160.80
95,0.4379,0.0659,2.0603,80.40,80.40,160.80
96,0.4474,0.0680,2.0176,80.40,80.40,160.80
97,0.4364,0.0648,2.0880,80.40,80.40,160.80
98,0.4599,0.0677,1.9721,80.40,80.40,160.80
99,0.4460,0.0691,2.0361,80.40,80.40,160.80
100,0.4464,0.0673,1.9845,80.40,80.40,160.80
101,0.4528,0.0700,1.9980,80.40,80.40,160.80
