round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0113,0.0113,4.6060,0.00,0.00,0.00
2,0.1470,0.0134,3.9781,201.00,201.00,401.99
3,0.1675,0.0149,3.7816,201.00,201.00,401.99
4,0.1601,0.0181,3.7175,201.00,201.00,401.99
5,0.1763,0.0214,3.6466,201.00,201.00,401.99
6,0.1820,0.0235,3.5435,201.00,201.00,401.99
7,0.1659,0.0247,3.6381,201.00,201.00,401.99
8,0.1778,0.0254,3.5649,201.00,201.00,401.99
9,0.1841,0.0263,3.4740,201.00,201.00,401.99
10,0.1883,0.0270,3.5091,201.00,201.00,401.99
11,0.1999,0.0277,3.4121,201.00,201.00,401.99
12,0.1946,0.0282,3.5220,201.00,201.00,401.99
13,0.1970,0.0279,3.4006,201.00,201.00,401.99
14,0.2058,0.0282,3.3710,201.00,201.00,401.99
15,0.1900,0.0297,3.5079,201.00,201.00,401.99
16,0.2048,0.0308,3.4461,201.00,201.00,401.99
17,0.2290,0.0303,3.1884,201.00,201.00,401.99
18,0.2067,0.0297,3.4771,201.00,201.00,401.99
19,0.1934,0.0297,3.5087,201.00,201.00,401.99
20,0.2368,0.0311,3.2006,201.00,201.00,401.99
21,0.2076,0.0313,3.3916,201.00,201.00,401.99
22,0.2329,0.0312,3.3120,201.00,201.00,401.99
23,0.2258,0.0310,3.2423,201.00,201.00,401.99
24,0.2373,0.0330,3.0754,201.00,201.00,401.99
25,0.2248,0.0326,3.1979,201.00,201.00,401.99
26,0.2211,0.0332,3.2455,201.00,201.00,401.99
27,0.2376,0.0327,3.1972,201.00,201.00,401.99
28,0.2385,0.0325,3.1496,201.00,201.00,401.99
29,0.2205,0.0340,3.2221,201.00,201.00,401.99
30,0.2326,0.0333,3.2279,201.00,201.00,401.99
31,0.2065,0.0340,3.3733,201.00,201.00,401.99
32,0.2577,0.0351,3.0439,201.00,201.00,401.99
33,0.2396,0.0344,3.1422,201.00,201.00,401.99
34,0.2519,0.0350,2.9918,201.00,201.00,401.99
35,0.2412,0.0353,3.0716,201.00,201.00,401.99
36,0.2446,0.0355,3.1027,201.00,201.00,401.99
37,0.2372,0.0360,3.0925,201.00,201.00,401.99
38,0.2576,0.0361,3.0663,201.00,201.00,401.99
39,0.2622,0.0356,3.0911,201.00,201.00,401.99
40,0.2548,0.0359,3.0403,201.00,201.00,401.99
