round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0104,0.0104,4.6060,0.00,0.00,0.00
2,0.0983,0.0179,4.4510,122.48,80.40,202.88
3,0.1199,0.0200,4.1839,120.45,80.40,200.85
4,0.1319,0.0218,4.0253,119.29,80.40,199.69
5,0.1399,0.0233,3.9050,118.49,80.40,198.89
6,0.1508,0.0257,3.8129,117.89,80.40,198.29
7,0.1595,0.0279,3.7380,117.43,80.40,197.83
8,0.1668,0.0299,3.6760,117.05,80.40,197.45
9,0.1723,0.0317,3.6222,116.73,80.40,197.13
10,0.1794,0.0334,3.5750,116.52,80.40,196.92
11,0.1844,0.0352,3.5323,116.31,80.40,196.71
12,0.1900,0.0373,3.4920,116.10,80.40,196.50
13,0.1939,0.0388,3.4539,115.93,80.40,196.33
14,0.2012,0.0407,3.4183,115.80,80.40,196.19
15,0.2064,0.0421,3.3836,115.69,80.40,196.09
16,0.2120,0.0440,3.3506,115.61,80.40,196.01
17,0.2176,0.0459,3.3175,115.53,80.40,195.93
18,0.2215,0.0473,3.2851,115.46,80.40,195.85
19,0.2247,0.0488,3.2551,115.38,80.40,195.78
20,0.2287,0.0502,3.2278,115.38,80.40,195.78
21,0.2347,0.0521,3.1938,115.38,80.40,195.78
22,0.2390,0.0541,3.1664,115.38,80.40,195.78
23,0.2432,0.0551,3.1344,115.38,80.40,195.78
24,0.2474,0.0566,3.1045,115.38,80.40,195.78
25,0.2489,0.0573,3.0815,115.38,80.40,195.78
26,0.2523,0.0584,3.0576,115.38,80.40,195.78
27,0.2582,0.0604,3.0264,115.38,80.40,195.78
28,0.2589,0.0618,3.0068,115.38,80.40,195.78
29,0.2642,0.0637,2.9780,115.38,80.40,195.78
30,0.2654,0.0642,2.9491,115.38,80.40,195.78
31,0.2727,0.0665,2.9131,115.38,80.40,195.78
32,0.2702,0.0662,2.9037,115.38,80.40,195.78
33,0.2775,0.0694,2.8658,115.38,80.40,195.78
34,0.2766,0.0696,2.8516,115.38,80.40,195.78
35,0.2755,0.0700,2.8233,115.38,80.40,195.78
36,0.2824,0.0719,2.8075,115.38,80.40,195.78
37,0.2878,0.0730,2.7595,115.38,80.40,195.78
38,0.2881,0.0755,2.7450,115.38,80.40,195.78
39,0.2868,0.0759,2.7372,115.38,80.40,195.78
40,0.2898,0.0769,2.7083,115.38,80.40,195.78
41,0.2992,0.0794,2.6704,115.38,80.40,195.78
42,0.2957,0.0795,2.6634,115.38,80.40,195.78
43,0.2983,0.0794,2.6371,115.38,80.40,195.78
44,0.2962,0.0798,2.6271,115.38,80.40,195.78
45,0.2914,0.0789,2.6380,115.38,80.40,195.78
46,0.3004,0.0820,2.5753,115.38,80.40,195.78
47,0.2904,0.0799,2.6021,115.38,80.40,195.78
48,0.3039,0.0836,2.5420,115.38,80.40,195.78
49,0.3052,0.0845,2.5146,115.38,80.40,195.78
50,0.3034,0.0853,2.5053,115.38,80.40,195.78
51,0.3058,0.0850,2.4683,115.38,80.40,195.78
52,0.3028,0.0861,2.4778,115.38,80.40,195.78
53,0.3134,0.0895,2.4452,115.38,80.40,195.78
54,0.3169,0.0897,2.3956,115.38,80.40,195.78
55,0.3066,0.0863,2.4406,115.38,80.40,195.78
56,0.3102,0.0896,2.3911,115.38,80.40,195.78
57,0.3088,0.0891,2.4117,115.38,80.40,195.78
58,0.3087,0.0898,2.3637,115.38,80.40,195.78
59,0.3161,0.0904,2.3386,115.38,80.40,195.78
60,0.3060,0.0893,2.3644,115.38,80.40,195.78
61,0.3231,0.0961,2.2646,115.38,80.40,195.78
62,0.3174,0.0924,2.3136,115.38,80.40,195.78
63,0.3184,0.0947,2.2535,115.38,80.40,195.78
64,0.3152,0.0921,2.2705,115.38,80.40,195.78
65,0.3154,0.0931,2.2300,115.38,80.40,195.78
66,0.3038,0.0924,2.2540,115.38,80.40,195.78
67,0.3084,0.0900,2.2900,115.38,80.40,195.78
68,0.3194,0.0955,2.1800,115.38,80.40,195.78
69,0.3157,0.0962,2.1798,115.38,80.40,195.78
70,0.3172,0.0947,2.1765,115.38,80.40,195.78
71,0.3212,0.0952,2.1769,115.38,80.40,195.78
