round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0102,0.0102,4.6061,0.00,0.00,0.00
2,0.2462,0.0190,3.4768,122.48,80.40,202.88
3,0.3296,0.0261,2.5440,120.43,80.40,200.82
4,0.3720,0.0295,2.1735,119.27,80.40,199.66
5,0.4067,0.0325,1.9863,118.49,80.40,198.89
6,0.4285,0.0349,1.8582,117.90,80.40,198.30
7,0.4528,0.0374,1.7561,117.41,80.40,197.80
8,0.4760,0.0397,1.6678,117.03,80.40,197.43
9,0.4882,0.0416,1.5917,116.71,80.40,197.10
10,0.5097,0.0432,1.5220,116.46,80.40,196.85
11,0.5252,0.0448,1.4568,116.25,80.40,196.64
12,0.5366,0.0457,1.3997,116.04,80.40,196.43
13,0.5473,0.0470,1.3623,115.87,80.40,196.27
14,0.5585,0.0482,1.3151,115.78,80.40,196.17
15,0.5591,0.0484,1.2915,115.68,80.40,196.08
16,0.5661,0.0493,1.2490,115.57,80.40,195.97
17,0.5759,0.0502,1.2075,115.49,80.40,195.89
18,0.5753,0.0503,1.2008,115.42,80.40,195.81
19,0.6015,0.0524,1.1289,115.34,80.40,195.74
20,0.5901,0.0519,1.1342,115.23,80.40,195.63
21,0.5993,0.0528,1.0918,115.23,80.40,195.63
22,0.5989,0.0530,1.0851,115.23,80.40,195.63
23,0.6031,0.0534,1.0648,115.23,80.40,195.63
24,0.6067,0.0531,1.0287,115.23,80.40,195.63
25,0.6033,0.0537,1.0403,115.23,80.40,195.63
26,0.6120,0.0539,1.0014,115.23,80.40,195.63
27,0.5999,0.0543,1.0219,115.23,80.40,195.63
28,0.6141,0.0549,0.9673,115.23,80.40,195.63
29,0.6071,0.0541,0.9618,115.23,80.40,195.63
30,0.6039,0.0539,0.9788,115.23,80.40,195.63
31,0.6163,0.0554,0.9337,115.23,80.40,195.63
32,0.6069,0.0549,0.9401,115.23,80.40,195.63
33,0.6190,0.0559,0.8969,115.23,80.40,195.63
34,0.6109,0.0549,0.8916,115.23,80.40,195.63
35,0.6401,0.0575,0.8233,115.23,80.40,195.63
36,0.6408,0.0578,0.8091,115.23,80.40,195.63
37,0.6278,0.0561,0.8299,115.23,80.40,195.63
38,0.6185,0.0560,0.8390,115.23,80.40,195.63
39,0.6488,0.0578,0.7358,115.23,80.40,195.63
40,0.6331,0.0568,0.7597,115.23,80.40,195.63
41,0.6238,0.0567,0.7791,115.23,80.40,195.63
42,0.6550,0.0594,0.7070,115.23,80.40,195.63
43,0.6457,0.0588,0.6998,115.23,80.40,195.63
44,0.6283,0.0570,0.7582,115.23,80.40,195.63
45,0.6506,0.0596,0.7061,115.23,80.40,195.63
46,0.6230,0.0571,0.7377,115.23,80.40,195.63
47,0.6521,0.0602,0.6693,115.23,80.40,195.63
48,0.6435,0.0583,0.6433,115.23,80.40,195.63
49,0.6528,0.0596,0.6150,115.23,80.40,195.63
50,0.6341,0.0576,0.6444,115.23,80.40,195.63
51,0.6241,0.0578,0.7036,115.23,80.40,195.63
52,0.6347,0.0579,0.6404,115.23,80.40,195.63
53,0.6328,0.0584,0.6401,115.23,80.40,195.63
54,0.6410,0.0587,0.6036,115.23,80.40,195.63
55,0.6489,0.0591,0.6036,115.23,80.40,195.63
56,0.6274,0.0579,0.6152,115.23,80.40,195.63
57,0.6544,0.0600,0.5537,115.23,80.40,195.63
58,0.6513,0.0599,0.5360,115.23,80.40,195.63
59,0.6424,0.0588,0.5590,115.23,80.40,195.63
60,0.6664,0.0602,0.4869,115.23,80.40,195.63
61,0.6285,0.0588,0.5892,115.23,80.40,195.63
62,0.6558,0.0594,0.5178,115.23,80.40,195.63
63,0.6508,0.0599,0.5031,115.23,80.40,195.63
64,0.6632,0.0608,0.4803,115.23,80.40,195.63
65,0.6475,0.0597,0.5025,115.23,80.40,195.63
66,0.6795,0.0620,0.4341,115.23,80.40,195.63
67,0.6716,0.0614,0.4265,115.23,80.40,195.63
68,0.6385,0.0588,0.5792,115.23,80.40,195.63
69,0.6510,0.0606,0.4681,115.23,80.40,195.63
70,0.6646,0.0611,0.4132,115.23,80.40,195.63
71,0.6466,0.0602,0.4916,115.23,80.40,195.63
72,0.6389,0.0588,0.5327,115.23,80.40,195.63
73,0.6582,0.0597,0.4319,115.23,80.40,195.63
74,0.6470,0.0603,0.4744,115.23,80.40,195.63
75,0.6497,0.0598,0.4883,115.23,80.40,195.63
76,0.6505,0.0592,0.4559,115.23,80.40,195.63
77,0.6746,0.0616,0.4108,115.23,80.40,195.63
78,0.6672,0.0620,0.3899,115.23,80.40,195.63
79,0.6559,0.0611,0.4361,115.23,80.40,195.63
80,0.6877,0.0633,0.3263,115.23,80.40,195.63
81,0.6762,0.0633,0.3994,115.23,80.40,195.63
82,0.6570,0.0614,0.4253,115.23,80.40,195.63
83,0.6563,0.0612,0.4072,115.23,80.40,195.63
84,0.6667,0.0624,0.3577,115.23,80.40,195.63
85,0.6894,0.0636,0.3429,115.23,80.40,195.63
86,0.6920,0.0629,0.2876,115.23,80.40,195.63
87,0.6536,0.0606,0.3931,115.23,80.40,195.63
88,0.6824,0.0631,0.3399,115.23,80.40,195.63
89,0.6819,0.0633,0.2999,115.23,80.40,195.63
90,0.6763,0.0628,0.2800,115.23,80.40,195.63
91,0.6677,0.0616,0.3621,115.23,80.40,195.63
92,0.6708,0.0631,0.4011,115.23,80.40,195.63
93,0.6456,0.0600,0.4579,115.23,80.40,195.63
94,0.6674,0.0628,0.3717,115.23,80.40,195.63
95,0.6723,0.0623,0.3310,115.23,80.40,195.63
96,0.6748,0.0623,0.3487,115.23,80.40,195.63
97,0.6596,0.0621,0.3747,115.23,80.40,195.63
98,0.6964,0.0654,0.2520,115.23,80.40,195.63
