round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0098,0.0098,4.6059,0.00,80.40,80.40
2,0.0145,0.0140,4.5978,80.40,80.40,160.80
3,0.0218,0.0219,4.5681,80.40,80.40,160.80
4,0.0279,0.0286,4.5432,80.40,80.40,160.80
5,0.0349,0.0340,4.5198,80.40,80.40,160.80
6,0.0395,0.0390,4.4974,80.40,80.40,160.80
7,0.0454,0.0440,4.4769,80.40,80.40,160.80
8,0.0502,0.0498,4.4564,80.40,80.40,160.80
9,0.0564,0.0556,4.4361,80.40,80.40,160.80
10,0.0616,0.0593,4.4166,80.40,80.40,160.80
11,0.0664,0.0655,4.3980,80.40,80.40,160.80
12,0.0697,0.0683,4.3803,80.40,80.40,160.80
13,0.0721,0.0715,4.3624,80.40,80.40,160.80
14,0.0738,0.0732,4.3442,80.40,80.40,160.80
15,0.0778,0.0777,4.3273,80.40,80.40,160.80
16,0.0782,0.0788,4.3095,80.40,80.40,160.80
17,0.0805,0.0820,4.2920,80.40,80.40,160.80
18,0.0833,0.0845,4.2762,80.40,80.40,160.80
19,0.0864,0.0874,4.2589,80.40,80.40,160.80
20,0.0880,0.0886,4.2419,80.40,80.40,160.80
21,0.0878,0.0890,4.2257,80.40,80.40,160.80
22,0.0902,0.0908,4.2092,80.40,80.40,160.80
23,0.0931,0.0944,4.1927,80.40,80.40,160.80
24,0.0975,0.0978,4.1778,80.40,80.40,160.80
25,0.0992,0.0995,4.1595,80.40,80.40,160.80
26,0.1013,0.1016,4.1434,80.40,80.40,160.80
27,0.1042,0.1041,4.1278,80.40,80.40,160.80
28,0.1060,0.1064,4.1124,80.40,80.40,160.80
29,0.1082,0.1089,4.0958,80.40,80.40,160.80
30,0.1109,0.1107,4.0806,80.40,80.40,160.80
31,0.1126,0.1120,4.0631,80.40,80.40,160.80
32,0.1127,0.1136,4.0459,80.40,80.40,160.80
33,0.1135,0.1153,4.0289,80.40,80.40,160.80
34,0.1174,0.1175,4.0144,80.40,80.40,160.80
35,0.1209,0.1209,3.9976,80.40,80.40,160.80
36,0.1224,0.1236,3.9840,80.40,80.40,160.80
37,0.1227,0.1242,3.9661,80.40,80.40,160.80
38,0.1247,0.1262,3.9492,80.40,80.40,160.80
39,0.1262,0.1274,3.9338,80.40,80.40,160.80
40,0.1275,0.1287,3.9163,80.40,80.40,160.80
41,0.1289,0.1305,3.9022,80.40,80.40,160.80
42,0.1319,0.1330,3.8874,80.40,80.40,160.80
43,0.1347,0.1358,3.8741,80.40,80.40,160.80
44,0.1345,0.1358,3.8613,80.40,80.40,160.80
45,0.1364,0.1386,3.8433,80.40,80.40,160.80
46,0.1379,0.1401,3.8264,80.40,80.40,160.80
47,0.1395,0.1427,3.8122,80.40,80.40,160.80
48,0.1415,0.1448,3.7969,80.40,80.40,160.80
49,0.1427,0.1467,3.7842,80.40,80.40,160.80
50,0.1440,0.1481,3.7673,80.40,80.40,160.80
51,0.1453,0.1493,3.7519,80.40,80.40,160.80
52,0.1488,0.1520,3.7377,80.40,80.40,160.80
53,0.1509,0.1538,3.7217,80.40,80.40,160.80
54,0.1505,0.1549,3.7087,80.40,80.40,160.80
55,0.1529,0.1576,3.6926,80.40,80.40,160.80
56,0.1531,0.1581,3.6802,80.40,80.40,160.80
57,0.1575,0.1597,3.6674,80.40,80.40,160.80
58,0.1571,0.1607,3.6526,80.40,80.40,160.80
