round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0113,0.0113,4.6060,0.00,201.00,201.00
2,0.0249,0.0109,4.6044,201.00,201.00,401.99
3,0.0259,0.0112,4.5981,201.00,201.00,401.99
4,0.0328,0.0121,4.5897,201.00,201.00,401.99
5,0.0364,0.0150,4.5790,201.00,201.00,401.99
6,0.0399,0.0192,4.5665,201.00,201.00,401.99
7,0.0425,0.0227,4.5544,201.00,201.00,401.99
8,0.0435,0.0254,4.5425,201.00,201.00,401.99
9,0.0436,0.0280,4.5310,201.00,201.00,401.99
10,0.0459,0.0301,4.5191,201.00,201.00,401.99
11,0.0469,0.0328,4.5084,201.00,201.00,401.99
12,0.0491,0.0355,4.4976,201.00,201.00,401.99
13,0.0514,0.0364,4.4879,201.00,201.00,401.99
14,0.0521,0.0381,4.4783,201.00,201.00,401.99
15,0.0543,0.0398,4.4679,201.00,201.00,401.99
16,0.0537,0.0408,4.4588,201.00,201.00,401.99
17,0.0537,0.0420,4.4502,201.00,201.00,401.99
18,0.0538,0.0431,4.4418,201.00,201.00,401.99
19,0.0550,0.0431,4.4331,201.00,201.00,401.99
20,0.0547,0.0439,4.4251,201.00,201.00,401.99
21,0.0555,0.0443,4.4166,201.00,201.00,401.99
22,0.0581,0.0455,4.4093,201.00,201.00,401.99
23,0.0600,0.0471,4.4029,201.00,201.00,401.99
24,0.0600,0.0473,4.3946,201.00,201.00,401.99
25,0.0605,0.0482,4.3876,201.00,201.00,401.99
26,0.0616,0.0491,4.3793,201.00,201.00,401.99
27,0.0607,0.0475,4.3728,201.00,201.00,401.99
28,0.0621,0.0495,4.3660,201.00,201.00,401.99
29,0.0605,0.0491,4.3596,201.00,201.00,401.99
30,0.0621,0.0505,4.3536,201.00,201.00,401.99
31,0.0621,0.0507,4.3456,201.00,201.00,401.99
32,0.0625,0.0507,4.3389,201.00,201.00,401.99
33,0.0664,0.0534,4.3322,201.00,201.00,401.99
34,0.0670,0.0545,4.3254,201.00,201.00,401.99
35,0.0661,0.0552,4.3191,201.00,201.00,401.99
36,0.0651,0.0535,4.3125,201.00,201.00,401.99
37,0.0658,0.0564,4.3061,201.00,201.00,401.99
38,0.0718,0.0591,4.2997,201.00,201.00,401.99
39,0.0722,0.0598,4.2923,201.00,201.00,401.99
40,0.0752,0.0630,4.2858,201.00,201.00,401.99
41,0.0797,0.0661,4.2803,201.00,201.00,401.99
42,0.0829,0.0672,4.2720,201.00,201.00,401.99
43,0.0806,0.0661,4.2642,201.00,201.00,401.99
44,0.0788,0.0654,4.2578,201.00,201.00,401.99
45,0.0824,0.0678,4.2521,201.00,201.00,401.99
46,0.0846,0.0702,4.2461,201.00,201.00,401.99
47,0.0878,0.0725,4.2405,201.00,201.00,401.99
48,0.0870,0.0721,4.2328,201.00,201.00,401.99
49,0.0896,0.0734,4.2258,201.00,201.00,401.99
50,0.0896,0.0720,4.2181,201.00,201.00,401.99
51,0.0921,0.0758,4.2120,201.00,201.00,401.99
52,0.0936,0.0787,4.2077,201.00,201.00,401.99
53,0.0954,0.0787,4.2001,201.00,201.00,401.99
54,0.0987,0.0820,4.1942,201.00,201.00,401.99
55,0.0953,0.0826,4.1863,201.00,201.00,401.99
56,0.0935,0.0784,4.1790,201.00,201.00,401.99
57,0.0852,0.0724,4.1786,201.00,201.00,401.99
58,0.0770,0.0650,4.1832,201.00,201.00,401.99
59,0.0818,0.0689,4.1742,201.00,201.00,401.99
60,0.0935,0.0763,4.1631,201.00,201.00,401.99
61,0.0957,0.0821,4.1538,201.00,201.00,401.99
62,0.1004,0.0859,4.1400,201.00,201.00,401.99
63,0.1005,0.0841,4.1330,201.00,201.00,401.99
64,0.0975,0.0811,4.1271,201.00,201.00,401.99
65,0.0962,0.0799,4.1236,201.00,201.00,401.99
66,0.1033,0.0850,4.1154,201.00,201.00,401.99
67,0.1001,0.0837,4.1120,201.00,201.00,401.99
68,0.1095,0.0901,4.1018,201.00,201.00,401.99
69,0.1005,0.0831,4.1029,201.00,201.00,401.99
70,0.1001,0.0830,4.0959,201.00,201.00,401.99
71,0.1018,0.0839,4.0889,201.00,201.00,401.99
72,0.1019,0.0840,4.0827,201.00,201.00,401.99
73,0.0997,0.0837,4.0772,201.00,201.00,401.99
74,0.0965,0.0819,4.0755,201.00,201.00,401.99
75,0.1033,0.0881,4.0588,201.00,201.00,401.99
76,0.1048,0.0889,4.0533,201.00,201.00,401.99
77,0.1054,0.0886,4.0494,201.00,201.00,401.99
78,0.1029,0.0870,4.0424,201.00,201.00,401.99
79,0.1070,0.0930,4.0353,201.00,201.00,401.99
80,0.1008,0.0888,4.0324,201.00,201.00,401.99
81,0.0942,0.0838,4.0338,201.00,201.00,401.99
82,0.0912,0.0810,4.0357,201.00,201.00,401.99
83,0.1053,0.0914,4.0159,201.00,201.00,401.99
84,0.1055,0.0920,4.0022,201.00,201.00,401.99
85,0.1116,0.0969,3.9964,201.00,201.00,401.99
86,0.1128,0.0967,3.9933,201.00,201.00,401.99
87,0.1117,0.0967,3.9856,201.00,201.00,401.99
88,0.1165,0.1016,3.9739,201.00,201.00,401.99
89,0.1200,0.1018,3.9688,201.00,201.00,401.99
90,0.1145,0.0999,3.9616,201.00,201.00,401.99
91,0.1164,0.1015,3.9623,201.00,201.00,401.99
92,0.1278,0.1082,3.9504,201.00,201.00,401.99
93,0.1301,0.1115,3.9423,201.00,201.00,401.99
94,0.1253,0.1074,3.9339,201.00,201.00,401.99
95,0.1156,0.0993,3.9483,201.00,201.00,401.99
96,0.1088,0.0950,3.9561,201.00,201.00,401.99
97,0.1052,0.0914,3.9532,201.00,201.00,401.99
98,0.1039,0.0909,3.9445,201.00,201.00,401.99
99,0.1161,0.1012,3.9136,201.00,201.00,401.99
100,0.1230,0.1074,3.9033,201.00,201.00,401.99
101,0.1077,0.0957,3.9413,201.00,201.00,401.99
