round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0000,0.0111,4.6059,0.00,0.00,0.00
2,0.0102,0.0108,4.5799,1.76,4.88,6.65
3,0.0479,0.0136,4.0839,1.76,4.88,6.65
4,0.2019,0.0155,3.5083,1.76,4.88,6.65
5,0.2441,0.0171,3.1795,1.76,4.88,6.65
6,0.2601,0.0186,2.9854,1.76,4.88,6.65
7,0.2740,0.0203,2.8499,1.76,4.88,6.65
8,0.2860,0.0216,2.7504,1.76,4.88,6.65
9,0.2978,0.0231,2.6721,1.76,4.88,6.65
10,0.3055,0.0244,2.6055,1.76,4.88,6.65
11,0.3176,0.0253,2.5478,1.76,4.88,6.65
12,0.3267,0.0261,2.4982,1.76,4.88,6.65
13,0.3346,0.0267,2.4531,1.76,4.88,6.65
14,0.3445,0.0277,2.4109,1.76,4.88,6.65
15,0.3503,0.0284,2.3723,1.76,4.88,6.65
16,0.3581,0.0294,2.3354,1.76,4.88,6.65
17,0.3653,0.0304,2.3041,1.76,4.88,6.65
18,0.3688,0.0308,2.2711,1.76,4.88,6.65
19,0.3750,0.0314,2.2436,1.76,4.88,6.65
20,0.3808,0.0322,2.2152,1.76,4.88,6.65
21,0.3844,0.0329,2.1833,1.76,4.88,6.65
22,0.3883,0.0337,2.1586,1.76,4.88,6.65
23,0.3920,0.0343,2.1391,1.76,4.88,6.65
24,0.3989,0.0350,2.1073,1.76,4.88,6.65
25,0.3995,0.0355,2.0920,1.76,4.88,6.65
26,0.4021,0.0363,2.0680,1.76,4.88,6.65
27,0.4037,0.0363,2.0526,1.76,4.88,6.65
28,0.4034,0.0369,2.0615,1.76,4.88,6.65
29,0.4134,0.0376,2.0014,1.76,4.88,6.65
30,0.4146,0.0380,1.9930,1.76,4.88,6.65
31,0.4195,0.0389,1.9666,1.76,4.88,6.65
32,0.4236,0.0384,1.9565,1.76,4.88,6.65
33,0.4236,0.0397,1.9279,1.76,4.88,6.65
34,0.4248,0.0390,1.9384,1.76,4.88,6.65
35,0.4298,0.0405,1.8915,1.76,4.88,6.65
36,0.4328,0.0403,1.8880,1.76,4.88,6.65
37,0.4332,0.0416,1.8510,1.76,4.88,6.65
38,0.4320,0.0411,1.8659,1.76,4.88,6.65
39,0.4328,0.0417,1.8528,1.76,4.88,6.65
40,0.4358,0.0418,1.8308,1.76,4.88,6.65
41,0.4325,0.0427,1.8143,1.76,4.88,6.65
42,0.4426,0.0421,1.8372,1.76,4.88,6.65
43,0.4492,0.0431,1.7720,1.76,4.88,6.65
44,0.4391,0.0428,1.7979,1.76,4.88,6.65
45,0.4432,0.0441,1.7780,1.76,4.88,6.65
46,0.4386,0.0435,1.7730,1.76,4.88,6.65
47,0.4487,0.0441,1.7672,1.76,4.88,6.65
48,0.4609,0.0450,1.6923,1.76,4.88,6.65
49,0.4522,0.0446,1.7439,1.76,4.88,6.65
50,0.4505,0.0461,1.6798,1.76,4.88,6.65
51,0.4627,0.0462,1.6472,1.76,4.88,6.65
52,0.4540,0.0458,1.6553,1.76,4.88,6.65
53,0.4552,0.0465,1.6547,1.76,4.88,6.65
54,0.4536,0.0463,1.7265,1.76,4.88,6.65
55,0.4628,0.0470,1.6113,1.76,4.88,6.65
56,0.4588,0.0467,1.6330,1.76,4.88,6.65
57,0.4514,0.0469,1.6503,1.76,4.88,6.65
58,0.4611,0.0468,1.6217,1.76,4.88,6.65
59,0.4687,0.0493,1.5246,1.76,4.88,6.65
60,0.4691,0.0490,1.5478,1.76,4.88,6.65
61,0.4638,0.0477,1.6001,1.76,4.88,6.65
62,0.4508,0.0478,1.6467,1.76,4.88,6.65
63,0.4542,0.0480,1.5778,1.76,4.88,6.65
64,0.4697,0.0491,1.5052,1.76,4.88,6.65
65,0.4653,0.0496,1.4913,1.76,4.88,6.65
66,0.4667,0.0498,1.4984,1.76,4.88,6.65
67,0.4702,0.0496,1.4963,1.76,4.88,6.65
68,0.4488,0.0482,1.5997,1.76,4.88,6.65
69,0.4636,0.0487,1.5137,1.76,4.88,6.65
70,0.4742,0.0501,1.4850,1.76,4.88,6.65
71,0.4631,0.0506,1.5118,1.76,4.88,6.65
72,0.4577,0.0475,1.7560,1.76,4.88,6.65
73,0.4598,0.0495,1.6020,1.76,4.88,6.65
74,0.4652,0.0509,1.4123,1.76,4.88,6.65
75,0.4739,0.0506,1.4141,1.76,4.88,6.65
76,0.4781,0.0513,1.3572,1.76,4.88,6.65
77,0.4718,0.0500,1.4423,1.76,4.88,6.65
78,0.4799,0.0513,1.3427,1.76,4.88,6.65
79,0.4652,0.0504,1.4699,1.76,4.88,6.65
80,0.4651,0.0492,1.5668,1.76,4.88,6.65
81,0.4797,0.0529,1.2675,1.76,4.88,6.65
82,0.4651,0.0514,1.3834,1.76,4.88,6.65
83,0.4825,0.0522,1.2937,1.76,4.88,6.65
84,0.4657,0.0519,1.3556,1.76,4.88,6.65
85,0.4586,0.0501,1.7760,1.76,4.88,6.65
86,0.4728,0.0524,1.5411,1.76,4.88,6.65
87,0.4769,0.0523,1.3363,1.76,4.88,6.65
88,0.4735,0.0528,1.3252,1.76,4.88,6.65
89,0.4761,0.0533,1.3398,1.76,4.88,6.65
90,0.4709,0.0524,1.3503,1.76,4.88,6.65
91,0.4701,0.0526,1.4144,1.76,4.88,6.65
92,0.4830,0.0527,1.2973,1.76,4.88,6.65
93,0.4824,0.0541,1.2306,1.76,4.88,6.65
94,0.4751,0.0532,1.2965,1.76,4.88,6.65
95,0.4851,0.0537,1.2118,1.76,4.88,6.65
96,0.4663,0.0524,1.4308,1.76,4.88,6.65
97,0.4809,0.0543,1.1919,1.76,4.88,6.65
98,0.4781,0.0556,1.1923,1.76,4.88,6.65
99,0.4675,0.0533,1.3839,1.76,4.88,6.65
100,0.5009,0.0545,1.1001,1.76,4.88,6.65
101,0.4865,0.0543,1.2385,1.76,4.88,6.65
