round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0000,0.0113,4.6060,0.00,0.00,0.00
2,0.1723,0.0134,4.0450,0.49,4.88,5.37
3,0.1491,0.0167,3.3667,0.49,4.88,5.37
4,0.1802,0.0199,3.0298,0.49,4.88,5.37
5,0.2384,0.0224,2.7155,0.49,4.88,5.37
6,0.3073,0.0243,2.4316,0.49,4.88,5.37
7,0.3524,0.0262,2.2120,0.49,4.88,5.37
8,0.3825,0.0279,2.0504,0.49,4.88,5.37
9,0.4066,0.0292,1.9304,0.49,4.88,5.37
10,0.4209,0.0302,1.8353,0.49,4.88,5.37
11,0.4334,0.0311,1.7605,0.49,4.88,5.37
12,0.4451,0.0321,1.6976,0.49,4.88,5.37
13,0.4545,0.0328,1.6408,0.49,4.88,5.37
14,0.4631,0.0338,1.5925,0.49,4.88,5.37
15,0.4730,0.0344,1.5472,0.49,4.88,5.37
16,0.4753,0.0350,1.5118,0.49,4.88,5.37
17,0.4886,0.0359,1.4664,0.49,4.88,5.37
18,0.4928,0.0364,1.4336,0.49,4.88,5.37
19,0.4979,0.0368,1.4141,0.49,4.88,5.37
20,0.4968,0.0374,1.3816,0.49,4.88,5.37
21,0.5029,0.0380,1.3508,0.49,4.88,5.37
22,0.5142,0.0384,1.3264,0.49,4.88,5.37
23,0.5207,0.0391,1.2970,0.49,4.88,5.37
24,0.5251,0.0395,1.2688,0.49,4.88,5.37
25,0.5138,0.0397,1.2731,0.49,4.88,5.37
26,0.5202,0.0403,1.2486,0.49,4.88,5.37
27,0.5200,0.0407,1.2383,0.49,4.88,5.37
28,0.5200,0.0411,1.2295,0.49,4.88,5.37
29,0.5261,0.0413,1.2054,0.49,4.88,5.37
30,0.5423,0.0422,1.1500,0.49,4.88,5.37
31,0.5460,0.0426,1.1242,0.49,4.88,5.37
32,0.5451,0.0428,1.1225,0.49,4.88,5.37
33,0.5535,0.0432,1.1044,0.49,4.88,5.37
34,0.5448,0.0432,1.0970,0.49,4.88,5.37
35,0.5508,0.0436,1.0905,0.49,4.88,5.37
36,0.5392,0.0436,1.1214,0.49,4.88,5.37
37,0.5690,0.0445,1.0161,0.49,4.88,5.37
38,0.5608,0.0446,1.0160,0.49,4.88,5.37
39,0.5505,0.0444,1.0746,0.49,4.88,5.37
40,0.5230,0.0437,1.2706,0.49,4.88,5.37
41,0.5626,0.0458,0.9706,0.49,4.88,5.37
42,0.5707,0.0457,0.9431,0.49,4.88,5.37
43,0.5583,0.0457,0.9538,0.49,4.88,5.37
44,0.5583,0.0454,0.9692,0.49,4.88,5.37
45,0.5718,0.0464,0.8995,0.49,4.88,5.37
46,0.5786,0.0470,0.8974,0.49,4.88,5.37
47,0.5441,0.0458,1.0455,0.49,4.88,5.37
48,0.5677,0.0469,0.8749,0.49,4.88,5.37
49,0.5531,0.0461,0.9710,0.49,4.88,5.37
50,0.5848,0.0475,0.8474,0.49,4.88,5.37
51,0.5700,0.0469,0.8821,0.49,4.88,5.37
52,0.5840,0.0478,0.8331,0.49,4.88,5.37
53,0.5706,0.0473,0.8635,0.49,4.88,5.37
54,0.5908,0.0485,0.7414,0.49,4.88,5.37
55,0.5926,0.0488,0.7515,0.49,4.88,5.37
56,0.5752,0.0480,0.7881,0.49,4.88,5.37
57,0.5779,0.0479,0.7892,0.49,4.88,5.37
58,0.5838,0.0486,0.7535,0.49,4.88,5.37
59,0.5632,0.0479,0.8567,0.49,4.88,5.37
60,0.6001,0.0492,0.6458,0.49,4.88,5.37
61,0.5820,0.0486,0.7343,0.49,4.88,5.37
62,0.5751,0.0486,0.8257,0.49,4.88,5.37
63,0.6064,0.0495,0.6214,0.49,4.88,5.37
64,0.6007,0.0491,0.6550,0.49,4.88,5.37
65,0.5757,0.0490,0.9184,0.49,4.88,5.37
66,0.5878,0.0483,0.7372,0.49,4.88,5.37
67,0.5970,0.0495,0.6579,0.49,4.88,5.37
68,0.5916,0.0499,0.6545,0.49,4.88,5.37
69,0.6103,0.0502,0.5581,0.49,4.88,5.37
70,0.6155,0.0507,0.5715,0.49,4.88,5.37
71,0.6121,0.0504,0.5398,0.49,4.88,5.37
72,0.6045,0.0508,0.5388,0.49,4.88,5.37
73,0.6193,0.0515,0.4894,0.49,4.88,5.37
74,0.5929,0.0500,0.6195,0.49,4.88,5.37
75,0.6138,0.0507,0.5285,0.49,4.88,5.37
76,0.6188,0.0511,0.4864,0.49,4.88,5.37
77,0.5934,0.0503,0.5910,0.49,4.88,5.37
78,0.6191,0.0519,0.4704,0.49,4.88,5.37
79,0.6179,0.0509,0.4789,0.49,4.88,5.37
80,0.6122,0.0509,0.5013,0.49,4.88,5.37
81,0.6027,0.0518,0.5001,0.49,4.88,5.37
