round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0089,0.0089,4.6058,0.00,201.00,201.00
2,0.0098,0.0091,4.6068,201.00,201.00,401.99
3,0.0164,0.0164,4.6025,201.00,201.00,401.99
4,0.0217,0.0216,4.5907,201.00,201.00,401.99
5,0.0229,0.0229,4.5789,201.00,201.00,401.99
6,0.0255,0.0252,4.5685,201.00,201.00,401.99
7,0.0272,0.0272,4.5588,201.00,201.00,401.99
8,0.0286,0.0289,4.5494,201.00,201.00,401.99
9,0.0294,0.0301,4.5408,201.00,201.00,401.99
10,0.0320,0.0319,4.5324,201.00,201.00,401.99
11,0.0328,0.0335,4.5241,201.00,201.00,401.99
12,0.0348,0.0352,4.5158,201.00,201.00,401.99
13,0.0362,0.0364,4.5075,201.00,201.00,401.99
14,0.0379,0.0375,4.4990,201.00,201.00,401.99
15,0.0388,0.0387,4.4906,201.00,201.00,401.99
16,0.0409,0.0407,4.4826,201.00,201.00,401.99
17,0.0433,0.0426,4.4740,201.00,201.00,401.99
18,0.0443,0.0442,4.4654,201.00,201.00,401.99
19,0.0458,0.0456,4.4571,201.00,201.00,401.99
20,0.0471,0.0469,4.4489,201.00,201.00,401.99
21,0.0488,0.0484,4.4399,201.00,201.00,401.99
22,0.0496,0.0496,4.4307,201.00,201.00,401.99
23,0.0509,0.0511,4.4222,201.00,201.00,401.99
24,0.0521,0.0526,4.4136,201.00,201.00,401.99
25,0.0539,0.0537,4.4050,201.00,201.00,401.99
26,0.0545,0.0557,4.3961,201.00,201.00,401.99
27,0.0559,0.0571,4.3880,201.00,201.00,401.99
28,0.0575,0.0589,4.3802,201.00,201.00,401.99
29,0.0599,0.0601,4.3716,201.00,201.00,401.99
30,0.0610,0.0613,4.3625,201.00,201.00,401.99
31,0.0619,0.0617,4.3549,201.00,201.00,401.99
32,0.0623,0.0626,4.3472,201.00,201.00,401.99
33,0.0639,0.0637,4.3398,201.00,201.00,401.99
34,0.0646,0.0647,4.3313,201.00,201.00,401.99
35,0.0656,0.0653,4.3231,201.00,201.00,401.99
36,0.0660,0.0660,4.3156,201.00,201.00,401.99
37,0.0666,0.0673,4.3071,201.00,201.00,401.99
38,0.0681,0.0684,4.3006,201.00,201.00,401.99
39,0.0691,0.0696,4.2933,201.00,201.00,401.99
40,0.0693,0.0708,4.2849,201.00,201.00,401.99
41,0.0704,0.0715,4.2769,201.00,201.00,401.99
42,0.0716,0.0723,4.2709,201.00,201.00,401.99
43,0.0730,0.0732,4.2634,201.00,201.00,401.99
44,0.0728,0.0740,4.2550,201.00,201.00,401.99
45,0.0736,0.0748,4.2486,201.00,201.00,401.99
46,0.0746,0.0759,4.2410,201.00,201.00,401.99
47,0.0762,0.0769,4.2326,201.00,201.00,401.99
48,0.0769,0.0776,4.2254,201.00,201.00,401.99
49,0.0776,0.0789,4.2183,201.00,201.00,401.99
50,0.0781,0.0801,4.2103,201.00,201.00,401.99
51,0.0794,0.0807,4.2031,201.00,201.00,401.99
52,0.0804,0.0814,4.1970,201.00,201.00,401.99
53,0.0815,0.0826,4.1905,201.00,201.00,401.99
54,0.0820,0.0836,4.1827,201.00,201.00,401.99
