round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0097,0.0097,4.6059,0.00,80.40,80.40
2,0.0416,0.0108,4.6016,80.40,80.40,160.80
3,0.0526,0.0152,4.5852,80.40,80.40,160.80
4,0.0617,0.0190,4.5655,80.40,80.40,160.80
5,0.0676,0.0238,4.5473,80.40,80.40,160.80
6,0.0774,0.0306,4.5272,80.40,80.40,160.80
7,0.0904,0.0375,4.5073,80.40,80.40,160.80
8,0.0977,0.0435,4.4884,80.40,80.40,160.80
9,0.1013,0.0481,4.4701,80.40,80.40,160.80
10,0.1115,0.0536,4.4517,80.40,80.40,160.80
11,0.1128,0.0578,4.4355,80.40,80.40,160.80
12,0.1117,0.0622,4.4200,80.40,80.40,160.80
13,0.1172,0.0658,4.4031,80.40,80.40,160.80
14,0.1164,0.0694,4.3879,80.40,80.40,160.80
15,0.1146,0.0716,4.3726,80.40,80.40,160.80
16,0.1132,0.0735,4.3588,80.40,80.40,160.80
17,0.1157,0.0756,4.3435,80.40,80.40,160.80
18,0.1144,0.0770,4.3285,80.40,80.40,160.80
19,0.1139,0.0781,4.3151,80.40,80.40,160.80
20,0.1173,0.0798,4.2988,80.40,80.40,160.80
21,0.1170,0.0815,4.2841,80.40,80.40,160.80
22,0.1192,0.0837,4.2703,80.40,80.40,160.80
23,0.1172,0.0852,4.2548,80.40,80.40,160.80
24,0.1165,0.0859,4.2427,80.40,80.40,160.80
25,0.1182,0.0893,4.2277,80.40,80.40,160.80
26,0.1206,0.0889,4.2114,80.40,80.40,160.80
27,0.1200,0.0907,4.1975,80.40,80.40,160.80
28,0.1214,0.0914,4.1864,80.40,80.40,160.80
29,0.1204,0.0917,4.1683,80.40,80.40,160.80
30,0.1233,0.0942,4.1539,80.40,80.40,160.80
31,0.1202,0.0954,4.1405,80.40,80.40,160.80
32,0.1228,0.0969,4.1289,80.40,80.40,160.80
33,0.1232,0.0978,4.1141,80.40,80.40,160.80
34,0.1270,0.1007,4.0992,80.40,80.40,160.80
35,0.1332,0.1035,4.0842,80.40,80.40,160.80
36,0.1278,0.1038,4.0688,80.40,80.40,160.80
37,0.1308,0.1051,4.0612,80.40,80.40,160.80
38,0.1302,0.1061,4.0443,80.40,80.40,160.80
39,0.1318,0.1091,4.0296,80.40,80.40,160.80
40,0.1298,0.1084,4.0178,80.40,80.40,160.80
41,0.1308,0.1081,4.0087,80.40,80.40,160.80
42,0.1329,0.1112,3.9919,80.40,80.40,160.80
43,0.1308,0.1121,3.9841,80.40,80.40,160.80
44,0.1356,0.1142,3.9700,80.40,80.40,160.80
45,0.1326,0.1139,3.9554,80.40,80.40,160.80
46,0.1379,0.1164,3.9504,80.40,80.40,160.80
47,0.1387,0.1186,3.9332,80.40,80.40,160.80
48,0.1373,0.1179,3.9254,80.40,80.40,160.80
49,0.1427,0.1199,3.9085,80.40,80.40,160.80
50,0.1404,0.1193,3.9048,80.40,80.40,160.80
51,0.1408,0.1229,3.8869,80.40,80.40,160.80
52,0.1416,0.1217,3.8761,80.40,80.40,160.80
53,0.1446,0.1217,3.8728,80.40,80.40,160.80
54,0.1428,0.1229,3.8585,80.40,80.40,160.80
55,0.1445,0.1265,3.8473,80.40,80.40,160.80
56,0.1487,0.1260,3.8372,80.40,80.40,160.80
57,0.1510,0.1277,3.8209,80.40,80.40,160.80
58,0.1478,0.1285,3.8152,80.40,80.40,160.80
59,0.1498,0.1283,3.8067,80.40,80.40,160.80
60,0.1510,0.1278,3.7962,80.40,80.40,160.80
