round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0093,0.0093,4.6060,0.00,201.00,201.00
2,0.0236,0.0107,4.6085,201.00,201.00,401.99
3,0.0214,0.0129,4.6008,201.00,201.00,401.99
4,0.0270,0.0141,4.5900,201.00,201.00,401.99
5,0.0317,0.0182,4.5750,201.00,201.00,401.99
6,0.0362,0.0244,4.5586,201.00,201.00,401.99
7,0.0429,0.0298,4.5421,201.00,201.00,401.99
8,0.0495,0.0351,4.5261,201.00,201.00,401.99
9,0.0561,0.0405,4.5106,201.00,201.00,401.99
10,0.0641,0.0466,4.4948,201.00,201.00,401.99
11,0.0678,0.0517,4.4803,201.00,201.00,401.99
12,0.0722,0.0555,4.4661,201.00,201.00,401.99
13,0.0758,0.0578,4.4520,201.00,201.00,401.99
14,0.0760,0.0600,4.4398,201.00,201.00,401.99
15,0.0788,0.0617,4.4269,201.00,201.00,401.99
16,0.0798,0.0629,4.4144,201.00,201.00,401.99
17,0.0804,0.0651,4.4020,201.00,201.00,401.99
18,0.0822,0.0670,4.3900,201.00,201.00,401.99
19,0.0831,0.0687,4.3791,201.00,201.00,401.99
20,0.0833,0.0700,4.3677,201.00,201.00,401.99
21,0.0842,0.0724,4.3572,201.00,201.00,401.99
22,0.0872,0.0740,4.3470,201.00,201.00,401.99
23,0.0885,0.0753,4.3353,201.00,201.00,401.99
24,0.0896,0.0770,4.3242,201.00,201.00,401.99
25,0.0905,0.0785,4.3119,201.00,201.00,401.99
26,0.0890,0.0798,4.3008,201.00,201.00,401.99
27,0.0897,0.0803,4.2908,201.00,201.00,401.99
28,0.0924,0.0811,4.2790,201.00,201.00,401.99
29,0.0914,0.0822,4.2675,201.00,201.00,401.99
30,0.0924,0.0842,4.2568,201.00,201.00,401.99
31,0.0931,0.0851,4.2459,201.00,201.00,401.99
32,0.0915,0.0861,4.2353,201.00,201.00,401.99
33,0.0921,0.0870,4.2233,201.00,201.00,401.99
34,0.0946,0.0887,4.2133,201.00,201.00,401.99
35,0.0974,0.0900,4.2024,201.00,201.00,401.99
36,0.0991,0.0903,4.1919,201.00,201.00,401.99
37,0.0983,0.0915,4.1802,201.00,201.00,401.99
38,0.1001,0.0929,4.1704,201.00,201.00,401.99
39,0.1021,0.0947,4.1592,201.00,201.00,401.99
40,0.1051,0.0960,4.1489,201.00,201.00,401.99
41,0.1050,0.0971,4.1394,201.00,201.00,401.99
42,0.1071,0.0980,4.1276,201.00,201.00,401.99
43,0.1076,0.0988,4.1181,201.00,201.00,401.99
44,0.1085,0.0998,4.1075,201.00,201.00,401.99
45,0.1088,0.1010,4.0987,201.00,201.00,401.99
46,0.1115,0.1023,4.0872,201.00,201.00,401.99
47,0.1097,0.1021,4.0790,201.00,201.00,401.99
48,0.1117,0.1038,4.0674,201.00,201.00,401.99
49,0.1126,0.1051,4.0580,201.00,201.00,401.99
50,0.1137,0.1072,4.0498,201.00,201.00,401.99
51,0.1144,0.1077,4.0372,201.00,201.00,401.99
52,0.1184,0.1095,4.0272,201.00,201.00,401.99
53,0.1202,0.1115,4.0202,201.00,201.00,401.99
54,0.1203,0.1117,4.0108,201.00,201.00,401.99
55,0.1204,0.1114,3.9998,201.00,201.00,401.99
56,0.1237,0.1126,3.9901,201.00,201.00,401.99
57,0.1259,0.1149,3.9822,201.00,201.00,401.99
58,0.1262,0.1149,3.9721,201.00,201.00,401.99
59,0.1271,0.1159,3.9615,201.00,201.00,401.99
60,0.1278,0.1164,3.9540,201.00,201.00,401.99
61,0.1292,0.1175,3.9432,201.00,201.00,401.99
62,0.1283,0.1185,3.9328,201.00,201.00,401.99
63,0.1318,0.1203,3.9252,201.00,201.00,401.99
64,0.1312,0.1208,3.9169,201.00,201.00,401.99
65,0.1367,0.1233,3.9115,201.00,201.00,401.99
66,0.1351,0.1219,3.9024,201.00,201.00,401.99
67,0.1378,0.1240,3.8909,201.00,201.00,401.99
68,0.1374,0.1256,3.8879,201.00,201.00,401.99
69,0.1362,0.1249,3.8769,201.00,201.00,401.99
70,0.1378,0.1248,3.8655,201.00,201.00,401.99
71,0.1408,0.1274,3.8622,201.00,201.00,401.99
72,0.1406,0.1280,3.8537,201.00,201.00,401.99
73,0.1418,0.1290,3.8452,201.00,201.00,401.99
74,0.1377,0.1289,3.8363,201.00,201.00,401.99
75,0.1429,0.1310,3.8277,201.00,201.00,401.99
76,0.1430,0.1311,3.8214,201.00,201.00,401.99
77,0.1445,0.1313,3.8104,201.00,201.00,401.99
78,0.1444,0.1318,3.8037,201.00,201.00,401.99
79,0.1451,0.1329,3.7974,201.00,201.00,401.99
80,0.1481,0.1343,3.7908,201.00,201.00,401.99
81,0.1478,0.1349,3.7844,201.00,201.00,401.99
82,0.1490,0.1342,3.7768,201.00,201.00,401.99
83,0.1521,0.1358,3.7665,201.00,201.00,401.99
84,0.1495,0.1355,3.7606,201.00,201.00,401.99
85,0.1518,0.1373,3.7543,201.00,201.00,401.99
86,0.1528,0.1374,3.7498,201.00,201.00,401.99
87,0.1484,0.1366,3.7404,201.00,201.00,401.99
88,0.1539,0.1391,3.7373,201.00,201.00,401.99
89,0.1557,0.1399,3.7285,201.00,201.00,401.99
90,0.1555,0.1402,3.7260,201.00,201.00,401.99
91,0.1552,0.1403,3.7147,201.00,201.00,401.99
92,0.1555,0.1399,3.7043,201.00,201.00,401.99
93,0.1550,0.1413,3.7004,201.00,201.00,401.99
94,0.1545,0.1409,3.6950,201.00,201.00,401.99
95,0.1596,0.1424,3.6824,201.00,201.00,401.99
96,0.1589,0.1447,3.6821,201.00,201.00,401.99
97,0.1622,0.1457,3.6734,201.00,201.00,401.99
98,0.1621,0.1450,3.6654,201.00,201.00,401.99
99,0.1613,0.1467,3.6633,201.00,201.00,401.99
100,0.1622,0.1468,3.6565,201.00,201.00,401.99
101,0.1609,0.1464,3.6522,201.00,201.00,401.99
