round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0117,0.0117,4.6061,0.00,4.90,4.90
2,0.0129,0.0116,4.5966,4.90,4.90,9.80
3,0.0623,0.0154,4.5323,4.90,4.90,9.80
4,0.0991,0.0201,4.4246,4.90,4.90,9.80
5,0.1141,0.0221,4.3429,4.90,4.90,9.80
6,0.1221,0.0235,4.2844,4.90,4.90,9.80
7,0.1286,0.0245,4.2350,4.90,4.90,9.80
8,0.1331,0.0253,4.1904,4.90,4.90,9.80
9,0.1371,0.0258,4.1493,4.90,4.90,9.80
10,0.1412,0.0264,4.1110,4.90,4.90,9.80
11,0.1438,0.0269,4.0730,4.90,4.90,9.80
12,0.1465,0.0274,4.0383,4.90,4.90,9.80
13,0.1485,0.0278,4.0028,4.90,4.90,9.80
14,0.1512,0.0284,3.9700,4.90,4.90,9.80
15,0.1538,0.0288,3.9375,4.90,4.90,9.80
16,0.1555,0.0292,3.9061,4.90,4.90,9.80
17,0.1587,0.0296,3.8766,4.90,4.90,9.80
18,0.1603,0.0301,3.8477,4.90,4.90,9.80
19,0.1625,0.0305,3.8179,4.90,4.90,9.80
20,0.1652,0.0310,3.7905,4.90,4.90,9.80
21,0.1653,0.0315,3.7638,4.90,4.90,9.80
22,0.1676,0.0319,3.7372,4.90,4.90,9.80
23,0.1688,0.0323,3.7135,4.90,4.90,9.80
24,0.1709,0.0328,3.6863,4.90,4.90,9.80
25,0.1737,0.0333,3.6619,4.90,4.90,9.80
26,0.1755,0.0339,3.6384,4.90,4.90,9.80
27,0.1765,0.0341,3.6137,4.90,4.90,9.80
28,0.1788,0.0348,3.5928,4.90,4.90,9.80
29,0.1818,0.0353,3.5702,4.90,4.90,9.80
30,0.1828,0.0358,3.5475,4.90,4.90,9.80
31,0.1848,0.0365,3.5265,4.90,4.90,9.80
32,0.1861,0.0368,3.5051,4.90,4.90,9.80
33,0.1880,0.0374,3.4834,4.90,4.90,9.80
34,0.1900,0.0381,3.4639,4.90,4.90,9.80
35,0.1916,0.0385,3.4433,4.90,4.90,9.80
36,0.1948,0.0393,3.4240,4.90,4.90,9.80
37,0.1957,0.0398,3.4064,4.90,4.90,9.80
38,0.1987,0.0402,3.3830,4.90,4.90,9.80
39,0.1998,0.0408,3.3658,4.90,4.90,9.80
40,0.2012,0.0413,3.3469,4.90,4.90,9.80
41,0.2022,0.0419,3.3274,4.90,4.90,9.80
42,0.2049,0.0426,3.3107,4.90,4.90,9.80
43,0.2056,0.0430,3.2914,4.90,4.90,9.80
44,0.2075,0.0437,3.2756,4.90,4.90,9.80
45,0.2090,0.0442,3.2574,4.90,4.90,9.80
46,0.2109,0.0446,3.2405,4.90,4.90,9.80
47,0.2113,0.0450,3.2204,4.90,4.90,9.80
48,0.2144,0.0459,3.2067,4.90,4.90,9.80
49,0.2143,0.0464,3.1904,4.90,4.90,9.80
50,0.2184,0.0469,3.1689,4.90,4.90,9.80
51,0.2179,0.0471,3.1550,4.90,4.90,9.80
52,0.2208,0.0480,3.1375,4.90,4.90,9.80
53,0.2205,0.0482,3.1205,4.90,4.90,9.80
54,0.2225,0.0490,3.1046,4.90,4.90,9.80
55,0.2225,0.0491,3.0931,4.90,4.90,9.80
56,0.2249,0.0491,3.0711,4.90,4.90,9.80
57,0.2247,0.0497,3.0564,4.90,4.90,9.80
58,0.2264,0.0507,3.0428,4.90,4.90,9.80
59,0.2266,0.0510,3.0297,4.90,4.90,9.80
60,0.2280,0.0510,3.0096,4.90,4.90,9.80
61,0.2303,0.0522,2.9975,4.90,4.90,9.80
62,0.2325,0.0526,2.9820,4.90,4.90,9.80
63,0.2347,0.0537,2.9626,4.90,4.90,9.80
64,0.2358,0.0536,2.9448,4.90,4.90,9.80
65,0.2375,0.0543,2.9343,4.90,4.90,9.80
66,0.2384,0.0547,2.9159,4.90,4.90,9.80
67,0.2384,0.0553,2.9054,4.90,4.90,9.80
68,0.2384,0.0550,2.8882,4.90,4.90,9.80
69,0.2390,0.0558,2.8793,4.90,4.90,9.80
70,0.2410,0.0562,2.8650,4.90,4.90,9.80
71,0.2416,0.0560,2.8550,4.90,4.90,9.80
72,0.2414,0.0566,2.8425,4.90,4.90,9.80
73,0.2452,0.0575,2.8133,4.90,4.90,9.80
74,0.2458,0.0576,2.8020,4.90,4.90,9.80
75,0.2421,0.0569,2.8130,4.90,4.90,9.80
76,0.2462,0.0587,2.7820,4.90,4.90,9.80
77,0.2524,0.0599,2.7512,4.90,4.90,9.80
78,0.2509,0.0600,2.7393,4.90,4.90,9.80
79,0.2466,0.0598,2.7374,4.90,4.90,9.80
80,0.2536,0.0610,2.7083,4.90,4.90,9.80
81,0.2500,0.0608,2.7135,4.90,4.90,9.80
82,0.2485,0.0604,2.7030,4.90,4.90,9.80
83,0.2540,0.0618,2.6814,4.90,4.90,9.80
84,0.2532,0.0609,2.6672,4.90,4.90,9.80
85,0.2515,0.0615,2.6645,4.90,4.90,9.80
86,0.2566,0.0624,2.6434,4.90,4.90,9.80
87,0.2558,0.0624,2.6339,4.90,4.90,9.80
88,0.2564,0.0626,2.6125,4.90,4.90,9.80
89,0.2558,0.0632,2.6055,4.90,4.90,9.80
90,0.2572,0.0636,2.6020,4.90,4.90,9.80
91,0.2574,0.0636,2.5969,4.90,4.90,9.80
92,0.2560,0.0647,2.5707,4.90,4.90,9.80
93,0.2528,0.0634,2.5607,4.90,4.90,9.80
