round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0113,0.0113,4.6060,0.00,4.90,4.90
2,0.1274,0.0131,4.3377,4.90,4.90,9.80
3,0.1905,0.0152,3.9687,4.90,4.90,9.80
4,0.2673,0.0194,3.6738,4.90,4.90,9.80
5,0.3097,0.0227,3.3849,4.90,4.90,9.80
6,0.3346,0.0248,3.1298,4.90,4.90,9.80
7,0.3546,0.0261,2.9172,4.90,4.90,9.80
8,0.3692,0.0268,2.7396,4.90,4.90,9.80
9,0.3849,0.0276,2.5916,4.90,4.90,9.80
10,0.4015,0.0285,2.4584,4.90,4.90,9.80
11,0.4112,0.0290,2.3441,4.90,4.90,9.80
12,0.4234,0.0297,2.2371,4.90,4.90,9.80
13,0.4351,0.0303,2.1427,4.90,4.90,9.80
14,0.4469,0.0310,2.0503,4.90,4.90,9.80
15,0.4565,0.0316,1.9711,4.90,4.90,9.80
16,0.4662,0.0322,1.8989,4.90,4.90,9.80
17,0.4723,0.0328,1.8367,4.90,4.90,9.80
18,0.4827,0.0333,1.7715,4.90,4.90,9.80
19,0.4873,0.0339,1.7234,4.90,4.90,9.80
20,0.4989,0.0345,1.6635,4.90,4.90,9.80
21,0.5037,0.0351,1.6269,4.90,4.90,9.80
22,0.5101,0.0355,1.5768,4.90,4.90,9.80
23,0.5173,0.0360,1.5318,4.90,4.90,9.80
24,0.5139,0.0362,1.5125,4.90,4.90,9.80
25,0.5209,0.0368,1.4827,4.90,4.90,9.80
26,0.5274,0.0373,1.4427,4.90,4.90,9.80
27,0.5347,0.0376,1.4062,4.90,4.90,9.80
28,0.5427,0.0382,1.3845,4.90,4.90,9.80
29,0.5372,0.0383,1.3621,4.90,4.90,9.80
30,0.5364,0.0386,1.3401,4.90,4.90,9.80
31,0.5430,0.0391,1.3081,4.90,4.90,9.80
32,0.5485,0.0396,1.2886,4.90,4.90,9.80
33,0.5527,0.0400,1.2735,4.90,4.90,9.80
34,0.5553,0.0405,1.2323,4.90,4.90,9.80
35,0.5429,0.0403,1.2615,4.90,4.90,9.80
36,0.5451,0.0408,1.2507,4.90,4.90,9.80
37,0.5696,0.0418,1.1752,4.90,4.90,9.80
38,0.5644,0.0419,1.1662,4.90,4.90,9.80
39,0.5708,0.0424,1.1487,4.90,4.90,9.80
40,0.5676,0.0425,1.1458,4.90,4.90,9.80
41,0.5764,0.0431,1.1129,4.90,4.90,9.80
42,0.5707,0.0430,1.1215,4.90,4.90,9.80
43,0.5727,0.0433,1.0939,4.90,4.90,9.80
44,0.5748,0.0437,1.0944,4.90,4.90,9.80
45,0.5772,0.0441,1.0798,4.90,4.90,9.80
46,0.5850,0.0442,1.0469,4.90,4.90,9.80
47,0.5786,0.0443,1.0495,4.90,4.90,9.80
48,0.5783,0.0446,1.0472,4.90,4.90,9.80
49,0.5966,0.0453,0.9778,4.90,4.90,9.80
50,0.5874,0.0454,0.9885,4.90,4.90,9.80
51,0.5930,0.0458,0.9629,4.90,4.90,9.80
52,0.5956,0.0458,0.9407,4.90,4.90,9.80
53,0.5820,0.0457,0.9907,4.90,4.90,9.80
54,0.5944,0.0462,0.9308,4.90,4.90,9.80
55,0.5962,0.0467,0.9255,4.90,4.90,9.80
56,0.5874,0.0462,0.9547,4.90,4.90,9.80
57,0.5818,0.0460,0.9589,4.90,4.90,9.80
58,0.5925,0.0467,0.8960,4.90,4.90,9.80
59,0.5942,0.0471,0.8850,4.90,4.90,9.80
60,0.6063,0.0475,0.8395,4.90,4.90,9.80
61,0.5853,0.0470,0.9604,4.90,4.90,9.80
62,0.5908,0.0470,0.8761,4.90,4.90,9.80
63,0.5742,0.0468,0.9276,4.90,4.90,9.80
64,0.5904,0.0474,0.8687,4.90,4.90,9.80
65,0.6093,0.0483,0.8055,4.90,4.90,9.80
66,0.6065,0.0482,0.8195,4.90,4.90,9.80
67,0.5957,0.0483,0.8258,4.90,4.90,9.80
68,0.6038,0.0485,0.7947,4.90,4.90,9.80
69,0.5995,0.0484,0.7949,4.90,4.90,9.80
70,0.5958,0.0483,0.7983,4.90,4.90,9.80
71,0.5966,0.0484,0.7901,4.90,4.90,9.80
72,0.5960,0.0479,0.7749,4.90,4.90,9.80
73,0.6147,0.0491,0.7065,4.90,4.90,9.80
74,0.5868,0.0486,0.7987,4.90,4.90,9.80
