round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0117,0.0117,4.6061,0.00,0.00,0.00
2,0.0254,0.0116,4.5815,0.00,0.00,0.00
3,0.0914,0.0146,4.4661,0.00,0.00,0.00
4,0.1082,0.0174,4.2836,0.00,0.00,0.00
5,0.1169,0.0186,4.1416,0.00,0.00,0.00
6,0.1233,0.0194,4.0357,0.00,0.00,0.00
7,0.1286,0.0203,3.9490,0.00,0.00,0.00
8,0.1338,0.0212,3.8745,0.00,0.00,0.00
9,0.1374,0.0220,3.8092,0.00,0.00,0.00
10,0.1424,0.0229,3.7517,0.00,0.00,0.00
11,0.1471,0.0239,3.7018,0.00,0.00,0.00
12,0.1516,0.0251,3.6570,0.00,0.00,0.00
13,0.1538,0.0260,3.6161,0.00,0.00,0.00
14,0.1582,0.0272,3.5785,0.00,0.00,0.00
15,0.1612,0.0282,3.5445,0.00,0.00,0.00
16,0.1638,0.0291,3.5118,0.00,0.00,0.00
17,0.1665,0.0300,3.4828,0.00,0.00,0.00
18,0.1711,0.0313,3.4545,0.00,0.00,0.00
19,0.1747,0.0322,3.4275,0.00,0.00,0.00
20,0.1774,0.0333,3.4020,0.00,0.00,0.00
21,0.1795,0.0341,3.3768,0.00,0.00,0.00
22,0.1826,0.0349,3.3530,0.00,0.00,0.00
23,0.1872,0.0360,3.3300,0.00,0.00,0.00
24,0.1879,0.0365,3.3071,0.00,0.00,0.00
25,0.1896,0.0372,3.2864,0.00,0.00,0.00
26,0.1915,0.0380,3.2648,0.00,0.00,0.00
27,0.1938,0.0388,3.2445,0.00,0.00,0.00
28,0.1992,0.0398,3.2243,0.00,0.00,0.00
29,0.1994,0.0405,3.2030,0.00,0.00,0.00
30,0.2023,0.0412,3.1831,0.00,0.00,0.00
31,0.2050,0.0423,3.1633,0.00,0.00,0.00
32,0.2076,0.0427,3.1452,0.00,0.00,0.00
33,0.2077,0.0437,3.1268,0.00,0.00,0.00
34,0.2113,0.0445,3.1071,0.00,0.00,0.00
35,0.2112,0.0449,3.0879,0.00,0.00,0.00
36,0.2137,0.0461,3.0702,0.00,0.00,0.00
37,0.2167,0.0469,3.0538,0.00,0.00,0.00
38,0.2163,0.0471,3.0340,0.00,0.00,0.00
39,0.2158,0.0479,3.0169,0.00,0.00,0.00
40,0.2185,0.0483,3.0005,0.00,0.00,0.00
