round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0102,0.0102,4.6060,0.00,0.00,0.00
2,0.2432,0.0188,3.3688,0.00,0.00,0.00
3,0.3251,0.0258,2.3791,0.00,0.00,0.00
4,0.3771,0.0300,2.0076,0.00,0.00,0.00
5,0.3999,0.0321,1.8279,0.00,0.00,0.00
6,0.4311,0.0356,1.7115,0.00,0.00,0.00
7,0.4614,0.0384,1.6242,0.00,0.00,0.00
8,0.4799,0.0404,1.5444,0.00,0.00,0.00
9,0.5050,0.0430,1.4807,0.00,0.00,0.00
10,0.5175,0.0443,1.4191,0.00,0.00,0.00
11,0.5214,0.0452,1.3729,0.00,0.00,0.00
12,0.5382,0.0465,1.3243,0.00,0.00,0.00
13,0.5490,0.0474,1.2758,0.00,0.00,0.00
14,0.5611,0.0486,1.2290,0.00,0.00,0.00
15,0.5713,0.0498,1.1932,0.00,0.00,0.00
16,0.5699,0.0497,1.1765,0.00,0.00,0.00
17,0.5713,0.0501,1.1585,0.00,0.00,0.00
18,0.5781,0.0507,1.1361,0.00,0.00,0.00
19,0.5788,0.0511,1.1058,0.00,0.00,0.00
20,0.5981,0.0529,1.0570,0.00,0.00,0.00
21,0.6027,0.0532,1.0295,0.00,0.00,0.00
22,0.6034,0.0531,1.0109,0.00,0.00,0.00
23,0.6048,0.0534,0.9867,0.00,0.00,0.00
24,0.5976,0.0527,0.9891,0.00,0.00,0.00
25,0.6215,0.0548,0.9327,0.00,0.00,0.00
26,0.6193,0.0550,0.9185,0.00,0.00,0.00
27,0.6173,0.0548,0.9007,0.00,0.00,0.00
28,0.6046,0.0539,0.9461,0.00,0.00,0.00
29,0.6159,0.0554,0.8992,0.00,0.00,0.00
30,0.6165,0.0553,0.8791,0.00,0.00,0.00
31,0.6067,0.0542,0.9119,0.00,0.00,0.00
32,0.6300,0.0566,0.8089,0.00,0.00,0.00
33,0.6332,0.0562,0.7807,0.00,0.00,0.00
34,0.6335,0.0572,0.7875,0.00,0.00,0.00
35,0.6213,0.0563,0.8038,0.00,0.00,0.00
36,0.6075,0.0551,0.8719,0.00,0.00,0.00
37,0.6307,0.0570,0.7864,0.00,0.00,0.00
38,0.6242,0.0555,0.7635,0.00,0.00,0.00
39,0.6186,0.0564,0.7891,0.00,0.00,0.00
40,0.6402,0.0576,0.7026,0.00,0.00,0.00
41,0.6270,0.0575,0.7812,0.00,0.00,0.00
42,0.6357,0.0581,0.6754,0.00,0.00,0.00
43,0.6427,0.0580,0.6478,0.00,0.00,0.00
44,0.6215,0.0569,0.7485,0.00,0.00,0.00
45,0.6317,0.0568,0.6875,0.00,0.00,0.00
46,0.6490,0.0588,0.5844,0.00,0.00,0.00
47,0.6304,0.0577,0.6565,0.00,0.00,0.00
48,0.6489,0.0588,0.5725,0.00,0.00,0.00
49,0.6541,0.0601,0.5449,0.00,0.00,0.00
50,0.6289,0.0579,0.6300,0.00,0.00,0.00
51,0.6400,0.0589,0.5841,0.00,0.00,0.00
52,0.6345,0.0576,0.6197,0.00,0.00,0.00
53,0.6323,0.0583,0.6282,0.00,0.00,0.00
54,0.6453,0.0593,0.5480,0.00,0.00,0.00
55,0.6361,0.0587,0.5692,0.00,0.00,0.00
56,0.6299,0.0587,0.5933,0.00,0.00,0.00
57,0.6362,0.0589,0.5344,0.00,0.00,0.00
58,0.6467,0.0590,0.5038,0.00,0.00,0.00
59,0.6487,0.0600,0.5013,0.00,0.00,0.00
60,0.6556,0.0599,0.4489,0.00,0.00,0.00
61,0.6307,0.0585,0.6597,0.00,0.00,0.00
62,0.6393,0.0592,0.4902,0.00,0.00,0.00
63,0.6608,0.0614,0.4324,0.00,0.00,0.00
64,0.6635,0.0613,0.3891,0.00,0.00,0.00
65,0.6394,0.0590,0.4896,0.00,0.00,0.00
66,0.6441,0.0598,0.5017,0.00,0.00,0.00
67,0.6540,0.0598,0.4509,0.00,0.00,0.00
68,0.6437,0.0597,0.4728,0.00,0.00,0.00
69,0.6365,0.0589,0.5023,0.00,0.00,0.00
70,0.6533,0.0601,0.4465,0.00,0.00,0.00
71,0.6731,0.0621,0.3350,0.00,0.00,0.00
72,0.6597,0.0608,0.4280,0.00,0.00,0.00
73,0.6387,0.0596,0.4771,0.00,0.00,0.00
74,0.6495,0.0591,0.4535,0.00,0.00,0.00
75,0.6483,0.0591,0.4658,0.00,0.00,0.00
76,0.6806,0.0622,0.2827,0.00,0.00,0.00
77,0.6590,0.0607,0.4643,0.00,0.00,0.00
78,0.6603,0.0615,0.4355,0.00,0.00,0.00
79,0.6663,0.0617,0.3341,0.00,0.00,0.00
80,0.6590,0.0618,0.3610,0.00,0.00,0.00
81,0.6363,0.0598,0.4964,0.00,0.00,0.00
82,0.6440,0.0592,0.4960,0.00,0.00,0.00
83,0.6844,0.0635,0.3098,0.00,0.00,0.00
84,0.6607,0.0619,0.3700,0.00,0.00,0.00
85,0.6532,0.0608,0.4161,0.00,0.00,0.00
86,0.6689,0.0620,0.3781,0.00,0.00,0.00
87,0.6719,0.0623,0.3053,0.00,0.00,0.00
88,0.6660,0.0617,0.3830,0.00,0.00,0.00
89,0.6884,0.0635,0.2561,0.00,0.00,0.00
90,0.6818,0.0636,0.3342,0.00,0.00,0.00
91,0.6732,0.0623,0.3857,0.00,0.00,0.00
92,0.6503,0.0600,0.4948,0.00,0.00,0.00
93,0.6624,0.0613,0.3916,0.00,0.00,0.00
94,0.6655,0.0621,0.3564,0.00,0.00,0.00
95,0.6720,0.0627,0.3715,0.00,0.00,0.00
96,0.6848,0.0639,0.2361,0.00,0.00,0.00
97,0.6847,0.0636,0.2554,0.00,0.00,0.00
98,0.6858,0.0635,0.2850,0.00,0.00,0.00
99,0.6622,0.0616,0.3079,0.00,0.00,0.00
100,0.6870,0.0638,0.2808,0.00,0.00,0.00
101,0.6943,0.0648,0.2341,0.00,0.00,0.00
