round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0113,0.0113,4.6059,0.00,691.18,691.18
2,0.0113,0.0113,4.6069,201.00,691.18,892.18
3,0.0136,0.0131,4.6028,201.00,691.18,892.18
4,0.0183,0.0172,4.5902,201.00,691.18,892.18
5,0.0208,0.0192,4.5772,201.00,691.18,892.18
6,0.0227,0.0221,4.5650,201.00,691.18,892.18
7,0.0242,0.0243,4.5539,201.00,691.18,892.18
8,0.0280,0.0272,4.5428,201.00,691.18,892.18
9,0.0293,0.0293,4.5324,201.00,691.18,892.18
10,0.0309,0.0309,4.5221,201.00,691.18,892.18
11,0.0321,0.0327,4.5124,201.00,691.18,892.18
12,0.0330,0.0344,4.5028,201.00,691.18,892.18
13,0.0352,0.0367,4.4936,201.00,691.18,892.18
14,0.0374,0.0388,4.4850,201.00,691.18,892.18
15,0.0389,0.0410,4.4762,201.00,691.18,892.18
16,0.0411,0.0432,4.4674,201.00,691.18,892.18
17,0.0423,0.0453,4.4588,201.00,691.18,892.18
18,0.0445,0.0476,4.4508,201.00,691.18,892.18
19,0.0469,0.0497,4.4426,201.00,691.18,892.18
20,0.0478,0.0509,4.4346,201.00,691.18,892.18
21,0.0488,0.0525,4.4264,201.00,691.18,892.18
22,0.0511,0.0534,4.4178,201.00,691.18,892.18
23,0.0525,0.0548,4.4104,201.00,691.18,892.18
24,0.0539,0.0559,4.4024,201.00,691.18,892.18
25,0.0551,0.0575,4.3952,201.00,691.18,892.18
26,0.0564,0.0585,4.3879,201.00,691.18,892.18
27,0.0579,0.0596,4.3808,201.00,691.18,892.18
28,0.0589,0.0610,4.3733,201.00,691.18,892.18
29,0.0597,0.0621,4.3656,201.00,691.18,892.18
30,0.0611,0.0633,4.3575,201.00,691.18,892.18
31,0.0616,0.0644,4.3510,201.00,691.18,892.18
32,0.0636,0.0656,4.3446,201.00,691.18,892.18
33,0.0650,0.0668,4.3376,201.00,691.18,892.18
34,0.0655,0.0676,4.3294,201.00,691.18,892.18
35,0.0666,0.0685,4.3234,201.00,691.18,892.18
36,0.0673,0.0694,4.3166,201.00,691.18,892.18
37,0.0678,0.0700,4.3097,201.00,691.18,892.18
38,0.0684,0.0707,4.3033,201.00,691.18,892.18
39,0.0696,0.0716,4.2959,201.00,691.18,892.18
40,0.0702,0.0725,4.2894,201.00,691.18,892.18
41,0.0698,0.0732,4.2834,201.00,691.18,892.18
42,0.0719,0.0738,4.2759,201.00,691.18,892.18
43,0.0735,0.0750,4.2695,201.00,691.18,892.18
44,0.0742,0.0758,4.2625,201.00,691.18,892.18
45,0.0753,0.0767,4.2549,201.00,691.18,892.18
46,0.0756,0.0773,4.2484,201.00,691.18,892.18
47,0.0775,0.0779,4.2425,201.00,691.18,892.18
48,0.0778,0.0788,4.2355,201.00,691.18,892.18
49,0.0794,0.0800,4.2285,201.00,691.18,892.18
50,0.0796,0.0807,4.2221,201.00,691.18,892.18
51,0.0800,0.0817,4.2152,201.00,691.18,892.18
52,0.0820,0.0827,4.2077,201.00,691.18,892.18
53,0.0819,0.0836,4.2011,201.00,691.18,892.18
54,0.0826,0.0844,4.1931,201.00,691.18,892.18
55,0.0842,0.0855,4.1883,201.00,691.18,892.18
56,0.0848,0.0861,4.1823,201.00,691.18,892.18
57,0.0843,0.0870,4.1735,201.00,691.18,892.18
58,0.0872,0.0881,4.1676,201.00,691.18,892.18
59,0.0875,0.0887,4.1612,201.00,691.18,892.18
60,0.0869,0.0897,4.1544,201.00,691.18,892.18
61,0.0872,0.0902,4.1468,201.00,691.18,892.18
62,0.0879,0.0911,4.1408,201.00,691.18,892.18
63,0.0892,0.0921,4.1333,201.00,691.18,892.18
64,0.0904,0.0927,4.1271,201.00,691.18,892.18
65,0.0903,0.0936,4.1203,201.00,691.18,892.18
66,0.0903,0.0944,4.1138,201.00,691.18,892.18
67,0.0918,0.0957,4.1054,201.00,691.18,892.18
68,0.0918,0.0963,4.1002,201.00,691.18,892.18
69,0.0933,0.0975,4.0917,201.00,691.18,892.18
70,0.0935,0.0979,4.0857,201.00,691.18,892.18
71,0.0947,0.0986,4.0800,201.00,691.18,892.18
72,0.0953,0.0993,4.0727,201.00,691.18,892.18
73,0.0947,0.0999,4.0658,201.00,691.18,892.18
74,0.0971,0.1004,4.0595,201.00,691.18,892.18
75,0.0972,0.1011,4.0525,201.00,691.18,892.18
76,0.0985,0.1021,4.0437,201.00,691.18,892.18
77,0.0991,0.1023,4.0384,201.00,691.18,892.18
78,0.0993,0.1027,4.0333,201.00,691.18,892.18
79,0.1014,0.1040,4.0241,201.00,691.18,892.18
80,0.1012,0.1047,4.0178,201.00,691.18,892.18
81,0.1026,0.1053,4.0114,201.00,691.18,892.18
82,0.1023,0.1057,4.0050,201.00,691.18,892.18
83,0.1033,0.1066,3.9992,201.00,691.18,892.18
84,0.1047,0.1073,3.9923,201.00,691.18,892.18
85,0.1063,0.1089,3.9845,201.00,691.18,892.18
86,0.1048,0.1090,3.9779,201.00,691.18,892.18
87,0.1076,0.1098,3.9712,201.00,691.18,892.18
88,0.1067,0.1106,3.9655,201.00,691.18,892.18
89,0.1087,0.1113,3.9588,201.00,691.18,892.18
90,0.1091,0.1121,3.9520,201.00,691.18,892.18
91,0.1099,0.1122,3.9465,201.00,691.18,892.18
92,0.1107,0.1130,3.9391,201.00,691.18,892.18
93,0.1111,0.1139,3.9305,201.00,691.18,892.18
94,0.1111,0.1142,3.9251,201.00,691.18,892.18
95,0.1132,0.1154,3.9194,201.00,691.18,892.18
96,0.1142,0.1162,3.9120,201.00,691.18,892.18
97,0.1154,0.1168,3.9052,201.00,691.18,892.18
98,0.1148,0.1171,3.9001,201.00,691.18,892.18
99,0.1142,0.1183,3.8936,201.00,691.18,892.18
100,0.1165,0.1193,3.8875,201.00,691.18,892.18
101,0.1172,0.1201,3.8808,201.00,691.18,892.18
