round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0093,0.0093,4.6060,0.00,691.18,691.18
2,0.0246,0.0107,4.6078,201.00,691.18,892.18
3,0.0231,0.0130,4.5988,201.00,691.18,892.18
4,0.0282,0.0145,4.5871,201.00,691.18,892.18
5,0.0329,0.0191,4.5710,201.00,691.18,892.18
6,0.0390,0.0255,4.5537,201.00,691.18,892.18
7,0.0471,0.0316,4.5360,201.00,691.18,892.18
8,0.0536,0.0375,4.5191,201.00,691.18,892.18
9,0.0595,0.0435,4.5025,201.00,691.18,892.18
10,0.0669,0.0500,4.4856,201.00,691.18,892.18
11,0.0715,0.0548,4.4703,201.00,691.18,892.18
12,0.0748,0.0577,4.4552,201.00,691.18,892.18
13,0.0760,0.0597,4.4403,201.00,691.18,892.18
14,0.0784,0.0619,4.4274,201.00,691.18,892.18
15,0.0799,0.0637,4.4136,201.00,691.18,892.18
16,0.0819,0.0653,4.4006,201.00,691.18,892.18
17,0.0828,0.0676,4.3874,201.00,691.18,892.18
18,0.0827,0.0696,4.3745,201.00,691.18,892.18
19,0.0860,0.0714,4.3628,201.00,691.18,892.18
20,0.0858,0.0726,4.3506,201.00,691.18,892.18
21,0.0860,0.0751,4.3392,201.00,691.18,892.18
22,0.0891,0.0767,4.3282,201.00,691.18,892.18
23,0.0904,0.0781,4.3153,201.00,691.18,892.18
24,0.0907,0.0798,4.3034,201.00,691.18,892.18
25,0.0924,0.0813,4.2900,201.00,691.18,892.18
26,0.0900,0.0825,4.2781,201.00,691.18,892.18
27,0.0916,0.0829,4.2676,201.00,691.18,892.18
28,0.0944,0.0841,4.2547,201.00,691.18,892.18
29,0.0938,0.0852,4.2424,201.00,691.18,892.18
30,0.0946,0.0873,4.2310,201.00,691.18,892.18
31,0.0946,0.0885,4.2192,201.00,691.18,892.18
32,0.0938,0.0895,4.2079,201.00,691.18,892.18
33,0.0937,0.0905,4.1949,201.00,691.18,892.18
34,0.0971,0.0924,4.1846,201.00,691.18,892.18
35,0.1006,0.0936,4.1726,201.00,691.18,892.18
36,0.1017,0.0943,4.1615,201.00,691.18,892.18
37,0.1019,0.0954,4.1487,201.00,691.18,892.18
38,0.1021,0.0971,4.1380,201.00,691.18,892.18
39,0.1044,0.0986,4.1262,201.00,691.18,892.18
40,0.1091,0.1002,4.1150,201.00,691.18,892.18
41,0.1091,0.1017,4.1051,201.00,691.18,892.18
42,0.1097,0.1025,4.0923,201.00,691.18,892.18
43,0.1109,0.1033,4.0821,201.00,691.18,892.18
44,0.1134,0.1045,4.0705,201.00,691.18,892.18
45,0.1146,0.1062,4.0618,201.00,691.18,892.18
46,0.1165,0.1073,4.0494,201.00,691.18,892.18
47,0.1150,0.1071,4.0400,201.00,691.18,892.18
48,0.1168,0.1090,4.0274,201.00,691.18,892.18
49,0.1182,0.1106,4.0181,201.00,691.18,892.18
50,0.1196,0.1129,4.0101,201.00,691.18,892.18
51,0.1201,0.1131,3.9958,201.00,691.18,892.18
52,0.1244,0.1148,3.9851,201.00,691.18,892.18
53,0.1276,0.1172,3.9793,201.00,691.18,892.18
54,0.1249,0.1168,3.9685,201.00,691.18,892.18
55,0.1250,0.1166,3.9563,201.00,691.18,892.18
56,0.1299,0.1178,3.9470,201.00,691.18,892.18
57,0.1315,0.1199,3.9381,201.00,691.18,892.18
58,0.1314,0.1199,3.9281,201.00,691.18,892.18
59,0.1307,0.1207,3.9167,201.00,691.18,892.18
60,0.1340,0.1214,3.9085,201.00,691.18,892.18
61,0.1344,0.1224,3.8968,201.00,691.18,892.18
62,0.1341,0.1235,3.8866,201.00,691.18,892.18
63,0.1370,0.1251,3.8786,201.00,691.18,892.18
64,0.1348,0.1252,3.8710,201.00,691.18,892.18
65,0.1406,0.1285,3.8660,201.00,691.18,892.18
66,0.1392,0.1268,3.8569,201.00,691.18,892.18
67,0.1426,0.1286,3.8445,201.00,691.18,892.18
68,0.1428,0.1302,3.8423,201.00,691.18,892.18
69,0.1353,0.1290,3.8315,201.00,691.18,892.18
70,0.1422,0.1292,3.8176,201.00,691.18,892.18
71,0.1434,0.1318,3.8161,201.00,691.18,892.18
72,0.1435,0.1325,3.8079,201.00,691.18,892.18
73,0.1460,0.1333,3.7975,201.00,691.18,892.18
74,0.1426,0.1333,3.7884,201.00,691.18,892.18
75,0.1462,0.1356,3.7832,201.00,691.18,892.18
76,0.1474,0.1350,3.7717,201.00,691.18,892.18
77,0.1500,0.1357,3.7612,201.00,691.18,892.18
78,0.1491,0.1361,3.7548,201.00,691.18,892.18
79,0.1462,0.1369,3.7503,201.00,691.18,892.18
80,0.1525,0.1385,3.7421,201.00,691.18,892.18
81,0.1526,0.1392,3.7361,201.00,691.18,892.18
82,0.1540,0.1385,3.7271,201.00,691.18,892.18
83,0.1563,0.1404,3.7186,201.00,691.18,892.18
84,0.1515,0.1394,3.7108,201.00,691.18,892.18
85,0.1551,0.1408,3.7033,201.00,691.18,892.18
86,0.1567,0.1411,3.6999,201.00,691.18,892.18
87,0.1533,0.1406,3.6888,201.00,691.18,892.18
88,0.1582,0.1432,3.6853,201.00,691.18,892.18
89,0.1590,0.1440,3.6794,201.00,691.18,892.18
90,0.1562,0.1438,3.6794,201.00,691.18,892.18
91,0.1577,0.1443,3.6636,201.00,691.18,892.18
92,0.1581,0.1434,3.6544,201.00,691.18,892.18
93,0.1583,0.1450,3.6509,201.00,691.18,892.18
94,0.1550,0.1444,3.6452,201.00,691.18,892.18
95,0.1604,0.1447,3.6317,201.00,691.18,892.18
96,0.1633,0.1482,3.6297,201.00,691.18,892.18
97,0.1660,0.1493,3.6207,201.00,691.18,892.18
98,0.1642,0.1491,3.6132,201.00,691.18,892.18
99,0.1641,0.1499,3.6160,201.00,691.18,892.18
100,0.1656,0.1513,3.6054,201.00,691.18,892.18
101,0.1646,0.1496,3.6023,201.00,691.18,892.18
