round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.0110,0.0110,4.6059,0.0110,0.0110,4.6059,0.00,80.40,80.40
2,0.0364,0.0086,4.6112,0.0364,0.0086,4.6112,80.40,80.40,160.80
3,0.0361,0.0085,4.6094,0.0361,0.0085,4.6094,80.40,80.40,160.80
4,0.0348,0.0086,4.6094,0.0348,0.0086,4.6094,80.40,80.40,160.80
5,0.0350,0.0085,4.6106,0.0350,0.0085,4.6106,80.40,80.40,160.80
6,0.0335,0.0085,4.6104,0.0335,0.0085,4.6104,80.40,80.40,160.80
7,0.0372,0.0086,4.6090,0.0372,0.0086,4.6090,80.40,80.40,160.80
8,0.0334,0.0085,4.6091,0.0334,0.0085,4.6091,80.40,80.40,160.80
9,0.0348,0.0085,4.6095,0.0348,0.0085,4.6095,80.40,80.40,160.80
10,0.0353,0.0085,4.6111,0.0353,0.0085,4.6111,80.40,80.40,160.80
11,0.0348,0.0085,4.6118,0.0348,0.0085,4.6118,80.40,80.40,160.80
12,0.0328,0.0085,4.6101,0.0328,0.0085,4.6101,80.40,80.40,160.80
13,0.0364,0.0085,4.6119,0.0364,0.0085,4.6119,80.40,80.40,160.80
14,0.0339,0.0086,4.6089,0.0339,0.0086,4.6089,80.40,80.40,160.80
15,0.0364,0.0086,4.6099,0.0364,0.0086,4.6099,80.40,80.40,160.80
16,0.0350,0.0086,4.6077,0.0350,0.0086,4.6077,80.40,80.40,160.80
17,0.0357,0.0087,4.6097,0.0357,0.0087,4.6097,80.40,80.40,160.80
18,0.0371,0.0087,4.6112,0.0371,0.0087,4.6112,80.40,80.40,160.80
19,0.0362,0.0085,4.6093,0.0362,0.0085,4.6093,80.40,80.40,160.80
20,0.0343,0.0084,4.6112,0.0343,0.0084,4.6112,80.40,80.40,160.80
21,0.0365,0.0085,4.6141,0.0365,0.0085,4.6141,80.40,80.40,160.80
22,0.0328,0.0084,4.6102,0.0328,0.0084,4.6102,80.40,80.40,160.80
23,0.0365,0.0087,4.6095,0.0365,0.0087,4.6095,80.40,80.40,160.80
24,0.0352,0.0085,4.6085,0.0352,0.0085,4.6085,80.40,80.40,160.80
25,0.0362,0.0085,4.6088,0.0362,0.0085,4.6088,80.40,80.40,160.80
26,0.0346,0.0087,4.6089,0.0346,0.0087,4.6089,80.40,80.40,160.80
27,0.0336,0.0083,4.6117,0.0336,0.0083,4.6117,80.40,80.40,160.80
28,0.0350,0.0086,4.6096,0.0350,0.0086,4.6096,80.40,80.40,160.80
29,0.0370,0.0086,4.6098,0.0370,0.0086,4.6098,80.40,80.40,160.80
30,0.0332,0.0084,4.6113,0.0332,0.0084,4.6113,80.40,80.40,160.80
31,0.0374,0.0085,4.6088,0.0374,0.0085,4.6088,80.40,80.40,160.80
32,0.0360,0.0086,4.6097,0.0360,0.0086,4.6097,80.40,80.40,160.80
33,0.0344,0.0085,4.6106,0.0344,0.0085,4.6106,80.40,80.40,160.80
34,0.0361,0.0086,4.6100,0.0361,0.0086,4.6100,80.40,80.40,160.80
35,0.0342,0.0086,4.6093,0.0342,0.0086,4.6093,80.40,80.40,160.80
36,0.0339,0.0084,4.6086,0.0339,0.0084,4.6086,80.40,80.40,160.80
37,0.0364,0.0084,4.6086,0.0364,0.0084,4.6086,80.40,80.40,160.80
38,0.0360,0.0087,4.6108,0.0360,0.0087,4.6108,80.40,80.40,160.80
39,0.0340,0.0083,4.6086,0.0340,0.0083,4.6086,80.40,80.40,160.80
40,0.0362,0.0087,4.6085,0.0362,0.0087,4.6085,80.40,80.40,160.80
41,0.0371,0.0087,4.6080,0.0371,0.0087,4.6080,80.40,80.40,160.80
42,0.0349,0.0085,4.6106,0.0349,0.0085,4.6106,80.40,80.40,160.80
43,0.0338,0.0084,4.6102,0.0338,0.0084,4.6102,80.40,80.40,160.80
44,0.0362,0.0085,4.6103,0.0362,0.0085,4.6103,80.40,80.40,160.80
45,0.0348,0.0084,4.6080,0.0348,0.0084,4.6080,80.40,80.40,160.80
46,0.0362,0.0087,4.6103,0.0362,0.0087,4.6103,80.40,80.40,160.80
47,0.0340,0.0084,4.6107,0.0340,0.0084,4.6107,80.40,80.40,160.80
48,0.0332,0.0085,4.6091,0.0332,0.0085,4.6091,80.40,80.40,160.80
49,0.0366,0.0088,4.6090,0.0366,0.0088,4.6090,80.40,80.40,160.80
50,0.0344,0.0085,4.6091,0.0344,0.0085,4.6091,80.40,80.40,160.80
51,0.0375,0.0085,4.6103,0.0375,0.0085,4.6103,80.40,80.40,160.80
52,0.0368,0.0086,4.6077,0.0368,0.0086,4.6077,80.40,80.40,160.80
53,0.0344,0.0085,4.6111,0.0344,0.0085,4.6111,80.40,80.40,160.80
54,0.0352,0.0083,4.6097,0.0352,0.0083,4.6097,80.40,80.40,160.80
55,0.0353,0.0086,4.6088,0.0353,0.0086,4.6088,80.40,80.40,160.80
56,0.0351,0.0085,4.6120,0.0351,0.0085,4.6120,80.40,80.40,160.80
57,0.0332,0.0084,4.6107,0.0332,0.0084,4.6107,80.40,80.40,160.80
58,0.0364,0.0085,4.6082,0.0364,0.0085,4.6082,80.40,80.40,160.80
59,0.0376,0.0087,4.6083,0.0376,0.0087,4.6083,80.40,80.40,160.80
60,0.0362,0.0085,4.6114,0.0362,0.0085,4.6114,80.40,80.40,160.80
61,0.0386,0.0088,4.6088,0.0386,0.0088,4.6088,80.40,80.40,160.80
62,0.0362,0.0086,4.6111,0.0362,0.0086,4.6111,80.40,80.40,160.80
63,0.0364,0.0087,4.6100,0.0364,0.0087,4.6100,80.40,80.40,160.80
64,0.0354,0.0083,4.6104,0.0354,0.0083,4.6104,80.40,80.40,160.80
65,0.0362,0.0086,4.6095,0.0362,0.0086,4.6095,80.40,80.40,160.80
66,0.0340,0.0084,4.6099,0.0340,0.0084,4.6099,80.40,80.40,160.80
67,0.0362,0.0085,4.6101,0.0362,0.0085,4.6101,80.40,80.40,160.80
68,0.0364,0.0086,4.6127,0.0364,0.0086,4.6127,80.40,80.40,160.80
69,0.0356,0.0085,4.6090,0.0356,0.0085,4.6090,80.40,80.40,160.80
70,0.0376,0.0086,4.6086,0.0376,0.0086,4.6086,80.40,80.40,160.80
71,0.0362,0.0083,4.6103,0.0362,0.0083,4.6103,80.40,80.40,160.80
72,0.0356,0.0084,4.6091,0.0356,0.0084,4.6091,80.40,80.40,160.80
73,0.0338,0.0087,4.6093,0.0338,0.0087,4.6093,80.40,80.40,160.80
74,0.0364,0.0086,4.6084,0.0364,0.0086,4.6084,80.40,80.40,160.80
75,0.0364,0.0086,4.6070,0.0364,0.0086,4.6070,80.40,80.40,160.80
