round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.0102,0.0102,4.6060,0.0102,0.0102,4.6060,0.00,80.40,80.40
2,0.0326,0.0090,4.6090,0.0326,0.0090,4.6090,80.40,80.40,160.80
3,0.0327,0.0089,4.6079,0.0327,0.0089,4.6079,80.40,80.40,160.80
4,0.0339,0.0090,4.6119,0.0339,0.0090,4.6119,80.40,80.40,160.80
5,0.0331,0.0091,4.6065,0.0331,0.0091,4.6065,80.40,80.40,160.80
6,0.0338,0.0089,4.6126,0.0338,0.0089,4.6126,80.40,80.40,160.80
7,0.0348,0.0089,4.6108,0.0348,0.0089,4.6108,80.40,80.40,160.80
8,0.0299,0.0090,4.6118,0.0299,0.0090,4.6118,80.40,80.40,160.80
9,0.0347,0.0090,4.6065,0.0347,0.0090,4.6065,80.40,80.40,160.80
10,0.0331,0.0090,4.6108,0.0331,0.0090,4.6108,80.40,80.40,160.80
11,0.0346,0.0090,4.6127,0.0346,0.0090,4.6127,80.40,80.40,160.80
12,0.0343,0.0090,4.6103,0.0343,0.0090,4.6103,80.40,80.40,160.80
13,0.0331,0.0090,4.6113,0.0331,0.0090,4.6113,80.40,80.40,160.80
14,0.0309,0.0089,4.6134,0.0309,0.0089,4.6134,80.40,80.40,160.80
15,0.0358,0.0091,4.6107,0.0358,0.0091,4.6107,80.40,80.40,160.80
16,0.0349,0.0091,4.6111,0.0349,0.0091,4.6111,80.40,80.40,160.80
17,0.0317,0.0090,4.6140,0.0317,0.0090,4.6140,80.40,80.40,160.80
18,0.0334,0.0089,4.6126,0.0334,0.0089,4.6126,80.40,80.40,160.80
19,0.0317,0.0091,4.6121,0.0317,0.0091,4.6121,80.40,80.40,160.80
20,0.0345,0.0090,4.6082,0.0345,0.0090,4.6082,80.40,80.40,160.80
21,0.0355,0.0090,4.6110,0.0355,0.0090,4.6110,80.40,80.40,160.80
22,0.0305,0.0088,4.6049,0.0305,0.0088,4.6049,80.40,80.40,160.80
23,0.0326,0.0089,4.6155,0.0326,0.0089,4.6155,80.40,80.40,160.80
24,0.0335,0.0090,4.6102,0.0335,0.0090,4.6102,80.40,80.40,160.80
25,0.0345,0.0091,4.6099,0.0345,0.0091,4.6099,80.40,80.40,160.80
26,0.0340,0.0091,4.6094,0.0340,0.0091,4.6094,80.40,80.40,160.80
27,0.0329,0.0090,4.6104,0.0329,0.0090,4.6104,80.40,80.40,160.80
28,0.0346,0.0089,4.6082,0.0346,0.0089,4.6082,80.40,80.40,160.80
29,0.0333,0.0090,4.6124,0.0333,0.0090,4.6124,80.40,80.40,160.80
30,0.0334,0.0090,4.6117,0.0334,0.0090,4.6117,80.40,80.40,160.80
31,0.0327,0.0090,4.6102,0.0327,0.0090,4.6102,80.40,80.40,160.80
32,0.0335,0.0091,4.6053,0.0335,0.0091,4.6053,80.40,80.40,160.80
33,0.0339,0.0090,4.6115,0.0339,0.0090,4.6115,80.40,80.40,160.80
34,0.0335,0.0091,4.6066,0.0335,0.0091,4.6066,80.40,80.40,160.80
35,0.0323,0.0090,4.6145,0.0323,0.0090,4.6145,80.40,80.40,160.80
36,0.0325,0.0089,4.6126,0.0325,0.0089,4.6126,80.40,80.40,160.80
37,0.0309,0.0089,4.6118,0.0309,0.0089,4.6118,80.40,80.40,160.80
38,0.0327,0.0091,4.6077,0.0327,0.0091,4.6077,80.40,80.40,160.80
39,0.0313,0.0089,4.6128,0.0313,0.0089,4.6128,80.40,80.40,160.80
40,0.0335,0.0090,4.6111,0.0335,0.0090,4.6111,80.40,80.40,160.80
41,0.0340,0.0089,4.6115,0.0340,0.0089,4.6115,80.40,80.40,160.80
42,0.0307,0.0089,4.6108,0.0307,0.0089,4.6108,80.40,80.40,160.80
43,0.0313,0.0090,4.6089,0.0313,0.0090,4.6089,80.40,80.40,160.80
44,0.0319,0.0089,4.6130,0.0319,0.0089,4.6130,80.40,80.40,160.80
45,0.0322,0.0090,4.6111,0.0322,0.0090,4.6111,80.40,80.40,160.80
46,0.0303,0.0089,4.6104,0.0303,0.0089,4.6104,80.40,80.40,160.80
47,0.0325,0.0089,4.6082,0.0325,0.0089,4.6082,80.40,80.40,160.80
48,0.0289,0.0089,4.6155,0.0289,0.0089,4.6155,80.40,80.40,160.80
49,0.0329,0.0090,4.6128,0.0329,0.0090,4.6128,80.40,80.40,160.80
50,0.0357,0.0090,4.6114,0.0357,0.0090,4.6114,80.40,80.40,160.80
51,0.0341,0.0091,4.6157,0.0341,0.0091,4.6157,80.40,80.40,160.80
52,0.0305,0.0089,4.6071,0.0305,0.0089,4.6071,80.40,80.40,160.80
53,0.0353,0.0090,4.6135,0.0353,0.0090,4.6135,80.40,80.40,160.80
54,0.0333,0.0089,4.6114,0.0333,0.0089,4.6114,80.40,80.40,160.80
55,0.0324,0.0090,4.6140,0.0324,0.0090,4.6140,80.40,80.40,160.80
56,0.0335,0.0089,4.6113,0.0335,0.0089,4.6113,80.40,80.40,160.80
57,0.0336,0.0090,4.6054,0.0336,0.0090,4.6054,80.40,80.40,160.80
58,0.0321,0.0090,4.6124,0.0321,0.0090,4.6124,80.40,80.40,160.80
59,0.0343,0.0090,4.6126,0.0343,0.0090,4.6126,80.40,80.40,160.80
60,0.0269,0.0088,4.6118,0.0269,0.0088,4.6118,80.40,80.40,160.80
61,0.0316,0.0089,4.6100,0.0316,0.0089,4.6100,80.40,80.40,160.80
62,0.0332,0.0090,4.6116,0.0332,0.0090,4.6116,80.40,80.40,160.80
63,0.0338,0.0091,4.6102,0.0338,0.0091,4.6102,80.40,80.40,160.80
64,0.0317,0.0089,4.6103,0.0317,0.0089,4.6103,80.40,80.40,160.80
65,0.0309,0.0089,4.6102,0.0309,0.0089,4.6102,80.40,80.40,160.80
66,0.0337,0.0088,4.6126,0.0337,0.0088,4.6126,80.40,80.40,160.80
67,0.0303,0.0089,4.6134,0.0303,0.0089,4.6134,80.40,80.40,160.80
68,0.0316,0.0089,4.6104,0.0316,0.0089,4.6104,80.40,80.40,160.80
69,0.0340,0.0090,4.6086,0.0340,0.0090,4.6086,80.40,80.40,160.80
70,0.0331,0.0090,4.6110,0.0331,0.0090,4.6110,80.40,80.40,160.80
71,0.0338,0.0090,4.6108,0.0338,0.0090,4.6108,80.40,80.40,160.80
72,0.0321,0.0090,4.6102,0.0321,0.0090,4.6102,80.40,80.40,160.80
73,0.0318,0.0090,4.6104,0.0318,0.0090,4.6104,80.40,80.40,160.80
74,0.0330,0.0090,4.6082,0.0330,0.0090,4.6082,80.40,80.40,160.80
75,0.0329,0.0089,4.6088,0.0329,0.0089,4.6088,80.40,80.40,160.80
76,0.0303,0.0088,4.6105,0.0303,0.0088,4.6105,80.40,80.40,160.80
77,0.0336,0.0090,4.6124,0.0336,0.0090,4.6124,80.40,80.40,160.80
78,0.0352,0.0091,4.6105,0.0352,0.0091,4.6105,80.40,80.40,160.80
79,0.0321,0.0089,4.6101,0.0321,0.0089,4.6101,80.40,80.40,160.80
80,0.0343,0.0090,4.6096,0.0343,0.0090,4.6096,80.40,80.40,160.80
81,0.0343,0.0090,4.6114,0.0343,0.0090,4.6114,80.40,80.40,160.80
82,0.0330,0.0090,4.6108,0.0330,0.0090,4.6108,80.40,80.40,160.80
83,0.0341,0.0090,4.6137,0.0341,0.0090,4.6137,80.40,80.40,160.80
84,0.0353,0.0090,4.6102,0.0353,0.0090,4.6102,80.40,80.40,160.80
85,0.0336,0.0090,4.6141,0.0336,0.0090,4.6141,80.40,80.40,160.80
86,0.0289,0.0090,4.6114,0.0289,0.0090,4.6114,80.40,80.40,160.80
87,0.0332,0.0090,4.6136,0.0332,0.0090,4.6136,80.40,80.40,160.80
88,0.0321,0.0090,4.6109,0.0321,0.0090,4.6109,80.40,80.40,160.80
89,0.0325,0.0090,4.6105,0.0325,0.0090,4.6105,80.40,80.40,160.80
90,0.0350,0.0090,4.6112,0.0350,0.0090,4.6112,80.40,80.40,160.80
91,0.0305,0.0089,4.6098,0.0305,0.0089,4.6098,80.40,80.40,160.80
92,0.0325,0.0089,4.6111,0.0325,0.0089,4.6111,80.40,80.40,160.80
93,0.0322,0.0089,4.6120,0.0322,0.0089,4.6120,80.40,80.40,160.80
94,0.0333,0.0089,4.6120,0.0333,0.0089,4.6120,80.40,80.40,160.80
95,0.0325,0.0089,4.6098,0.0325,0.0089,4.6098,80.40,80.40,160.80
96,0.0299,0.0089,4.6131,0.0299,0.0089,4.6131,80.40,80.40,160.80
97,0.0317,0.0090,4.6120,0.0317,0.0090,4.6120,80.40,80.40,160.80
98,0.0317,0.0089,4.6075,0.0317,0.0089,4.6075,80.40,80.40,160.80
99,0.0327,0.0089,4.6119,0.0327,0.0089,4.6119,80.40,80.40,160.80
100,0.0323,0.0089,4.6093,0.0323,0.0089,4.6093,80.40,80.40,160.80
101,0.0349,0.0090,4.6121,0.0349,0.0090,4.6121,80.40,80.40,160.80
