round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1022,0.1022,2.3028,0.1022,0.1022,2.3028,0.00,78.55,78.55
2,0.1280,0.1776,2.3130,0.8234,0.1256,1.2284,78.55,78.55,157.09
3,0.1917,0.2586,2.2930,0.8712,0.1455,0.7700,78.55,78.55,157.09
4,0.2241,0.3092,2.2498,0.8958,0.1596,0.6788,78.55,78.55,157.09
5,0.2424,0.3430,2.2006,0.9109,0.1722,0.6247,78.55,78.55,157.09
6,0.2548,0.3747,2.1519,0.9192,0.1830,0.5886,78.55,78.55,157.09
7,0.2622,0.4011,2.1111,0.9283,0.1952,0.5609,78.55,78.55,157.09
8,0.2689,0.4291,2.0721,0.9335,0.2005,0.5370,78.55,78.55,157.09
9,0.2786,0.4525,2.0418,0.9360,0.2040,0.5174,78.55,78.55,157.09
10,0.2891,0.4789,2.0165,0.9396,0.2096,0.4982,78.55,78.55,157.09
11,0.3008,0.4949,1.9897,0.9413,0.2151,0.4820,78.55,78.55,157.09
12,0.3088,0.5072,1.9667,0.9408,0.2201,0.4702,78.55,78.55,157.09
13,0.3122,0.5219,1.9553,0.9476,0.2249,0.4464,78.55,78.55,157.09
14,0.3215,0.5304,1.9463,0.9493,0.2311,0.4341,78.55,78.55,157.09
15,0.3286,0.5377,1.9385,0.9513,0.2347,0.4199,78.55,78.55,157.09
16,0.3367,0.5470,1.9246,0.9523,0.2374,0.4063,78.55,78.55,157.09
17,0.3427,0.5582,1.9047,0.9528,0.2412,0.3983,78.55,78.55,157.09
18,0.3609,0.5651,1.8678,0.9509,0.2439,0.3889,78.55,78.55,157.09
19,0.3609,0.5729,1.8643,0.9548,0.2541,0.3776,78.55,78.55,157.09
20,0.3660,0.5808,1.8496,0.9573,0.2615,0.3644,78.55,78.55,157.09
21,0.3643,0.5861,1.8600,0.9582,0.2636,0.3568,78.55,78.55,157.09
22,0.3727,0.5942,1.8333,0.9581,0.2672,0.3473,78.55,78.55,157.09
23,0.3794,0.5937,1.8255,0.9586,0.2764,0.3444,78.55,78.55,157.09
24,0.3820,0.5971,1.8228,0.9594,0.2820,0.3323,78.55,78.55,157.09
25,0.3873,0.6056,1.8027,0.9585,0.2876,0.3290,78.55,78.55,157.09
26,0.3843,0.6027,1.8161,0.9600,0.2973,0.3243,78.55,78.55,157.09
27,0.3809,0.6122,1.8274,0.9583,0.2977,0.3201,78.55,78.55,157.09
28,0.3984,0.6203,1.8069,0.9598,0.3052,0.3135,78.55,78.55,157.09
29,0.3954,0.6241,1.8034,0.9557,0.3054,0.3153,78.55,78.55,157.09
30,0.3972,0.6263,1.7950,0.9637,0.3122,0.2970,78.55,78.55,157.09
31,0.4006,0.6235,1.7845,0.9611,0.3110,0.2960,78.55,78.55,157.09
32,0.3932,0.6169,1.8010,0.9646,0.3202,0.2876,78.55,78.55,157.09
33,0.3893,0.6287,1.8258,0.9619,0.3205,0.2847,78.55,78.55,157.09
34,0.4021,0.6308,1.7865,0.9608,0.3288,0.2865,78.55,78.55,157.09
35,0.4077,0.6422,1.7959,0.9637,0.3350,0.2783,78.55,78.55,157.09
36,0.4126,0.6421,1.7712,0.9651,0.3401,0.2705,78.55,78.55,157.09
