round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1016,0.1016,2.3044,0.1016,0.1016,2.3044,0.00,196.36,196.36
2,0.0524,0.1194,2.3500,0.7442,0.1010,1.9258,196.36,196.36,392.73
3,0.0808,0.2004,2.3440,0.7950,0.1058,1.3838,196.36,196.36,392.73
4,0.1083,0.2605,2.3213,0.8457,0.1140,1.1001,196.36,196.36,392.73
5,0.1316,0.3278,2.2929,0.8756,0.1232,0.9208,196.36,196.36,392.73
6,0.1566,0.3801,2.2608,0.8922,0.1321,0.8091,196.36,196.36,392.73
7,0.1769,0.4173,2.2341,0.9028,0.1391,0.7371,196.36,196.36,392.73
8,0.2007,0.4512,2.1978,0.9086,0.1460,0.6879,196.36,196.36,392.73
9,0.2183,0.4731,2.1635,0.9140,0.1489,0.6527,196.36,196.36,392.73
10,0.2437,0.4953,2.1288,0.9160,0.1520,0.6247,196.36,196.36,392.73
11,0.2572,0.5115,2.1112,0.9196,0.1562,0.6034,196.36,196.36,392.73
12,0.2848,0.5242,2.0701,0.9249,0.1624,0.5853,196.36,196.36,392.73
13,0.2946,0.5369,2.0473,0.9285,0.1653,0.5704,196.36,196.36,392.73
14,0.3055,0.5495,2.0251,0.9265,0.1690,0.5785,196.36,196.36,392.73
15,0.3183,0.5634,1.9987,0.9321,0.1717,0.5485,196.36,196.36,392.73
16,0.3354,0.5731,1.9742,0.9349,0.1750,0.5358,196.36,196.36,392.73
17,0.3507,0.5828,1.9484,0.9372,0.1787,0.5346,196.36,196.36,392.73
18,0.3586,0.5907,1.9294,0.9377,0.1824,0.5252,196.36,196.36,392.73
19,0.3642,0.5959,1.9154,0.9406,0.1845,0.5109,196.36,196.36,392.73
20,0.3747,0.6049,1.8952,0.9425,0.1883,0.5027,196.36,196.36,392.73
21,0.3918,0.6128,1.8664,0.9432,0.1906,0.4959,196.36,196.36,392.73
22,0.3868,0.6170,1.8687,0.9454,0.1942,0.4864,196.36,196.36,392.73
23,0.3887,0.6192,1.8602,0.9482,0.1991,0.4789,196.36,196.36,392.73
24,0.4016,0.6253,1.8325,0.9477,0.2034,0.4743,196.36,196.36,392.73
25,0.4023,0.6208,1.8194,0.9499,0.2049,0.4645,196.36,196.36,392.73
26,0.4130,0.6331,1.8047,0.9509,0.2075,0.4586,196.36,196.36,392.73
27,0.4218,0.6402,1.7858,0.9515,0.2120,0.4534,196.36,196.36,392.73
28,0.4260,0.6439,1.7753,0.9527,0.2144,0.4452,196.36,196.36,392.73
29,0.4424,0.6551,1.7412,0.9534,0.2168,0.4402,196.36,196.36,392.73
30,0.4382,0.6533,1.7498,0.9554,0.2204,0.4330,196.36,196.36,392.73
31,0.4253,0.6513,1.7543,0.9564,0.2232,0.4274,196.36,196.36,392.73
32,0.4418,0.6565,1.7291,0.9567,0.2253,0.4215,196.36,196.36,392.73
33,0.4477,0.6609,1.7123,0.9580,0.2287,0.4169,196.36,196.36,392.73
34,0.4527,0.6629,1.7044,0.9570,0.2299,0.4121,196.36,196.36,392.73
35,0.4560,0.6647,1.6837,0.9590,0.2357,0.4059,196.36,196.36,392.73
36,0.4575,0.6678,1.6850,0.9587,0.2374,0.4019,196.36,196.36,392.73
37,0.4597,0.6705,1.6715,0.9588,0.2412,0.3974,196.36,196.36,392.73
38,0.4689,0.6724,1.6503,0.9598,0.2430,0.3903,196.36,196.36,392.73
39,0.4684,0.6759,1.6543,0.9611,0.2473,0.3876,196.36,196.36,392.73
40,0.4687,0.6773,1.6422,0.9619,0.2482,0.3818,196.36,196.36,392.73
41,0.4781,0.6801,1.6196,0.9627,0.2536,0.3766,196.36,196.36,392.73
42,0.4771,0.6820,1.6194,0.9620,0.2561,0.3757,196.36,196.36,392.73
43,0.4862,0.6862,1.5967,0.9633,0.2605,0.3692,196.36,196.36,392.73
44,0.4853,0.6897,1.5963,0.9642,0.2639,0.3656,196.36,196.36,392.73
45,0.4820,0.6899,1.5841,0.9634,0.2651,0.3634,196.36,196.36,392.73
46,0.4844,0.6873,1.5844,0.9630,0.2672,0.3589,196.36,196.36,392.73
47,0.4797,0.6888,1.5975,0.9636,0.2704,0.3544,196.36,196.36,392.73
48,0.4982,0.6952,1.5452,0.9650,0.2752,0.3519,196.36,196.36,392.73
49,0.4981,0.6959,1.5443,0.9648,0.2759,0.3469,196.36,196.36,392.73
50,0.4992,0.6962,1.5428,0.9652,0.2783,0.3431,196.36,196.36,392.73
51,0.5010,0.6951,1.5347,0.9656,0.2826,0.3413,196.36,196.36,392.73
52,0.5109,0.7001,1.5097,0.9666,0.2842,0.3355,196.36,196.36,392.73
53,0.5025,0.7005,1.5264,0.9662,0.2875,0.3321,196.36,196.36,392.73
54,0.5109,0.6987,1.4983,0.9651,0.2895,0.3344,196.36,196.36,392.73
55,0.5079,0.7018,1.5022,0.9632,0.2921,0.3339,196.36,196.36,392.73
56,0.5208,0.7031,1.4665,0.9675,0.2979,0.3243,196.36,196.36,392.73
57,0.5063,0.7035,1.4942,0.9658,0.2965,0.3266,196.36,196.36,392.73
58,0.5187,0.7038,1.4684,0.9676,0.3042,0.3197,196.36,196.36,392.73
59,0.5208,0.7069,1.4592,0.9641,0.3057,0.3258,196.36,196.36,392.73
60,0.5139,0.7064,1.4664,0.9680,0.3083,0.3129,196.36,196.36,392.73
61,0.5182,0.7084,1.4532,0.9671,0.3117,0.3111,196.36,196.36,392.73
62,0.5276,0.7067,1.4337,0.9684,0.3141,0.3080,196.36,196.36,392.73
63,0.5256,0.7106,1.4301,0.9682,0.3196,0.3072,196.36,196.36,392.73
64,0.5241,0.7128,1.4343,0.9684,0.3216,0.3045,196.36,196.36,392.73
65,0.5283,0.7128,1.4203,0.9675,0.3243,0.3069,196.36,196.36,392.73
66,0.5245,0.7129,1.4267,0.9596,0.3267,0.3360,196.36,196.36,392.73
67,0.5241,0.7135,1.4209,0.9693,0.3316,0.2983,196.36,196.36,392.73
68,0.5330,0.7141,1.4002,0.9703,0.3358,0.2926,196.36,196.36,392.73
69,0.5309,0.7168,1.4018,0.9671,0.3382,0.2998,196.36,196.36,392.73
70,0.5324,0.7142,1.4040,0.9707,0.3439,0.2876,196.36,196.36,392.73
71,0.5273,0.7174,1.4119,0.9680,0.3477,0.2900,196.36,196.36,392.73
72,0.5425,0.7172,1.3669,0.9696,0.3507,0.2857,196.36,196.36,392.73
73,0.5421,0.7205,1.3684,0.9689,0.3505,0.2844,196.36,196.36,392.73
74,0.5370,0.7207,1.3773,0.9699,0.3548,0.2807,196.36,196.36,392.73
75,0.5370,0.7201,1.3709,0.9411,0.3549,0.3470,196.36,196.36,392.73
76,0.5433,0.7212,1.3590,0.9689,0.3606,0.2800,196.36,196.36,392.73
77,0.5405,0.7190,1.3571,0.9700,0.3632,0.2777,196.36,196.36,392.73
78,0.5449,0.7232,1.3429,0.9695,0.3695,0.2777,196.36,196.36,392.73
79,0.5459,0.7242,1.3441,0.9705,0.3742,0.2723,196.36,196.36,392.73
80,0.5461,0.7245,1.3332,0.9678,0.3727,0.2739,196.36,196.36,392.73
81,0.5538,0.7247,1.3229,0.9703,0.3739,0.2682,196.36,196.36,392.73
82,0.5487,0.7268,1.3214,0.9569,0.3720,0.3431,196.36,196.36,392.73
83,0.5544,0.7265,1.3149,0.9716,0.3830,0.2658,196.36,196.36,392.73
84,0.5512,0.7240,1.3190,0.9717,0.3827,0.2637,196.36,196.36,392.73
85,0.5507,0.7268,1.3179,0.9711,0.3876,0.2628,196.36,196.36,392.73
86,0.5538,0.7269,1.3049,0.9712,0.3866,0.2588,196.36,196.36,392.73
87,0.5505,0.7275,1.3166,0.9693,0.3968,0.2680,196.36,196.36,392.73
88,0.5553,0.7286,1.3046,0.9717,0.3962,0.2581,196.36,196.36,392.73
89,0.5567,0.7290,1.2925,0.9723,0.3968,0.2533,196.36,196.36,392.73
90,0.5559,0.7280,1.2981,0.9700,0.4018,0.2563,196.36,196.36,392.73
91,0.5593,0.7301,1.2828,0.9707,0.3993,0.2524,196.36,196.36,392.73
92,0.5652,0.7316,1.2707,0.9674,0.4030,0.2569,196.36,196.36,392.73
93,0.5628,0.7319,1.2759,0.9713,0.4060,0.2475,196.36,196.36,392.73
94,0.5616,0.7309,1.2776,0.9730,0.4088,0.2465,196.36,196.36,392.73
95,0.5616,0.7321,1.2765,0.9716,0.4116,0.2466,196.36,196.36,392.73
96,0.5700,0.7352,1.2554,0.9704,0.4156,0.2507,196.36,196.36,392.73
97,0.5638,0.7322,1.2628,0.9723,0.4170,0.2424,196.36,196.36,392.73
98,0.5697,0.7333,1.2462,0.9727,0.4170,0.2445,196.36,196.36,392.73
99,0.5676,0.7332,1.2502,0.9728,0.4199,0.2399,196.36,196.36,392.73
100,0.5727,0.7356,1.2371,0.9720,0.4221,0.2416,196.36,196.36,392.73
101,0.5689,0.7350,1.2493,0.9723,0.4224,0.2414,196.36,196.36,392.73
