round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1009,0.1009,2.3044,0.1009,0.1009,2.3044,0.00,78.55,78.55
2,0.3039,0.1681,2.2701,0.8443,0.1413,1.2428,78.55,78.55,157.09
3,0.3749,0.3289,2.1410,0.9234,0.1640,0.8149,78.55,78.55,157.09
4,0.4142,0.4525,2.0072,0.9538,0.1762,0.5767,78.55,78.55,157.09
5,0.4672,0.4903,1.8882,0.9704,0.1846,0.4770,78.55,78.55,157.09
6,0.5170,0.5035,1.7793,0.9782,0.1909,0.4322,78.55,78.55,157.09
7,0.5601,0.5091,1.6867,0.9806,0.1924,0.4048,78.55,78.55,157.09
8,0.5959,0.5152,1.5992,0.9835,0.1943,0.3857,78.55,78.55,157.09
9,0.6210,0.5191,1.5246,0.9850,0.1952,0.3709,78.55,78.55,157.09
10,0.6428,0.5225,1.4573,0.9854,0.1956,0.3580,78.55,78.55,157.09
11,0.6564,0.5239,1.4036,0.9869,0.1961,0.3467,78.55,78.55,157.09
12,0.6711,0.5279,1.3519,0.9881,0.1967,0.3362,78.55,78.55,157.09
13,0.6776,0.5289,1.3006,0.9875,0.1968,0.3277,78.55,78.55,157.09
14,0.6904,0.5298,1.2636,0.9883,0.1970,0.3170,78.55,78.55,157.09
15,0.6966,0.5301,1.2281,0.9890,0.1972,0.3084,78.55,78.55,157.09
16,0.7049,0.5326,1.1874,0.9891,0.1971,0.2994,78.55,78.55,157.09
17,0.7126,0.5314,1.1525,0.9896,0.1972,0.2918,78.55,78.55,157.09
18,0.7174,0.5288,1.1290,0.9897,0.1973,0.2847,78.55,78.55,157.09
19,0.7167,0.5290,1.1040,0.9895,0.1973,0.2772,78.55,78.55,157.09
20,0.7262,0.5326,1.0741,0.9895,0.1976,0.2711,78.55,78.55,157.09
21,0.7312,0.5332,1.0498,0.9898,0.1974,0.2670,78.55,78.55,157.09
22,0.7326,0.5307,1.0287,0.9906,0.1975,0.2583,78.55,78.55,157.09
23,0.7388,0.5292,1.0091,0.9906,0.1976,0.2531,78.55,78.55,157.09
24,0.7438,0.5310,0.9819,0.9906,0.1977,0.2473,78.55,78.55,157.09
25,0.7455,0.5299,0.9703,0.9908,0.1979,0.2419,78.55,78.55,157.09
26,0.7482,0.5263,0.9578,0.9907,0.1980,0.2370,78.55,78.55,157.09
27,0.7527,0.5244,0.9369,0.9909,0.1983,0.2321,78.55,78.55,157.09
28,0.7542,0.5277,0.9253,0.9903,0.1994,0.2283,78.55,78.55,157.09
29,0.7606,0.5293,0.9109,0.9910,0.1992,0.2240,78.55,78.55,157.09
30,0.7592,0.5289,0.8950,0.9890,0.1998,0.2260,78.55,78.55,157.09
31,0.7588,0.5219,0.8901,0.9915,0.1993,0.2159,78.55,78.55,157.09
32,0.7685,0.5247,0.8729,0.9914,0.2005,0.2110,78.55,78.55,157.09
33,0.7700,0.5273,0.8563,0.9907,0.1998,0.2094,78.55,78.55,157.09
34,0.7740,0.5261,0.8482,0.9917,0.2002,0.2040,78.55,78.55,157.09
35,0.7736,0.5288,0.8401,0.9917,0.2008,0.2004,78.55,78.55,157.09
36,0.7753,0.5267,0.8311,0.9919,0.2022,0.1983,78.55,78.55,157.09
37,0.7765,0.5236,0.8204,0.9920,0.2024,0.1939,78.55,78.55,157.09
38,0.7784,0.5216,0.8140,0.9907,0.2014,0.1960,78.55,78.55,157.09
39,0.7794,0.5225,0.8050,0.9918,0.2024,0.1876,78.55,78.55,157.09
40,0.7899,0.5237,0.7810,0.9924,0.2028,0.1846,78.55,78.55,157.09
41,0.7868,0.5226,0.7833,0.9922,0.2028,0.1821,78.55,78.55,157.09
42,0.7864,0.5216,0.7736,0.9926,0.2028,0.1791,78.55,78.55,157.09
43,0.7941,0.5271,0.7608,0.9925,0.2036,0.1765,78.55,78.55,157.09
44,0.7899,0.5205,0.7580,0.9914,0.2024,0.1785,78.55,78.55,157.09
45,0.7879,0.5176,0.7526,0.9926,0.2041,0.1723,78.55,78.55,157.09
46,0.7939,0.5186,0.7390,0.9923,0.2055,0.1700,78.55,78.55,157.09
47,0.7917,0.5191,0.7361,0.9922,0.2051,0.1682,78.55,78.55,157.09
48,0.7943,0.5192,0.7305,0.9928,0.2068,0.1649,78.55,78.55,157.09
49,0.7896,0.5168,0.7322,0.9777,0.2012,0.2168,78.55,78.55,157.09
50,0.7963,0.5171,0.7136,0.9900,0.2062,0.1710,78.55,78.55,157.09
