round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1014,0.1014,2.3027,0.1014,0.1014,2.3027,0.00,196.36,196.36
2,0.1907,0.1090,2.3108,0.7343,0.1237,1.5262,196.36,196.36,392.73
3,0.1864,0.2015,2.2678,0.8524,0.1296,1.3607,196.36,196.36,392.73
4,0.2329,0.3904,2.1726,0.8920,0.1421,1.2253,196.36,196.36,392.73
5,0.3442,0.4711,2.0627,0.9197,0.1539,1.0385,196.36,196.36,392.73
6,0.4098,0.4999,1.9637,0.9410,0.1638,0.8590,196.36,196.36,392.73
7,0.4661,0.5088,1.8712,0.9530,0.1715,0.7213,196.36,196.36,392.73
8,0.5126,0.5174,1.7863,0.9631,0.1780,0.6256,196.36,196.36,392.73
9,0.5431,0.5187,1.7156,0.9687,0.1825,0.5597,196.36,196.36,392.73
10,0.5786,0.5242,1.6456,0.9742,0.1870,0.5132,196.36,196.36,392.73
11,0.6022,0.5241,1.5860,0.9756,0.1895,0.4861,196.36,196.36,392.73
12,0.6237,0.5300,1.5271,0.9685,0.1907,0.4845,196.36,196.36,392.73
13,0.6417,0.5332,1.4717,0.9812,0.1920,0.4388,196.36,196.36,392.73
14,0.6475,0.5313,1.4250,0.9802,0.1926,0.4365,196.36,196.36,392.73
15,0.6562,0.5376,1.3931,0.9841,0.1940,0.4148,196.36,196.36,392.73
16,0.6793,0.5393,1.3479,0.9852,0.1943,0.4054,196.36,196.36,392.73
17,0.6872,0.5410,1.3079,0.9855,0.1948,0.3972,196.36,196.36,392.73
18,0.6941,0.5417,1.2697,0.9861,0.1951,0.3906,196.36,196.36,392.73
19,0.6990,0.5423,1.2402,0.9628,0.1946,0.4410,196.36,196.36,392.73
20,0.6998,0.5412,1.2116,0.9865,0.1959,0.3851,196.36,196.36,392.73
21,0.6960,0.5369,1.1865,0.9876,0.1962,0.3751,196.36,196.36,392.73
22,0.7175,0.5472,1.1574,0.9877,0.1962,0.3695,196.36,196.36,392.73
23,0.7252,0.5394,1.1340,0.9875,0.1964,0.3678,196.36,196.36,392.73
24,0.7237,0.5440,1.1124,0.9886,0.1967,0.3621,196.36,196.36,392.73
25,0.7297,0.5481,1.0821,0.9881,0.1967,0.3586,196.36,196.36,392.73
26,0.7375,0.5479,1.0597,0.9886,0.1968,0.3532,196.36,196.36,392.73
27,0.7380,0.5472,1.0447,0.9882,0.1969,0.3521,196.36,196.36,392.73
28,0.7407,0.5470,1.0223,0.9889,0.1971,0.3474,196.36,196.36,392.73
29,0.7327,0.5443,1.0142,0.9887,0.1970,0.3437,196.36,196.36,392.73
30,0.7590,0.5439,0.9917,0.9896,0.1972,0.3392,196.36,196.36,392.73
31,0.7555,0.5469,0.9689,0.9897,0.1973,0.3358,196.36,196.36,392.73
32,0.7536,0.5480,0.9602,0.9896,0.1973,0.3326,196.36,196.36,392.73
33,0.7627,0.5479,0.9379,0.9893,0.1973,0.3291,196.36,196.36,392.73
34,0.7560,0.5311,0.9603,0.9900,0.1974,0.3254,196.36,196.36,392.73
35,0.7478,0.5448,0.9360,0.9898,0.1974,0.3229,196.36,196.36,392.73
36,0.7425,0.5443,0.9157,0.9903,0.1975,0.3190,196.36,196.36,392.73
37,0.7711,0.5504,0.8894,0.9891,0.1975,0.3261,196.36,196.36,392.73
38,0.7633,0.5485,0.8876,0.9908,0.1977,0.3174,196.36,196.36,392.73
39,0.7630,0.5474,0.8739,0.9909,0.1977,0.3112,196.36,196.36,392.73
40,0.7770,0.5497,0.8546,0.9914,0.1978,0.3073,196.36,196.36,392.73
41,0.7789,0.5463,0.8476,0.9908,0.1978,0.3060,196.36,196.36,392.73
42,0.7757,0.5444,0.8384,0.9908,0.1978,0.3038,196.36,196.36,392.73
43,0.7770,0.5412,0.8290,0.9910,0.1978,0.2992,196.36,196.36,392.73
44,0.7827,0.5434,0.8144,0.9708,0.1979,0.3495,196.36,196.36,392.73
45,0.7807,0.5462,0.8057,0.9907,0.1979,0.2957,196.36,196.36,392.73
46,0.7932,0.5329,0.8163,0.9916,0.1979,0.2912,196.36,196.36,392.73
47,0.7782,0.5472,0.8013,0.9920,0.1980,0.2876,196.36,196.36,392.73
48,0.7838,0.5487,0.7851,0.9914,0.1978,0.2884,196.36,196.36,392.73
49,0.8161,0.5388,0.7716,0.9836,0.1978,0.3067,196.36,196.36,392.73
50,0.7786,0.5438,0.7761,0.9663,0.1977,0.3462,196.36,196.36,392.73
51,0.8092,0.5373,0.7615,0.9921,0.1980,0.2791,196.36,196.36,392.73
52,0.8087,0.5400,0.7514,0.9920,0.1981,0.2749,196.36,196.36,392.73
53,0.8144,0.5349,0.7366,0.9905,0.1980,0.2792,196.36,196.36,392.73
54,0.8033,0.5407,0.7346,0.9917,0.1982,0.2716,196.36,196.36,392.73
55,0.7962,0.5433,0.7311,0.9805,0.1978,0.3049,196.36,196.36,392.73
56,0.7907,0.5452,0.7279,0.9920,0.1983,0.2673,196.36,196.36,392.73
57,0.8052,0.5456,0.7151,0.9926,0.1982,0.2632,196.36,196.36,392.73
58,0.7947,0.5322,0.7606,0.9900,0.1984,0.2689,196.36,196.36,392.73
59,0.8060,0.5454,0.7003,0.9926,0.1984,0.2582,196.36,196.36,392.73
60,0.8124,0.5462,0.6886,0.9925,0.1984,0.2560,196.36,196.36,392.73
61,0.8062,0.5437,0.6867,0.9929,0.1985,0.2531,196.36,196.36,392.73
62,0.8054,0.5442,0.6859,0.9927,0.1984,0.2533,196.36,196.36,392.73
63,0.8006,0.5402,0.6861,0.9920,0.1984,0.2498,196.36,196.36,392.73
64,0.8166,0.5428,0.6684,0.9872,0.1983,0.2666,196.36,196.36,392.73
65,0.8202,0.5430,0.6589,0.9886,0.1993,0.2636,196.36,196.36,392.73
66,0.8386,0.5375,0.6520,0.9433,0.1966,0.4620,196.36,196.36,392.73
67,0.7922,0.5335,0.7296,0.9910,0.1987,0.2485,196.36,196.36,392.73
68,0.8161,0.5386,0.6603,0.9929,0.1987,0.2460,196.36,196.36,392.73
69,0.8207,0.5409,0.6475,0.9931,0.1990,0.2377,196.36,196.36,392.73
70,0.7877,0.5385,0.6824,0.9907,0.1987,0.2415,196.36,196.36,392.73
71,0.8247,0.5419,0.6350,0.9931,0.1988,0.2336,196.36,196.36,392.73
72,0.7869,0.5343,0.6754,0.9931,0.1990,0.2308,196.36,196.36,392.73
73,0.8126,0.5341,0.6395,0.9931,0.1989,0.2297,196.36,196.36,392.73
74,0.8320,0.5399,0.6210,0.9932,0.1991,0.2263,196.36,196.36,392.73
75,0.8242,0.5302,0.6282,0.9921,0.2004,0.2256,196.36,196.36,392.73
76,0.8314,0.5316,0.6150,0.9929,0.1996,0.2236,196.36,196.36,392.73
77,0.8281,0.5316,0.6131,0.9764,0.1990,0.2716,196.36,196.36,392.73
78,0.8351,0.5309,0.6046,0.9415,0.1970,0.6013,196.36,196.36,392.73
79,0.8265,0.5288,0.6075,0.9930,0.1997,0.2197,196.36,196.36,392.73
