round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,117.82,117.82
2,0.1766,,1.3776,,,,,,,117.82,117.82,235.64
3,0.1737,,0.4825,,,,,,,117.82,117.82,235.64
4,0.1846,,0.2507,,,,,,,117.82,117.82,235.64
5,0.1870,,0.1622,,,,,,,117.82,117.82,235.64
6,0.1888,,0.1225,,,,,,,117.82,117.82,235.64
7,0.1901,,0.1042,,,,,,,117.82,117.82,235.64
8,0.1912,,0.0924,,,,,,,117.82,117.82,235.64
9,0.1914,,0.0862,,,,,,,117.82,117.82,235.64
10,0.1918,,0.0809,,,,,,,117.82,117.82,235.64
11,0.1919,,0.0767,,,,,,,117.82,117.82,235.64
12,0.1920,,0.0742,,,,,,,117.82,117.82,235.64
13,0.1922,,0.0718,,,,,,,117.82,117.82,235.64
14,0.1922,,0.0703,,,,,,,117.82,117.82,235.64
15,0.1926,,0.0692,,,,,,,117.82,117.82,235.64
16,0.1928,,0.0671,,,,,,,117.82,117.82,235.64
17,0.1930,,0.0656,,,,,,,117.82,117.82,235.64
18,0.1930,,0.0643,,,,,,,117.82,117.82,235.64
19,0.1931,,0.0646,,,,,,,117.82,117.82,235.64
20,0.1934,,0.0626,,,,,,,117.82,117.82,235.64
21,0.1933,,0.0628,,,,,,,117.82,117.82,235.64
22,0.1935,,0.0619,,,,,,,117.82,117.82,235.64
23,0.1936,,0.0609,,,,,,,117.82,117.82,235.64
24,0.1936,,0.0598,,,,,,,117.82,117.82,235.64
25,0.1936,,0.0593,,,,,,,117.82,117.82,235.64
26,0.1936,,0.0585,,,,,,,117.82,117.82,235.64
27,0.1938,,0.0576,,,,,,,117.82,117.82,235.64
28,0.1938,,0.0580,,,,,,,117.82,117.82,235.64
29,0.1938,,0.0572,,,,,,,117.82,117.82,235.64
30,0.1943,,0.0572,,,,,,,117.82,117.82,235.64
31,0.1939,,0.0561,,,,,,,117.82,117.82,235.64
32,0.1940,,0.0552,,,,,,,117.82,117.82,235.64
33,0.1944,,0.0556,,,,,,,117.82,117.82,235.64
34,0.1942,,0.0544,,,,,,,117.82,117.82,235.64
35,0.1939,,0.0554,,,,,,,117.82,117.82,235.64
36,0.1942,,0.0538,,,,,,,117.82,117.82,235.64
37,0.1950,,0.0525,,,,,,,117.82,117.82,235.64
38,0.1948,,0.0531,,,,,,,117.82,117.82,235.64
39,0.1955,,0.0525,,,,,,,117.82,117.82,235.64
40,0.1950,,0.0521,,,,,,,117.82,117.82,235.64
41,0.1949,,0.0522,,,,,,,117.82,117.82,235.64
42,0.1958,,0.0513,,,,,,,117.82,117.82,235.64
43,0.1951,,0.0512,,,,,,,117.82,117.82,235.64
44,0.1955,,0.0507,,,,,,,117.82,117.82,235.64
45,0.1956,,0.0498,,,,,,,117.82,117.82,235.64
46,0.1964,,0.0489,,,,,,,117.82,117.82,235.64
47,0.1966,,0.0492,,,,,,,117.82,117.82,235.64
48,0.1963,,0.0484,,,,,,,117.82,117.82,235.64
49,0.1971,,0.0484,,,,,,,117.82,117.82,235.64
50,0.1972,,0.0482,,,,,,,117.82,117.82,235.64
51,0.1967,,0.0482,,,,,,,117.82,117.82,235.64
52,0.1582,,0.9991,,,,,,,117.82,196.36,314.18
53,0.2437,,1.3115,,,,,,,196.36,196.36,392.73
54,0.2732,,0.4451,,,,,,,196.36,196.36,392.73
55,0.2333,,0.1534,,,,,,,196.36,196.36,392.73
56,0.2131,,0.0925,,,,,,,196.36,196.36,392.73
57,0.2072,,0.0755,,,,,,,196.36,196.36,392.73
58,0.2038,,0.0663,,,,,,,196.36,196.36,392.73
59,0.2011,,0.0636,,,,,,,196.36,196.36,392.73
60,0.1994,,0.0608,,,,,,,196.36,196.36,392.73
61,0.1984,,0.0554,,,,,,,196.36,196.36,392.73
62,0.1978,,0.0533,,,,,,,196.36,196.36,392.73
63,0.1973,,0.0521,,,,,,,196.36,196.36,392.73
64,0.1973,,0.0494,,,,,,,196.36,196.36,392.73
65,0.1971,,0.0482,,,,,,,196.36,196.36,392.73
66,0.1971,,0.0483,,,,,,,196.36,196.36,392.73
67,0.1972,,0.0457,,,,,,,196.36,196.36,392.73
68,0.1974,,0.0445,,,,,,,196.36,196.36,392.73
69,0.1969,,0.0452,,,,,,,196.36,196.36,392.73
70,0.1971,,0.0435,,,,,,,196.36,196.36,392.73
71,0.1973,,0.0432,,,,,,,196.36,196.36,392.73
72,0.1973,,0.0438,,,,,,,196.36,196.36,392.73
73,0.1974,,0.0412,,,,,,,196.36,196.36,392.73
74,0.1976,,0.0434,,,,,,,196.36,196.36,392.73
75,0.1973,,0.0418,,,,,,,196.36,196.36,392.73
76,0.1975,,0.0406,,,,,,,196.36,196.36,392.73
77,0.1975,,0.0398,,,,,,,196.36,196.36,392.73
78,0.1975,,0.0391,,,,,,,196.36,196.36,392.73
79,0.1975,,0.0388,,,,,,,196.36,196.36,392.73
80,0.1974,,0.0375,,,,,,,196.36,196.36,392.73
81,0.1977,,0.0387,,,,,,,196.36,196.36,392.73
82,0.1978,,0.0371,,,,,,,196.36,196.36,392.73
83,0.1978,,0.0387,,,,,,,196.36,196.36,392.73
84,0.1981,,0.0396,,,,,,,196.36,196.36,392.73
85,0.1980,,0.0382,,,,,,,196.36,196.36,392.73
86,0.1978,,0.0360,,,,,,,196.36,196.36,392.73
87,0.1983,,0.0365,,,,,,,196.36,196.36,392.73
88,0.1983,,0.0365,,,,,,,196.36,196.36,392.73
89,0.1982,,0.0351,,,,,,,196.36,196.36,392.73
90,0.1984,,0.0359,,,,,,,196.36,196.36,392.73
91,0.1985,,0.0350,,,,,,,196.36,196.36,392.73
92,0.1986,,0.0355,,,,,,,196.36,196.36,392.73
93,0.1987,,0.0347,,,,,,,196.36,196.36,392.73
94,0.1986,,0.0333,,,,,,,196.36,196.36,392.73
95,0.1986,,0.0338,,,,,,,196.36,196.36,392.73
96,0.1986,,0.0343,,,,,,,196.36,196.36,392.73
97,0.1990,,0.0339,,,,,,,196.36,196.36,392.73
98,0.1992,,0.0339,,,,,,,196.36,196.36,392.73
99,0.1992,,0.0342,,,,,,,196.36,196.36,392.73
100,0.1993,,0.0325,,,,,,,196.36,196.36,392.73
101,0.1997,,0.0328,,,,,,,196.36,196.36,392.73
