round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0999,,2.3045,0.00,196.36,196.36
2,0.3650,,1.6959,196.36,196.36,392.73
3,0.5013,,0.7773,196.36,196.36,392.73
4,0.6404,,0.4491,196.36,196.36,392.73
5,0.6766,,0.2810,196.36,196.36,392.73
6,0.6868,,0.1891,196.36,196.36,392.73
7,0.6916,,0.1371,196.36,196.36,392.73
8,0.6941,,0.1076,196.36,196.36,392.73
9,0.6956,,0.0898,196.36,196.36,392.73
10,0.6965,,0.0772,196.36,196.36,392.73
11,0.6969,,0.0698,196.36,196.36,392.73
12,0.6983,,0.0630,196.36,196.36,392.73
13,0.6987,,0.0594,196.36,196.36,392.73
14,0.6994,,0.0557,196.36,196.36,392.73
15,0.7000,,0.0530,196.36,196.36,392.73
16,0.7003,,0.0510,196.36,196.36,392.73
17,0.7010,,0.0489,196.36,196.36,392.73
18,0.7010,,0.0473,196.36,196.36,392.73
19,0.7015,,0.0463,196.36,196.36,392.73
20,0.7016,,0.0455,196.36,196.36,392.73
21,0.7022,,0.0438,196.36,196.36,392.73
22,0.7023,,0.0431,196.36,196.36,392.73
23,0.7024,,0.0424,196.36,196.36,392.73
24,0.7025,,0.0422,196.36,196.36,392.73
25,0.7026,,0.0412,196.36,196.36,392.73
26,0.7028,,0.0406,196.36,196.36,392.73
27,0.7029,,0.0408,196.36,196.36,392.73
28,0.7033,,0.0406,196.36,196.36,392.73
29,0.7034,,0.0397,196.36,196.36,392.73
30,0.7036,,0.0391,196.36,196.36,392.73
31,0.7036,,0.0386,196.36,196.36,392.73
32,0.7035,,0.0388,196.36,196.36,392.73
33,0.7036,,0.0386,196.36,196.36,392.73
34,0.7039,,0.0380,196.36,196.36,392.73
35,0.7038,,0.0383,196.36,196.36,392.73
36,0.7037,,0.0377,196.36,196.36,392.73
37,0.7039,,0.0364,196.36,196.36,392.73
38,0.7037,,0.0383,196.36,196.36,392.73
39,0.7039,,0.0369,196.36,196.36,392.73
40,0.7041,,0.0367,196.36,196.36,392.73
41,0.7043,,0.0361,196.36,196.36,392.73
42,0.7042,,0.0369,196.36,196.36,392.73
43,0.7048,,0.0354,196.36,196.36,392.73
44,0.7046,,0.0356,196.36,196.36,392.73
45,0.7048,,0.0351,196.36,196.36,392.73
46,0.7047,,0.0355,196.36,196.36,392.73
47,0.7045,,0.0355,196.36,196.36,392.73
48,0.7047,,0.0351,196.36,196.36,392.73
49,0.7045,,0.0347,196.36,196.36,392.73
50,0.7049,,0.0339,196.36,196.36,392.73
51,0.7046,,0.0345,196.36,196.36,392.73
52,0.7049,,0.0345,196.36,196.36,392.73
53,0.7051,,0.0336,196.36,196.36,392.73
54,0.7048,,0.0335,196.36,196.36,392.73
55,0.7046,,0.0345,196.36,196.36,392.73
56,0.7048,,0.0337,196.36,196.36,392.73
57,0.7051,,0.0334,196.36,196.36,392.73
58,0.7051,,0.0325,196.36,196.36,392.73
59,0.7051,,0.0332,196.36,196.36,392.73
60,0.7052,,0.0326,196.36,196.36,392.73
61,0.7050,,0.0326,196.36,196.36,392.73
62,0.7050,,0.0329,196.36,196.36,392.73
63,0.7054,,0.0323,196.36,196.36,392.73
64,0.7051,,0.0325,196.36,196.36,392.73
65,0.7052,,0.0323,196.36,196.36,392.73
66,0.7051,,0.0317,196.36,196.36,392.73
67,0.7054,,0.0312,196.36,196.36,392.73
68,0.7053,,0.0327,196.36,196.36,392.73
69,0.7055,,0.0307,196.36,196.36,392.73
70,0.7056,,0.0309,196.36,196.36,392.73
71,0.7058,,0.0304,196.36,196.36,392.73
72,0.7057,,0.0314,196.36,196.36,392.73
73,0.7060,,0.0310,196.36,196.36,392.73
74,0.7057,,0.0308,196.36,196.36,392.73
75,0.7057,,0.0304,196.36,196.36,392.73
76,0.7060,,0.0306,196.36,196.36,392.73
77,0.7060,,0.0299,196.36,196.36,392.73
78,0.7060,,0.0305,196.36,196.36,392.73
79,0.7063,,0.0296,196.36,196.36,392.73
80,0.7063,,0.0293,196.36,196.36,392.73
81,0.7064,,0.0299,196.36,196.36,392.73
82,0.7067,,0.0290,196.36,196.36,392.73
83,0.7062,,0.0301,196.36,196.36,392.73
84,0.7064,,0.0303,196.36,196.36,392.73
85,0.7066,,0.0290,196.36,196.36,392.73
86,0.7066,,0.0287,196.36,196.36,392.73
87,0.7067,,0.0294,196.36,196.36,392.73
88,0.7069,,0.0286,196.36,196.36,392.73
89,0.7070,,0.0287,196.36,196.36,392.73
90,0.7067,,0.0284,196.36,196.36,392.73
91,0.7070,,0.0287,196.36,196.36,392.73
92,0.7072,,0.0292,196.36,196.36,392.73
93,0.7072,,0.0282,196.36,196.36,392.73
94,0.7073,,0.0284,196.36,196.36,392.73
95,0.7076,,0.0279,196.36,196.36,392.73
96,0.7073,,0.0279,196.36,196.36,392.73
97,0.7074,,0.0275,196.36,196.36,392.73
98,0.7077,,0.0276,196.36,196.36,392.73
99,0.7078,,0.0275,196.36,196.36,392.73
100,0.7079,,0.0262,196.36,196.36,392.73
101,0.7076,,0.0273,196.36,196.36,392.73
