round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3031,0.00,78.55,78.55
2,0.7424,0.1049,1.3486,78.55,78.55,157.09
3,0.7658,0.1326,0.8375,78.55,78.55,157.09
4,0.8266,0.1648,0.6372,78.55,78.55,157.09
5,0.8582,0.1953,0.5288,78.55,78.55,157.09
6,0.8706,0.2226,0.4574,78.55,78.55,157.09
7,0.8831,0.2546,0.4047,78.55,78.55,157.09
8,0.8940,0.2888,0.3686,78.55,78.55,157.09
9,0.9055,0.3140,0.3384,78.55,78.55,157.09
10,0.9139,0.3349,0.3142,78.55,78.55,157.09
11,0.9195,0.3568,0.2946,78.55,78.55,157.09
12,0.9240,0.3713,0.2775,78.55,78.55,157.09
13,0.9273,0.3875,0.2620,78.55,78.55,157.09
14,0.9300,0.3977,0.2478,78.55,78.55,157.09
15,0.9327,0.4087,0.2356,78.55,78.55,157.09
16,0.9355,0.4201,0.2239,78.55,78.55,157.09
17,0.9375,0.4291,0.2150,78.55,78.55,157.09
18,0.9392,0.4358,0.2063,78.55,78.55,157.09
19,0.9423,0.4431,0.1986,78.55,78.55,157.09
20,0.9429,0.4479,0.1921,78.55,78.55,157.09
21,0.9444,0.4542,0.1840,78.55,78.55,157.09
22,0.9463,0.4612,0.1777,78.55,78.55,157.09
23,0.9469,0.4656,0.1721,78.55,78.55,157.09
24,0.9480,0.4710,0.1683,78.55,78.55,157.09
25,0.9493,0.4763,0.1636,78.55,78.55,157.09
26,0.9510,0.4847,0.1592,78.55,78.55,157.09
27,0.9517,0.4879,0.1553,78.55,78.55,157.09
28,0.9529,0.4918,0.1488,78.55,78.55,157.09
29,0.9537,0.4969,0.1477,78.55,78.55,157.09
30,0.9545,0.5002,0.1434,78.55,78.55,157.09
31,0.9556,0.5032,0.1392,78.55,78.55,157.09
32,0.9562,0.5078,0.1362,78.55,78.55,157.09
33,0.9571,0.5123,0.1333,78.55,78.55,157.09
34,0.9582,0.5177,0.1304,78.55,78.55,157.09
35,0.9577,0.5183,0.1282,78.55,78.55,157.09
36,0.9584,0.5201,0.1262,78.55,78.55,157.09
37,0.9582,0.5200,0.1238,78.55,78.55,157.09
38,0.9589,0.5203,0.1239,78.55,78.55,157.09
39,0.9597,0.5261,0.1212,78.55,78.55,157.09
40,0.9588,0.5249,0.1197,78.55,78.55,157.09
41,0.9589,0.5307,0.1202,78.55,78.55,157.09
42,0.9609,0.5373,0.1147,78.55,78.55,157.09
43,0.9617,0.5396,0.1150,78.55,78.55,157.09
44,0.9630,0.5431,0.1123,78.55,78.55,157.09
45,0.9638,0.5427,0.1085,78.55,78.55,157.09
46,0.9632,0.5412,0.1079,78.55,78.55,157.09
47,0.9624,0.5395,0.1098,78.55,78.55,157.09
48,0.9630,0.5431,0.1079,78.55,78.55,157.09
49,0.9615,0.5426,0.1108,78.55,78.55,157.09
50,0.9633,0.5489,0.1058,78.55,78.55,157.09
51,0.9642,0.5528,0.1062,78.55,78.55,157.09
52,0.9634,0.5467,0.1038,78.55,78.55,157.09
53,0.9654,0.5517,0.1010,78.55,78.55,157.09
54,0.9657,0.5555,0.0989,78.55,78.55,157.09
55,0.9653,0.5600,0.1000,78.55,78.55,157.09
56,0.9640,0.5554,0.1016,78.55,78.55,157.09
57,0.9668,0.5603,0.0958,78.55,78.55,157.09
58,0.9652,0.5586,0.0985,78.55,78.55,157.09
59,0.9658,0.5582,0.0953,78.55,78.55,157.09
60,0.9660,0.5602,0.0933,78.55,78.55,157.09
61,0.9670,0.5637,0.0932,78.55,78.55,157.09
62,0.9665,0.5620,0.0916,78.55,78.55,157.09
63,0.9666,0.5625,0.0913,78.55,78.55,157.09
64,0.9674,0.5678,0.0887,78.55,78.55,157.09
65,0.9665,0.5661,0.0923,78.55,78.55,157.09
66,0.9666,0.5644,0.0900,78.55,78.55,157.09
67,0.9681,0.5714,0.0857,78.55,78.55,157.09
68,0.9664,0.5645,0.0908,78.55,78.55,157.09
69,0.9666,0.5585,0.0912,78.55,78.55,157.09
70,0.9672,0.5626,0.0860,78.55,78.55,157.09
71,0.9674,0.5668,0.0875,78.55,78.55,157.09
72,0.9674,0.5729,0.0867,78.55,78.55,157.09
73,0.9670,0.5682,0.0878,78.55,78.55,157.09
74,0.9669,0.5700,0.0868,78.55,78.55,157.09
75,0.9672,0.5692,0.0854,78.55,78.55,157.09
76,0.9677,0.5763,0.0848,78.55,78.55,157.09
77,0.9698,0.5783,0.0790,78.55,78.55,157.09
78,0.9696,0.5772,0.0776,78.55,78.55,157.09
79,0.9679,0.5830,0.0825,78.55,78.55,157.09
80,0.9669,0.5739,0.0851,78.55,78.55,157.09
81,0.9673,0.5710,0.0839,78.55,78.55,157.09
82,0.9674,0.5739,0.0832,78.55,78.55,157.09
83,0.9638,0.5735,0.0947,78.55,78.55,157.09
84,0.9679,0.5709,0.0791,78.55,78.55,157.09
85,0.9687,0.5784,0.0773,78.55,78.55,157.09
86,0.9692,0.5766,0.0747,78.55,78.55,157.09
