round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0968,0.0968,2.3043,0.00,78.55,78.55
2,0.5152,0.3490,1.9797,78.55,78.55,157.09
3,0.6440,0.4713,1.5296,78.55,78.55,157.09
4,0.7084,0.5481,1.2487,78.55,78.55,157.09
5,0.7429,0.6002,1.0705,78.55,78.55,157.09
6,0.7658,0.6375,0.9432,78.55,78.55,157.09
7,0.7752,0.6582,0.8563,78.55,78.55,157.09
8,0.7822,0.6766,0.7904,78.55,78.55,157.09
9,0.7879,0.6917,0.7355,78.55,78.55,157.09
10,0.7945,0.7014,0.6925,78.55,78.55,157.09
11,0.7979,0.7101,0.6592,78.55,78.55,157.09
12,0.8043,0.7180,0.6270,78.55,78.55,157.09
13,0.8080,0.7231,0.6001,78.55,78.55,157.09
14,0.8130,0.7292,0.5808,78.55,78.55,157.09
15,0.8178,0.7348,0.5594,78.55,78.55,157.09
16,0.8202,0.7398,0.5441,78.55,78.55,157.09
17,0.8250,0.7434,0.5280,78.55,78.55,157.09
18,0.8293,0.7465,0.5116,78.55,78.55,157.09
19,0.8329,0.7532,0.4978,78.55,78.55,157.09
20,0.8338,0.7553,0.4851,78.55,78.55,157.09
21,0.8391,0.7595,0.4735,78.55,78.55,157.09
22,0.8405,0.7644,0.4620,78.55,78.55,157.09
23,0.8423,0.7672,0.4535,78.55,78.55,157.09
24,0.8486,0.7720,0.4395,78.55,78.55,157.09
25,0.8524,0.7763,0.4270,78.55,78.55,157.09
26,0.8534,0.7793,0.4234,78.55,78.55,157.09
27,0.8571,0.7830,0.4140,78.55,78.55,157.09
28,0.8584,0.7846,0.4062,78.55,78.55,157.09
29,0.8624,0.7878,0.3976,78.55,78.55,157.09
30,0.8632,0.7914,0.3919,78.55,78.55,157.09
31,0.8670,0.7948,0.3833,78.55,78.55,157.09
32,0.8679,0.7961,0.3769,78.55,78.55,157.09
33,0.8722,0.8001,0.3722,78.55,78.55,157.09
34,0.8714,0.8025,0.3674,78.55,78.55,157.09
35,0.8725,0.8042,0.3614,78.55,78.55,157.09
36,0.8793,0.8067,0.3522,78.55,78.55,157.09
37,0.8793,0.8075,0.3466,78.55,78.55,157.09
38,0.8771,0.8093,0.3458,78.55,78.55,157.09
39,0.8832,0.8134,0.3412,78.55,78.55,157.09
40,0.8806,0.8134,0.3374,78.55,78.55,157.09
41,0.8842,0.8170,0.3298,78.55,78.55,157.09
42,0.8841,0.8155,0.3278,78.55,78.55,157.09
43,0.8845,0.8176,0.3225,78.55,78.55,157.09
44,0.8873,0.8194,0.3167,78.55,78.55,157.09
45,0.8902,0.8205,0.3155,78.55,78.55,157.09
46,0.8907,0.8212,0.3098,78.55,78.55,157.09
47,0.8907,0.8214,0.3077,78.55,78.55,157.09
48,0.8896,0.8268,0.3045,78.55,78.55,157.09
49,0.8936,0.8238,0.2968,78.55,78.55,157.09
50,0.8935,0.8273,0.2967,78.55,78.55,157.09
51,0.8932,0.8272,0.2943,78.55,78.55,157.09
52,0.8951,0.8296,0.2907,78.55,78.55,157.09
53,0.8929,0.8272,0.2912,78.55,78.55,157.09
54,0.8965,0.8302,0.2846,78.55,78.55,157.09
55,0.8925,0.8283,0.2893,78.55,78.55,157.09
56,0.8964,0.8330,0.2854,78.55,78.55,157.09
57,0.8989,0.8336,0.2786,78.55,78.55,157.09
58,0.9000,0.8331,0.2765,78.55,78.55,157.09
59,0.8962,0.8321,0.2774,78.55,78.55,157.09
60,0.8989,0.8345,0.2769,78.55,78.55,157.09
61,0.9032,0.8359,0.2670,78.55,78.55,157.09
62,0.9029,0.8375,0.2646,78.55,78.55,157.09
63,0.9019,0.8366,0.2647,78.55,78.55,157.09
64,0.8980,0.8326,0.2717,78.55,78.55,157.09
65,0.8986,0.8336,0.2657,78.55,78.55,157.09
66,0.9029,0.8387,0.2604,78.55,78.55,157.09
67,0.8995,0.8365,0.2635,78.55,78.55,157.09
68,0.9030,0.8429,0.2547,78.55,78.55,157.09
69,0.9053,0.8418,0.2498,78.55,78.55,157.09
70,0.9042,0.8393,0.2542,78.55,78.55,157.09
71,0.9028,0.8436,0.2562,78.55,78.55,157.09
72,0.9027,0.8420,0.2512,78.55,78.55,157.09
73,0.9061,0.8438,0.2448,78.55,78.55,157.09
74,0.9069,0.8470,0.2434,78.55,78.55,157.09
75,0.9063,0.8464,0.2414,78.55,78.55,157.09
76,0.9076,0.8490,0.2389,78.55,78.55,157.09
77,0.9078,0.8480,0.2403,78.55,78.55,157.09
78,0.9106,0.8489,0.2327,78.55,78.55,157.09
79,0.9094,0.8494,0.2344,78.55,78.55,157.09
80,0.9095,0.8467,0.2326,78.55,78.55,157.09
81,0.9095,0.8491,0.2283,78.55,78.55,157.09
82,0.9075,0.8464,0.2319,78.55,78.55,157.09
83,0.9102,0.8517,0.2279,78.55,78.55,157.09
84,0.9126,0.8527,0.2232,78.55,78.55,157.09
85,0.9098,0.8529,0.2295,78.55,78.55,157.09
86,0.9106,0.8532,0.2277,78.55,78.55,157.09
87,0.9069,0.8467,0.2297,78.55,78.55,157.09
88,0.9097,0.8522,0.2240,78.55,78.55,157.09
89,0.9129,0.8530,0.2178,78.55,78.55,157.09
90,0.9097,0.8497,0.2263,78.55,78.55,157.09
91,0.9119,0.8483,0.2209,78.55,78.55,157.09
92,0.9132,0.8558,0.2146,78.55,78.55,157.09
93,0.9095,0.8476,0.2202,78.55,78.55,157.09
94,0.9113,0.8581,0.2150,78.55,78.55,157.09
95,0.9141,0.8575,0.2098,78.55,78.55,157.09
96,0.9119,0.8537,0.2160,78.55,78.55,157.09
97,0.9157,0.8585,0.2074,78.55,78.55,157.09
98,0.9135,0.8584,0.2108,78.55,78.55,157.09
99,0.9131,0.8543,0.2064,78.55,78.55,157.09
100,0.9136,0.8580,0.2090,78.55,78.55,157.09
101,0.9138,0.8561,0.2076,78.55,78.55,157.09
