round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3018,,,,,,,0.00,117.82,117.82
2,0.1510,,2.1153,,,,,,,117.82,117.82,235.64
3,0.2254,,1.3217,,,,,,,117.82,117.82,235.64
4,0.2194,,0.8320,,,,,,,117.82,117.82,235.64
5,0.2183,,0.6117,,,,,,,117.82,117.82,235.64
6,0.2222,,0.4837,,,,,,,117.82,117.82,235.64
7,0.2291,,0.3985,,,,,,,117.82,117.82,235.64
8,0.2345,,0.3385,,,,,,,117.82,117.82,235.64
9,0.2426,,0.2945,,,,,,,117.82,117.82,235.64
10,0.2474,,0.2602,,,,,,,117.82,117.82,235.64
11,0.2509,,0.2324,,,,,,,117.82,117.82,235.64
12,0.2559,,0.2106,,,,,,,117.82,117.82,235.64
13,0.2612,,0.1929,,,,,,,117.82,117.82,235.64
14,0.2637,,0.1772,,,,,,,117.82,117.82,235.64
15,0.2660,,0.1636,,,,,,,117.82,117.82,235.64
16,0.2654,,0.1520,,,,,,,117.82,117.82,235.64
17,0.2658,,0.1414,,,,,,,117.82,117.82,235.64
18,0.2663,,0.1327,,,,,,,117.82,117.82,235.64
19,0.2670,,0.1246,,,,,,,117.82,117.82,235.64
20,0.2648,,0.1171,,,,,,,117.82,117.82,235.64
21,0.2663,,0.1109,,,,,,,117.82,117.82,235.64
22,0.2672,,0.1055,,,,,,,117.82,117.82,235.64
23,0.2650,,0.0996,,,,,,,117.82,117.82,235.64
24,0.2652,,0.0952,,,,,,,117.82,117.82,235.64
25,0.2632,,0.0908,,,,,,,117.82,117.82,235.64
26,0.2610,,0.0867,,,,,,,117.82,117.82,235.64
27,0.2599,,0.0835,,,,,,,117.82,117.82,235.64
28,0.2592,,0.0802,,,,,,,117.82,117.82,235.64
29,0.2567,,0.0772,,,,,,,117.82,117.82,235.64
30,0.2570,,0.0746,,,,,,,117.82,117.82,235.64
31,0.2534,,0.0719,,,,,,,117.82,117.82,235.64
32,0.2519,,0.0696,,,,,,,117.82,117.82,235.64
33,0.2495,,0.0676,,,,,,,117.82,117.82,235.64
34,0.2476,,0.0655,,,,,,,117.82,117.82,235.64
35,0.2454,,0.0638,,,,,,,117.82,117.82,235.64
36,0.2435,,0.0620,,,,,,,117.82,117.82,235.64
