round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.81852722,117.81852722,0.00000000,117.81852722,117.81852722,117.81852722
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.33333333,0.10541667,,,0.23572701,0.10514094,,,30,30,0,0,2000,6000,2530,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,117.81852722,235.63705444,353.45558167,176.72779083
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.87633333,0.06262500,,,0.07100391,0.04481716,,,30,30,0,0,5258,6000,1503,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,235.63705444,353.45558167,589.09263611,196.36421204
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.92683333,0.04258333,,,0.04338747,0.02369936,,,30,30,0,0,5561,6000,1022,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,353.45558167,471.27410889,824.72969055,206.18242264
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.93483333,0.03920833,,,0.03856776,0.01412549,,,30,30,0,0,5609,6000,941,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,471.27410889,589.09263611,1060.36674500,212.07334900
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.94250000,0.04208333,,,0.03485087,0.01748015,,,30,30,0,0,5655,6000,1010,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,589.09263611,706.91116333,1296.00379944,216.00063324
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.94533333,0.05004167,,,0.03318969,0.01699719,,,30,30,0,0,5672,6000,1201,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,706.91116333,824.72969055,1531.64085388,218.80583627
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.94966667,0.05570833,,,0.03010906,0.01628421,,,30,30,0,0,5698,6000,1337,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,824.72969055,942.54821777,1767.27790833,220.90973854
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95100000,0.06554167,,,0.02989983,0.00894243,,,30,30,0,0,5706,6000,1573,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,942.54821777,1060.36674500,2002.91496277,222.54610697
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95400000,0.07079167,,,0.02770078,0.01000772,,,30,30,0,0,5724,6000,1699,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1060.36674500,1178.18527222,2238.55201721,223.85520172
10,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95550000,0.07470833,,,0.02595990,0.01116021,,,30,30,0,0,5733,6000,1793,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1178.18527222,1296.00379944,2474.18907166,224.92627924
11,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95700000,0.08062500,,,0.02468468,0.01473640,,,30,30,0,0,5742,6000,1935,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1296.00379944,1413.82232666,2709.82612610,225.81884384
12,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95833333,0.08691667,,,0.02332143,0.01751706,,,30,30,0,0,5750,6000,2086,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1413.82232666,1531.64085388,2945.46318054,226.57409081
13,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95900000,0.08987500,,,0.02259794,0.02119196,,,30,30,0,0,5754,6000,2157,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1531.64085388,1649.45938110,3181.10023499,227.22144536
