round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1009,0.1009,2.3044,0.00,78.55,78.55
2,0.6051,0.1240,1.3855,78.55,78.55,157.09
3,0.7454,0.1409,0.7588,78.55,78.55,157.09
4,0.9100,0.1703,0.4789,78.55,78.55,157.09
5,0.9522,0.1822,0.3335,78.55,78.55,157.09
6,0.9684,0.1883,0.2509,78.55,78.55,157.09
7,0.9776,0.1921,0.1962,78.55,78.55,157.09
8,0.9818,0.1963,0.1630,78.55,78.55,157.09
9,0.9838,0.1998,0.1396,78.55,78.55,157.09
10,0.9850,0.2041,0.1230,78.55,78.55,157.09
11,0.9863,0.2092,0.1121,78.55,78.55,157.09
12,0.9879,0.2121,0.1021,78.55,78.55,157.09
13,0.9885,0.2149,0.0940,78.55,78.55,157.09
14,0.9891,0.2174,0.0857,78.55,78.55,157.09
15,0.9890,0.2232,0.0822,78.55,78.55,157.09
16,0.9896,0.2262,0.0765,78.55,78.55,157.09
17,0.9899,0.2284,0.0707,78.55,78.55,157.09
18,0.9903,0.2309,0.0679,78.55,78.55,157.09
19,0.9909,0.2332,0.0647,78.55,78.55,157.09
20,0.9910,0.2356,0.0623,78.55,78.55,157.09
21,0.9911,0.2401,0.0593,78.55,78.55,157.09
22,0.9910,0.2432,0.0573,78.55,78.55,157.09
23,0.9910,0.2471,0.0558,78.55,78.55,157.09
24,0.9912,0.2506,0.0535,78.55,78.55,157.09
25,0.9918,0.2540,0.0506,78.55,78.55,157.09
26,0.9921,0.2549,0.0493,78.55,78.55,157.09
27,0.9913,0.2593,0.0496,78.55,78.55,157.09
28,0.9918,0.2607,0.0467,78.55,78.55,157.09
29,0.9915,0.2599,0.0475,78.55,78.55,157.09
30,0.9920,0.2653,0.0437,78.55,78.55,157.09
31,0.9918,0.2676,0.0427,78.55,78.55,157.09
32,0.9922,0.2687,0.0416,78.55,78.55,157.09
33,0.9920,0.2714,0.0411,78.55,78.55,157.09
34,0.9923,0.2728,0.0398,78.55,78.55,157.09
35,0.9926,0.2736,0.0377,78.55,78.55,157.09
36,0.9926,0.2742,0.0369,78.55,78.55,157.09
37,0.9926,0.2783,0.0356,78.55,78.55,157.09
38,0.9929,0.2782,0.0357,78.55,78.55,157.09
39,0.9930,0.2789,0.0351,78.55,78.55,157.09
40,0.9928,0.2815,0.0347,78.55,78.55,157.09
41,0.9930,0.2807,0.0332,78.55,78.55,157.09
42,0.9933,0.2825,0.0329,78.55,78.55,157.09
43,0.9933,0.2868,0.0327,78.55,78.55,157.09
44,0.9932,0.2850,0.0319,78.55,78.55,157.09
45,0.9932,0.2849,0.0308,78.55,78.55,157.09
46,0.9931,0.2862,0.0304,78.55,78.55,157.09
47,0.9935,0.2845,0.0291,78.55,78.55,157.09
48,0.9936,0.2885,0.0292,78.55,78.55,157.09
49,0.9935,0.2874,0.0276,78.55,78.55,157.09
50,0.9933,0.2890,0.0277,78.55,78.55,157.09
51,0.9931,0.2863,0.0278,78.55,78.55,157.09
52,0.9926,0.2874,0.0312,78.55,78.55,157.09
53,0.9931,0.2878,0.0263,78.55,78.55,157.09
54,0.9934,0.2910,0.0257,78.55,78.55,157.09
55,0.9938,0.2894,0.0254,78.55,78.55,157.09
56,0.9937,0.2920,0.0247,78.55,78.55,157.09
57,0.9935,0.2877,0.0240,78.55,78.55,157.09
58,0.9940,0.2878,0.0228,78.55,78.55,157.09
59,0.9941,0.2887,0.0216,78.55,78.55,157.09
60,0.9936,0.2900,0.0231,78.55,78.55,157.09
61,0.9939,0.2862,0.0216,78.55,78.55,157.09
62,0.9942,0.2875,0.0216,78.55,78.55,157.09
63,0.9939,0.2880,0.0212,78.55,78.55,157.09
64,0.9933,0.2852,0.0237,78.55,78.55,157.09
65,0.9936,0.2870,0.0208,78.55,78.55,157.09
66,0.9938,0.2858,0.0205,78.55,78.55,157.09
67,0.9938,0.2862,0.0202,78.55,78.55,157.09
68,0.9941,0.2888,0.0193,78.55,78.55,157.09
69,0.9941,0.2888,0.0188,78.55,78.55,157.09
70,0.9933,0.2928,0.0218,78.55,78.55,157.09
71,0.9943,0.2882,0.0181,78.55,78.55,157.09
72,0.9929,0.2860,0.0233,78.55,78.55,157.09
73,0.9790,0.2822,0.0651,78.55,78.55,157.09
74,0.9944,0.2866,0.0165,78.55,78.55,157.09
75,0.9941,0.2884,0.0169,78.55,78.55,157.09
76,0.9937,0.2858,0.0177,78.55,78.55,157.09
77,0.9941,0.2886,0.0171,78.55,78.55,157.09
78,0.9941,0.2914,0.0175,78.55,78.55,157.09
79,0.9939,0.2864,0.0165,78.55,78.55,157.09
80,0.9945,0.2878,0.0156,78.55,78.55,157.09
81,0.9937,0.2874,0.0181,78.55,78.55,157.09
82,0.9943,0.2877,0.0148,78.55,78.55,157.09
83,0.9946,0.2881,0.0148,78.55,78.55,157.09
84,0.9939,0.2880,0.0150,78.55,78.55,157.09
85,0.9940,0.2897,0.0156,78.55,78.55,157.09
86,0.9935,0.2864,0.0172,78.55,78.55,157.09
87,0.9935,0.2878,0.0164,78.55,78.55,157.09
88,0.9939,0.2903,0.0152,78.55,78.55,157.09
89,0.9938,0.2867,0.0148,78.55,78.55,157.09
90,0.9931,0.2863,0.0176,78.55,78.55,157.09
91,0.9797,0.2790,0.0591,78.55,78.55,157.09
92,0.9940,0.2881,0.0134,78.55,78.55,157.09
93,0.9943,0.2852,0.0140,78.55,78.55,157.09
94,0.9935,0.2864,0.0161,78.55,78.55,157.09
95,0.9913,0.2896,0.0230,78.55,78.55,157.09
96,0.9946,0.2858,0.0130,78.55,78.55,157.09
97,0.9939,0.2872,0.0141,78.55,78.55,157.09
98,0.9949,0.2858,0.0116,78.55,78.55,157.09
99,0.9922,0.2934,0.0196,78.55,78.55,157.09
100,0.9925,0.2951,0.0183,78.55,78.55,157.09
101,0.9939,0.2850,0.0133,78.55,78.55,157.09
